question,A,B,C,D,answer,source_file
Epictetus claims that things within our power are __________ and things not in our power are __________.,(A) free and unhindered; free and unhindered,(B) free and unhindered; servile and subject to hindrance,(C) servile and subject to hindrance; free and unhindered,(D) servile and subject to hindrance; servile and subject to hindrance,B,philosophy_processed.csv
"This question refers to the following information.""I observe the great and wonderful mistake, both our own and our fathers, as to the civil powers of this world, acting in spiritual matters. I have read…the last will and testament of the Lord Jesus over many times, and yet I cannot find by one tittle of that testament that if He had been pleased to have accepted of a temporal crown and government that ever He would have put forth the least finger of temporal or civil power in the matters of His spiritual affairs and Kingdom. Hence must it lamentably be against the testimony of Christ Jesus for the civil state to impose upon the souls of the people a religion, a worship, a ministry, oaths (in religious and civil affairs), tithes, times, days, marryings, and buryings in holy ground…""Roger Williams, The Hireling Ministry None of Christ's, 1652Which of the following documents encouraged church membership in the Massachusetts Bay Colony?",(A) The Mayflower Compact,(B) The Fundamental Orders,(C) The Halfway Covenant,(D) The Cambridge Agreement,C,high_school_us_history_processed.csv
"This question refers to the following information.Read the the following poem to answer questions.Take up the White Man's burden—Send forth the best ye breed—Go bind your sons to exileTo serve your captives' need;To wait in heavy harness,On fluttered folk and wild—Your new-caught, sullen peoples,Half-devil and half-child....Take up the White Man's burden—The savage wars of peace—Fill full the mouth of FamineAnd bid the sickness cease;And when your goal is nearestThe end for others sought…Watch sloth and heathen FollyBring all your hopes to naught.Rudyard Kipling, The White Man's Burden, 1899The poem describes which kind of attitude toward the native peoples who were under the rule or influence of the British Empire?","(A) They are ""exiled sons"" of the British race.","(B) While ""savage,"" they fight wars for the sake of a lasting peace.",(C) They are ready for conversion to Christianity.,(D) They are the product of a less-civilized and less-developed civilization.,D,high_school_european_history_processed.csv
In which of the following the idea of ‘natural law’ first appeared,(A) French Revolution,(B) American War of Independence,(C) Roman Law,(D) Greek Thinking,D,jurisprudence_processed.csv
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I plucked the rare flowers in the public garden. Scenario 2 | I broke his running record.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",B,moral_scenarios_processed.csv
Of the two versions of the principle that Singer considers:,(A) he considers the stronger version to be correct.,(B) he considers the weaker version to be correct.,(C) he ends up rejecting them both.,(D) he claims that they are equivalent.,A,philosophy_processed.csv
What does it mean for a State to be sovereign?,(A) Sovereignty means being recognised by all other States,(B) Sovereignty means to be able to enter into treaties and join the UN,(C) Sovereignty means freedom to determine one's own affairs without external interference,(D) Sovereignty means possessing the right to defend oneself,C,international_law_processed.csv
Which of the following is a treaty-based human rights mechanism?,(A) The UN Human Rights Committee,(B) The UN Human Rights Council,(C) The UN Universal Periodic Review,(D) The UN special mandates,A,international_law_processed.csv
Arguing that a claim must be true because there is no evidence that it is false is which of the following fallacies?,(A) a priori,(B) Extension,(C) Appeal to ignorance,(D) plurium interrogationum,C,logical_fallacies_processed.csv
 Which of the following is not an example of vice?,(A) callousness,(B) obesity,(C) selfishness,(D) greediness,B,moral_disputes_processed.csv
"This question refers to the following information.Source 1:""The case of a broken thigh is analogous to that of the arm, but in particular, a fractured thigh is mostly deranged forwards and outwards, for the bone is naturally flattened on those sides. It is to be set by the hands, with ligatures, and even cords applied, the one above and the other below the fracture. When the fracture takes place at one end, if at the head of the thigh, the middle part of a thong wrapped round with wool, so that it may not cut the parts there, is to be applied to the perineum, and the ends of it brought up to the head and given to an assistant to hold, and applying a ligature below the fracture, we give the ends of it to another assistant to make extension. If it is fractured near the knee, we apply the ligature immediately above the fracture, and give the ends to an assistant, with which to make extension upwards; and while we put a ligature round the knee to secure it, and while the patient lies thus, with his leg extended, we arrange the fracture.""Paul of Aegina, Epitome: On the Fracture of the Thigh and Nose, late seventh century C.E.Source 2:""Medicine considers the human body as to the means by which it is cured and by which it is driven away from health. The knowledge of anything, since all things have causes, is not acquired or complete unless it is known by its causes. Therefore in medicine we ought to know the causes of sickness and health. And because health and sickness and their causes are sometimes manifest, and sometimes hidden and not to be comprehended except by the study of symptoms, we must also study the symptoms of health and disease. Now it is established in the sciences that no knowledge is acquired save through the study of its causes and beginnings, if it has had causes and beginnings; nor completed except by knowledge of its accidents and accompanying essentials.""Ibn Sina (Avicenna), On Medicine, ca. 1020 C.E.The two passages on medicine illustrate which of the following cultural exchanges that occurred in the period 600–1450 C.E.?",(A) The influence of Mesoamerican science on Europeans through systems of trade and navigation,(B) The influence of Chinese science on Islamic civilizations through European immigration to Islamic lands,(C) The influence of Egyptian science on the Byzantines through European scholars,(D) The influence of Greek science on Europeans through Byzantine and Islamic scholars,D,high_school_world_history_processed.csv
"This question refers to the following information.The pair of excerpts below is written by explorer Christopher Columbus and the Dominican Bishop of Chiapas, Mexico, Bartholomew de las Casas.Source 1Indians would give whatever the seller required. . . . Thus they bartered, like idiots, cotton and gold for fragments of bows, glasses, bottles, and jars; which I forbad as being unjust, and myself gave them many beautiful and acceptable articles which I had brought with me, taking nothing from them in return; I did this in order that I might the more easily conciliate them, that they might be led to become Christians, and be inclined to entertain a regard for the King and Queen, our Princes and all Spaniards, and that I might induce them to take an interest in seeking out, and collecting and delivering to us such things as they possessed in abundance, but which we greatly needed.—Christopher Columbus: letter to Raphael Sanchez, 1493Source 2It was upon these gentle lambs . . . that from the very first day they clapped eyes on them the Spanish fell like ravening wolves upon the fold, or like tigers and savage lions who have not eaten meat for days. The pattern established at the outset has remained unchanged to this day, and the Spaniards still do nothing save tear the natives to shreds, murder them and inflict upon them untold misery, suffering and distress, tormenting, harrying and persecuting them mercilessly. We shall in due course describe some of the many ingenious methods of torture they have invented and refined for this purpose, but one can get some idea of the effectiveness of their methods from the figures alone. When the Spanish first journeyed there, the indigenous population of the island of Hispaniola stood at some three million; today only two hundred survive. Their reason for killing and destroying such an infinite number of souls is that the Christians have an ultimate aim, which is to acquire gold, and to swell themselves with riches in a very brief time and thus rise to a high estate disproportionate to their merits.—Bartholomew de las Casas: A Short Account of the Destruction of the Indies, 1542Which of the following motives for exploration is de las Casas most likely to think is most important in Source 2?",(A) Converting the natives to Christianity,(B) Financial gain,(C) Personal glory,(D) Finding new mates,A,high_school_european_history_processed.csv
"This question refers to the following information.He contains all works and desires and all perfumes and all tastes. He enfolds the whole universe and in silence is loving to all. This is the Spirit that is in my heart, this is Brahman. To him I shall come when I go beyond this life, and to him will come he who has faith and doubts not.—The Upanishads, India, c. 1000 BCEBased on the quotation, what is true of Brahman?",(A) He is found everywhere and contained in everything.,"(B) He resides in a form of paradise, like Heaven.",(C) He is found only inside the hearts of the faithful.,"(D) He is a vengeful God, punishing those who sin.",A,high_school_world_history_processed.csv
" Fine asks us to consider an example in which a private club ""regularly arranges noisy late-night gatherings"" to show that",(A) private clubs can rightfully exclude outsiders.,(B) the actions of groups can affect members outside that group.,(C) there is no difference between an individual's and a group's freedom of association.,(D) all of the above,B,moral_disputes_processed.csv
The fallacy of extension consists of,"(A) asking a question that includes either an unproven assumption or more than one question, thus making a straightforward yes or no answer meaningless.",(B) arguing something is flawed because it doesn't do what it was never intended to do.,(C) arguing about something when you don't know what you're talking about,(D) including more than one claim in the proposition and treating proof for one claim as proof for all the claims.,B,logical_fallacies_processed.csv
"This question refers to the following information.""Our constitution does not copy the laws of neighboring states; we are rather a pattern to others than imitators ourselves. Its administration favors the many instead of the few; this is why it is called a democracy. If we look to the laws, they afford equal justice to all in their private differences; if no social standing, advancement in public life falls to reputation for capacity, class considerations not being allowed to interfere with merit; nor again does poverty bar the way, if a man is able to serve the state, he is not hindered by the obscurity of his condition. The freedom which we enjoy in our government extends also to our ordinary life. There, far from exercising a jealous surveillance over each other, we do not feel called upon to be angry with our neighbor for doing what he likes, or even to indulge in those injurious looks which cannot fail to be offensive, although they inflict no positive penalty. But all this ease in our private relations does not make us lawless as citizens. Against this fear is our chief safeguard, teaching us to obey the magistrates and the laws, particularly such as regard the protection of the injured, whether they are actually on the statute book, or belong to that code which, although unwritten, yet cannot be broken without acknowledged disgrace.""Thucydides, History of the Peloponnesian War, ca. 415 B.C.E.Which of the following correctly describes one of the primary reasons that Greek culture was disseminated widely around the Mediterranean region during the time period represented by the passage?",(A) The geography of Greece contains many natural resources that facilitated a profitable mining industry.,(B) The geography of Greece contains numerous freshwater lakes that facilitated a successful fishing industry.,(C) The geography of Greece contains prominent river valleys that facilitated widespread agriculture.,(D) The geography of Greece contains many natural harbors that facilitated trade and commerce.,D,high_school_world_history_processed.csv
"""The minor premise must affirm the antecedent or deny the consequent"" is a way to determine the validity of which type of argument?",(A) Categorical syllogism,(B) Disjunctive syllogism,(C) Hypothetical syllogism,(D) Toulmin model,C,logical_fallacies_processed.csv
What is the meaning of collective rights?,(A) Collective rights belong to distinct groups of people,(B) Collective rights are those that belong to particular groups as opposed to the individual members of the group,(C) Minority rights are collective rights,(D) Collective rights entail a right of the group as such as well as individual rights of the group's members,B,international_law_processed.csv
"Butler claims that, strictly speaking, the only thing that anyone has a right to is:",(A) life.,(B) liberty.,(C) property.,(D) happiness.,D,philosophy_processed.csv
 Little suggests that we should think about the abortion issue in terms of degrees and layers because,(A) the fetus gains a more certain claim to the right to life over time.,(B) the fetus gains more capacities over time.,"(C) a gestating mother is somewhere in between a mere biological mother and a mother in a thick, normative sense.",(D) the gestating mother has different degrees and layers of preferences.,C,moral_disputes_processed.csv
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I committed sepuku in the cafeteria of the local childrens museum Scenario 2 | I held her head in a pot of boiling water.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,moral_scenarios_processed.csv
"This question refers to the following information.""Upon their arrival they were honorably and graciously received by the grand Khan, in a full assembly of his principal officers. When they drew nigh to his person, they paid their respects by prostrating themselves on the floor. He immediately commanded them to rise, and to relate to him the circumstances of their travels, with all that had taken place in their negotiation with his holiness the pope. To their narrative, which they gave in the regular order of events, and delivered in perspicuous language, he listened with attentive silence. The letters and the presents from pope Gregory were then laid before him, and, upon hearing the former read, he bestowed much commendation on the fidelity, the zeal, and the diligence of his ambassadors; and receiving with due reverence the oil from the holy sepulchre, he gave directions that it should be preserved with religious care. Upon his observing Marco Polo, and inquiring who he was, Nicolo made answer, This is your servant, and my son; upon which the grand Khan replied, ""He is welcome, and it pleases me much,"" and he caused him to be enrolled amongst his attendants of honor. And on account of their return he made a great feast and rejoicing; and as long as the said brothers and Marco remained in the court of the grand Khan, they were honored even above his own courtiers. Marco was held in high estimation and respect by all belonging to the court. He learnt in a short time and adopted the manners of the Tartars, and acquired a proficiency in four different languages, which he became qualified to read and write.""Marco Polo's Travels, ca. 1300 C.E.The encounter described in the account above illustrates which of the following?",(A) The economic dominance of the Ottoman Empire,(B) The influence of Middle Eastern religious beliefs on the peoples of South Asia,(C) The lack of cooperation among major political groups in the High Middle Ages,(D) Amiable cultural exchange between Europe and Asia,D,high_school_world_history_processed.csv
The appeal to fear involves,(A) arguing something should be done only because it will make the person doing it feel good,(B) arguing someone should do something only because of ill will towards someone else,"(C) arguing actions should be taken to avoid exaggerated, unlikely, or irrelevant negative results",(D) characterizing an opponents position in a way that makes it seem silly,C,logical_fallacies_processed.csv
What was the outcome before the European Court of Human Rights in the Al-Adsani case?,(A) The Court held that the right to a fair trial trumped the privilege of immunity,(B) The Court held that immunity trumped the right to a fair trial,(C) The Court held that immunities were not in conflict with the right to a fair trial,"(D) The Court held that human rights considerations prevailed over all other contrary rules of international law, including most immunities",C,international_law_processed.csv
Select the best translation into predicate logic. Alexis is greeted by Ben. (a: Alexis; b: Ben; Gxy: x greets y),(A) Gab,(B) ~Gba,(C) aGb,(D) Gba,D,formal_logic_processed.csv
"This question refers to the following information.""When the gods fashioned Gilgamesh*, to him they gave a perfect form. The glorious sun Shamash bestowed upon him glory; Adad the terrible god of storms bestowed upon him courage. The great gods perfected his magnificence beyond all others, terrible like the great wild bull. Two thirds god they made him; one third man they made him.Of Uruk, its great rampart he built, and the wall of the sacred Eanna temple, the holy sanctuary. Behold the outer walls which gleam with the brilliance of copper; see the inner wall which none might rival. Touch the threshold stone—it is from ancient days. Goest thou into the Eanna temple, yea, the dwelling place of Ishtar, the like of which no subsequent king or living man might equal. Ascend and walk about on the wall of Uruk, inspect the corner-stone, and examine its brick-work, whether its wall is not made of burned brick, and its foundation laid by the Seven Sages. One third for city, one third for garden, one third for field, and a precinct for the temple of Ishtar. These parts and the precinct comprise Uruk.""The Epic of Gilgamesh, ca. 2100 B.C.E.*Gilgamesh was a king of Uruk.The description of Gilgamesh in the first paragraph of the passage most directly supports which of the following statements about ancient leaders?",(A) Ancient leaders were valued for their mastery of complicated legal codes.,(B) Ancient leaders were expected to be experts of animal husbandry.,(C) Ancient leaders were given divine origins to bolster their legitimacy.,(D) Ancient leaders were not judged on their appearances.,C,high_school_world_history_processed.csv
" On Mill's view, the collision with error makes",(A) the impression of truth all the clearer.,(B) the impression of error all the clearer.,(C) the impression of distinct ideas clear.,(D) the impression of the state's paternal authority clear.,A,moral_disputes_processed.csv
"A patient who had suffered a severe fracture of her leg was treated by an orthopedist, who set the patient's leg and put it in a cast. When the leg continued to bother the patient six months later, she consulted a second orthopedist in the same town. The second orthopedist surgically inserted a pin to facilitate healing. The patient brought a malpractice action against the first orthopedist, claiming that he should have surgically inserted a pin at the time of initial treatment. The only evidence that the patient offered in support of her malpractice claim was the testimony of the second orthopedist, as follows: In response to the question ""Would you have inserted a pin initially?"" the second orthopedist testified, ""I personally would not have been satisfied that the leg would heal properly without a pin."" At the close of the patient's evidence, the first orthopedist moved for judgment as a matter of law. Should the motion be granted?","(A) No, because the patient has introduced evidence that the first orthopedist failed to give the care that the second orthopedist would have provided.","(B) No, because the second orthopedist practices in the same town and field of specialty as the first orthopedist.","(C) Yes, because the patient has failed to introduce evidence that the first orthopedist's care fell below the professional standard of care.","(D) Yes, because the second orthopedist also treated the patient and is thus not sufficiently objective to offer expert testimony.",C,professional_law_processed.csv
"This question refers to the following information.First we must remark that the cosmos is spherical in form, partly because this form being a perfect whole requiring no joints, is the most complete of all, partly because it makes the most capacious form, which is best suited to contain and preserve everything; or again because all the constituent parts of the universe, that is the sun, moon and the planets appear in this form; or because everything strives to attain this form, as appears in the case of drops of water and other fluid bodies if they attempt to define themselves. So no one will doubt that this form belongs to the heavenly bodies. …That the earth is also spherical is therefore beyond question, because it presses from all sides upon its center. Although by reason of the elevations of the mountains and the depressions of the valleys a perfect circle cannot be understood, yet this does not affect the general spherical nature of the earth. …As it has been already shown that the earth has the form of a sphere, we must consider whether a movement also coincides with this form, and what place the earth holds in the universe. … The great majority of authors of course agree that the earth stands still in the center of the universe, and consider it inconceivable and ridiculous to suppose the opposite. But if the matter is carefully weighed, it will be seen that the question is not yet settled and therefore by no means to be regarded lightly. Every change of place which is observed is due, namely, to a movement of the observed object or of the observer, or to movements of both. … Now it is from the earth that the revolution of the heavens is observed and it is produced for our eyes. Therefore if the earth undergoes no movement this movement must take place in everything outside of the earth, but in the opposite direction than if everything on the earth moved, and of this kind is the daily revolution. So this appears to affect the whole universe, that is, everything outside the earth with the single exception of the earth itself. If, however, one should admit that this movement was not peculiar to the heavens, but that the earth revolved from west to east, and if this was carefully considered in regard to the apparent rising and setting of the sun, the moon and the stars, it would be discovered that this was the real situation.""Nicolas Copernicus, The Revolutions of the Heavenly Bodies, 1543From the passage, one may say that Copernicus's argument for a spherical cosmos was based on",(A) observation and induction,(B) ancient textual authority,(C) experimentation,(D) deduction from first principles,A,high_school_european_history_processed.csv
"What is the meaning of the Punjabi word ""Sikh""?",(A) Disciple,(B) Faithful,(C) Devotee,(D) Enlightened,A,world_religions_processed.csv
"This question refers to the following information.At the peak of their power, the domains of the Mongol khans, or rulers, made up a vast realm in which once-hostile peoples lived together in peace and virtually all religions were tolerated. . . . The law code first promulgated by Chinggis Khan ordered human interaction. The result was an important new stage in international contact. From eastern Europe to southern China, merchants and travelers could move across the well-policed Mongol domains without fear for their lives or property. The great swath of Mongol territory that covered or connected most of Europe, Asia, and the Middle East served as a bridge between the civilizations of the Eastern Hemisphere. The caravans and embassies that crossed the Mongol lands transmitted new food, inventions, and ideas from one civilized pool to others and from civilized pools to the nomadic peoples who served as intermediaries. Secure trade routes made for prosperous merchants and wealthy, cosmopolitan cities. They also facilitated the spread of foods [and] inventions . . . a major force for economic and social development and the enhancement of civilized life.—Robert Guisepi, 1992The legacies or adaptations of legacies from the Mongol empire are varied. Most notably, they include which of the following selections?",(A) Public libraries,(B) Universal health care,(C) The game of chess,(D) Religious tolerance,D,high_school_world_history_processed.csv
To which species does Lucy belong?,(A) Homo habilis,(B) Australopithecus afarensis,(C) Homo sapiens,(D) Australopithecus robustus,B,prehistory_processed.csv
"This question refers to the following information.The passage below is taken from testimony before Parliament.Joshua Drake, called in; and Examined.You say you would prefer moderate labour and lower wages; are you pretty comfortable upon your present wages?—I have no wages, but two days a week at present; but when I am working at some jobs we can make a little, and at others we do very poorly.When a child gets 3s. a week, does that go much towards its subsistence?—No, it will not keep it as it should do.Why do you allow your children to go to work at those places where they are ill-treated or over-worked?—Necessity compels a man that has children to let them work.Then you would not allow your children to go to those factories under the present system, if it was not from necessity?—No.—Testimony given before the Sadler Committee, 1831–32Which period in history is associated with the conditions described in the passage?",(A) The Enlightenment,(B) The Green Revolution,(C) The Scientific Revolution,(D) The Industrial Revolution,D,high_school_world_history_processed.csv
"This question refers to the following information.""I travelled thence to 'Aden, the port of Yemen, on the coast of the ocean. It is surrounded by mountains and can be approached from one side only; it has no crops, trees, or water, but has reservoirs in which rainwater is collected. The Arabs often cut off the inhabitants from their supply of drinking-water until the they buy them off with money and pieces of cloth. It is an exceedingly hot place. It is the port of the Indians, and to it come large vessels from Kinbayat [Cambay], Kawlam [Quilon], Calicut and many other Malabar ports [on the south-west coast of India]. There are Indian merchants living there, as well as Egyptian merchants. Its inhabitants are all either merchants, porters, or fishermen. Some of the merchants are immensely rich, so rich that sometimes a single merchant is sole owner of a large ship with all it contains, and this is a subject of ostentation and rivalry amongst them. In spite of that they are pious, humble, upright, and generous in character, treat strangers well, give liberally to devotees, and pay in full the tithes due to God.""Ibn Battuta, ca. 1325–1354 C.E.The views expressed in this journal passage are best seen as evidence of which of the following concerning medieval Islamic societies?",(A) The absence of religious orthodoxy,(B) Hostility toward outsiders,(C) Limited economic opportunities,(D) The supremacy of piety,D,high_school_world_history_processed.csv
" Use indirect truth tables to determine whether each set of propositions is consistent. If the set is consistent, choose an option with a consistent valuation. (There may be other consistent valuations.)A ⊃ (~B ∨ C)C ⊃ DA ∨ (B · ~D)A ≡ (B ⊃ D)",(A) Inconsistent,(B) Consistent. Consistent valuation when A and D are true and B and C are false,"(C) Consistent. Consistent valuation when A, B, and D are true and C is false",(D) Consistent. Consistent valuation when C and D are true and A and B are false,B,formal_logic_processed.csv
" Select the best English interpretation of the given proposition, using the following translation key: Ax: x is an apartment Hx: x is a house Lx: x is large Bxy: x is bigger than y (∀x){Ax ⊃ (∀y)[(Hy • Ly) ⊃ ∼Bxy]}",(A) All apartments are not bigger than some large house.,(B) No apartment is bigger than any large house.,(C) All large houses are not bigger than some apartment.,(D) No large house is bigger than all apartments.,B,formal_logic_processed.csv
"This question refers to the following information.""In one view the slaveholders have a decided advantage over all opposition. It is well to notice this advantage—the advantage of complete organization. They are organized; and yet were not at the pains of creating their organizations. The State governments, where the system of slavery exists, are complete slavery organizations. The church organizations in those States are equally at the service of slavery; while the Federal Government, with its army and navy, from the chief magistracy in Washington, to the Supreme Court, and thence to the chief marshalship at New York, is pledged to support, defend, and propagate the crying curse of human bondage. The pen, the purse, and the sword, are united against the simple truth, preached by humble men in obscure places.""Frederick Douglass, 1857The excerpt from Frederick Douglass is most clearly an example of which of the following developments in the mid-nineteenth century?",(A) The gradual replacement of indentured servants with African slaves,(B) The preservation of African culture through cultural adaptation,(C) Southern influence upon the federal government to defend the institution of slavery,(D) The success of abolitionists to sway majority public opinion,C,high_school_us_history_processed.csv
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I ate the cookies my mother bought for my brother. Scenario 2 | I fed the hungry child some boiling soup.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,moral_scenarios_processed.csv
 Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?,(A) China,(B) Silla,(C) Goguryeo,(D) Joseon,B,world_religions_processed.csv
What is jus cogens?,"(A) They are peremptory norms of international law, from which no derogations are allowed and which can never be altered even with the consent of the States",(B) They are rules of international law that are laid down in multilateral treaties with a wide participation,(C) They are the decisions of the UN Security Council,(D) They are the rules of international law on which the ICJ founds its decisions,A,international_law_processed.csv
"This question refers to the following information.""The Italian nation has been at last united in our own days, and we all rejoiced in its union. Yet we may be allowed to doubt whether the union was not a little too speedy and a little too thorough. It is surely carrying unity too far to wipe out all traces of the independent being, for most purposes to wipe out the very name, of such a land as Sicily. It jars on our feelings to find that, while Ireland at least forms part of the royal style of its sovereign, Sicily is no longer even a geographical expression. The island realm of Roger has sunk to be seven provinces of the kingdom on the mainland. And there is another result of Italian unity, a result in which we may rejoice without drawbacks, but which still has somewhat of sadness about it as finally ending that great phase of the history of Europe with which we have throughout been dealing. Never were ties with the past so fully snapped as when the army of Italy entered liberated Rome. Of all novelties in European history the greatest was when Rome became the centre of a dominion with acknowledged metes and bounds, the head in short of a local Italian kingdom. ""Rome the capital of Italy"" was a formula which might well gladden our hearts; but it was a formula which formally swept away the œcumenical position, the œcumenical traditions, of Rome&….But the kingdom of Italy is not an appendage to Rome; Rome is the head of the kingdom. The whole is greater than its part; Rome, by her own free will and by the free will of Italy, has become less than Italy. By becoming the willing head of an Italian kingdom she has formally cast aside her Imperial traditions as they were not cast aside when brute force made her the head of a French department.""Edward A. Freeman, British historian and politician, The Chief Periods of European History, 1885According to the author, Italy's connections to its history and traditions were most ""fully snapped"" when",(A) Sicily ceased to be an independent kingdom.,(B) Italians liberated Rome.,(C) Rome became the head of a French Department.,(D) French troops abandoned Rome to fight in the Franco-Prussian War.,D,high_school_european_history_processed.csv
For whom are the Hindu Vedas most significant?,(A) Brahmins,(B) Kshatriyas,(C) Shiva,(D) Yogis,A,world_religions_processed.csv
"This question refers to the following information.""Purusa-Sukta""Purusa is the lord of the immortals, who grow by means of [ritual] food. When the gods performed a sacrifice with the offering Purusa, spring was its clarified butter, summer the kindling, autumn the oblation.It was Purusa, born in the beginning, which they sprinkled on the sacred grass as a sacrifice. It made the beasts of the air, the forest and the village. From that sacrifice completely offered, the mantras [Rig Veda] and the songs [Samaveda] were born. The sacrificial formulae [Yajurveda] were born from it. From it the horses were born and all that have cutting teeth in both jaws. The cows were born from it, also. From it were born goats and sheep.When they divided Purusa, how many ways did they apportion him? What was his mouth? What were his arms? What were his thighs, his feet declared to be? His mouth was the Brahman, his arms were the Rajanaya [Ksatriya], his thighs the Vaisya; from his feet the Sudra was born. Thus, they fashioned the worlds. The gods sacrificed with the sacrifice to the sacrifice. These were the first rites.—Hymns excerpted and adapted from the Rig Veda, oldest surviving literary work, India, 1500–1000 BCEWhich of the following would best contradict the argument that the caste system imposed rigid economic and social roles on Indian society in the period 600 BCE to 600 CE?",(A) For there is nothing better for a Kshatriya than a righteous battle.,(B) The four divisions of human society are created by me [Krishna].,(C) The person traditionally credited with composing the Mahabarata was born to a fisherwoman.,"(D) The Hindu God Shiva is considered to be simultaneously the creator, the preserver, and the destroyer.",C,high_school_world_history_processed.csv
