question,A,B,C,D,answer,source_file
Which of the following principles is realized when the federal government provides most of the funding to a project in which multiple levels of government work together?,(A) Confederation,(B) Fiscal federalism,(C) Grant-based funding,(D) Dual federalism,B,high_school_government_and_politics_processed.csv
Which one of the statements below is characteristic of most African cities?,"(A) They have thriving, clean residential areas.",(B) There are jobs for most rural-to-urban migrants.,(C) They have three separate business districts.,(D) They have a well-developed infrastructure.,C,high_school_geography_processed.csv
"Joey, a 25-year-old convict, has a history of conduct disorder in elementary school and bullying in junior high. By high school, he was mugging peers and taking whatever he wanted from elderly shoppers without caring if he hurt anyone. Joey would most likely be diagnosed with",(A) antisocial personality disorder,(B) dissociative identity disorder,(C) paranoid schizophrenia,(D) somatoform disorder,A,high_school_psychology_processed.csv
"According to one criterion of discrimination, under which of the following conditions would it be safe to assume that a selection test does not discriminate against a particular racial group",(A) No one from the group has applied for a position with the organization using the test,(B) ‘The test manual demonstrates chat the test is valid for a wide variety of jobs,(C) “The test rejects applicants from different racial groups in the same proportion,(D) Iris not feasible to conduct separate validity studies on male and female employees,C,professional_psychology_processed.csv
Which factors are mentioned that influence media coverage of a story?,"(A) Content, quality of source, relevance","(B) Timing, content, media liaison","(C) Content, quality of source, human interest angle","(D) Timing, relevance, political slant",B,public_relations_processed.csv
"Nancy has the choice to spend one hour studying for an exam, mowing the lawn for one hour at a wage of $6, or babysitting her niece for one hour at a wage of $8. If we know that Nancy has chosen to study for the exam, which of the following is true?",(A) The benefit received from studying is greater than the opportunity cost of $8.,"(B) The opportunity cost of studying is $14, which is less than the benefit received from studying.",(C) Nancy is indifferent to both studying and mowing the lawn.,"(D) Nancy's behavior is irrational, since babysitting was clearly superior to all other options.",A,high_school_microeconomics_processed.csv
Among those hurt by inflation are I.   borrowers at fixed interest rates II.   individuals on fixed incomes III.   those with savings earning fixed interest rates IV.   restaurant owners,(A) I and II only,(B) II and III only,(C) II and IV only,(D) II III and IV only,D,high_school_macroeconomics_processed.csv
Which of the following is the most common method of birth control for married couples in the U.S..,(A) Sterilization,(B) The IUD,(C) The diaphragm,(D) The rhythm method,A,human_sexuality_processed.csv
The capacity of a spinal-cord injured man to have erections depends on:,(A) the level of the spinal cord at which the injury occurred,(B) whether the spinal cord was partially or completely severed,(C) the man's age,(D) both a and b,D,human_sexuality_processed.csv
Which choice produces a faster rate of economic growth for the United States?,(A) Institution of higher tariffs on imported goods,(B) More investment in capital infrastructure and less consumption of nondurable goods and services,(C) Elimination of mandatory school attendance laws,(D) Annual limits on the number of foreigners immigrating into the United States,B,high_school_macroeconomics_processed.csv
Which of the following capital cities is located OUTSIDE the central core area of the country?,"(A) Abuja, Nigeria","(B) Paris, France","(C) London, United Kingdom","(D) Cairo, Egypt",A,high_school_geography_processed.csv
"Which of the following constitutional principles might be violated if the Environmental Protection Agency issued, enforced, and adjudicated all disputes regarding a new regulation?",(A) Vertical federalism,(B) Due process of law,(C) Comity,(D) Separation of powers,D,high_school_government_and_politics_processed.csv
"Which of the following theories uses terms such as ""modelling"" and ""imitation"" to explain the effects of exposure to erotica on a person's behaviour?",(A) sociobiology,(B) psychoanalytic theory,(C) script theory,(D) social learning theory,D,human_sexuality_processed.csv
The focus of structuralists most closely matches the current perspective of,(A) psychoanalysts,(B) behaviorists,(C) cognitivists,(D) humanists,C,high_school_psychology_processed.csv
Suppose transfer payments are greater than Social Security contributions corporate taxes and retained earnings combined. In that case,(A) NDP will be greater than GDP.,(B) NI will be greater than GDP.,(C) PI will be greater than NI.,(D) DPI will be greater than PI.,C,high_school_macroeconomics_processed.csv
"""Mommy gived me a cookie"" best illustrates a basic understanding of",(A) phonemes,(B) prelinguistic speech,(C) holophrases,(D) grammar,D,high_school_psychology_processed.csv
A stronger stock market is likely to cause which of the following changes in the consumption function and aggregate demand? CONSUMPTION FUNCTION     AGGREGATE DEMAND,(A) Increase     Increase,(B) No change     No change,(C) Increase     No change,(D) Increase     Increase,D,high_school_macroeconomics_processed.csv
Which of the following information about publications does the Audit Bureau of Circulation NOT provide?,(A) Circulation,(B) Distribution,(C) Traffic,(D) Readership,D,public_relations_processed.csv
Another term for sexual self-stimulation is:,(A) masturbation,(B) autoeroticism,(C) self-eroticism,(D) a and b,D,human_sexuality_processed.csv
One of the most frequent findings of studies on human beings with “split brains” is that,(A) The right hemisphere is predominantly concerned with verbal information,(B) certain kinds of visuospatial tasks are performed beer by the right hemisphere than by the left,(C) the right hemisphere provides backup for the left in some tasks but excels the left in none,"(D) aside from the long-known localization of speech functions, the two hemispheres appear to be essentially equivalent as information processors",B,professional_psychology_processed.csv
An import quota on foreign automobiles is expected to,(A) increase domestic efficiency and protect domestic producers at the expense of foreign producers.,(B) decrease the price of automobiles and protect domestic consumers at the expense of foreign producers.,(C) increase the price of automobiles and protect domestic producers at the expense of consumers.,(D) increase the price of automobiles and protect domestic consumers at the expense of domestic producers.,C,high_school_macroeconomics_processed.csv
The medical model of psychologically disordered behavior is most likely to be criticized for neglecting the importance of,(A) depression,(B) anxiety disorders,(C) neurotransmitters,(D) social circumstances,D,high_school_psychology_processed.csv
"If there is a positive externality associated with the production of a private good, which of the following is an action of government that would most likely move the market to an efficient outcome?",(A) Close the firm producing the good.,(B) Subsidize the firm or its customers.,(C) Tax the firm.,(D) Appoint a commission.,B,high_school_microeconomics_processed.csv
Suppose that the value of $R^2$ for an estimated regression model is exactly zero. Which of the following are true?i) All coefficient estimates on the slopes will be zeroii) The fitted line will be horizontal with respect to all of the explanatory variablesiii) The regression line has not explained any of the variability of y about its mean valueiv) The intercept coefficient estimate must be zero.,(A) (ii) and (iv) only,(B) (i) and (iii) only,"(C) (i), (ii), and (iii) only","(D) (i), (ii), (iii), and (iv)",C,econometrics_processed.csv
An increase in the price level and a decrease in real GDP in the short run could be the result of,(A) a prolonged period of very bad weather.,(B) a decrease in the money supply.,(C) a decrease in consumer confidence.,(D) an increase in consumer confidence.,A,high_school_macroeconomics_processed.csv
Darla and Janice are two moms raising a son Timmy. Which of the following most likely characterizes Timmy?,(A) He will probably grow up to be gay.,(B) He will not be popular with his peers.,(C) As long as Timmy has at least one supportive and accepting caregiver he will have a healthy development.,(D) His social skills will lag behind his peers who are raised in heterosexual families.,C,human_sexuality_processed.csv
The 'Great Migration' of 1916-1919 meant that Chicago became an ethnically diverse city. The consequence of this was:,(A) assimilation: all racial boundaries were dissolved by the 'ethnic melting pot',(B) multiculturalism: all ethnic identities were celebrated equally,"(C) most ethnic groups were integrated into mainstream society, but the black population remained in the city's ghettos",(D) racism: the white host population were hostile and prejudiced towards migrants,C,sociology_processed.csv
Which of the following best illustrates the definition of a functional region?,(A) A map showing Atlanta as a hub for Delta Airlines,(B) An article describing the region referred to as the South,(C) A map showing North Carolina's one hundred counties,(D) An essay explaining the region known as the Bible Belt,A,high_school_geography_processed.csv
What was the significance of the Gulf of Tonkin resolution?,(A) It allowed the US to intensify its involvement in Vietnam,(B) It illustrated the influence of public opinion on US foreign policy,(C) It enhanced Congressional control over the Vietnam War,(D) It curtailed US involvement in Vietnam,A,us_foreign_policy_processed.csv
The U.S. economy currently suffers a recessionary gap and a budget deficit exists. If the government wishes to fix the recession which of the following choices best describes the appropriate fiscal policy the impact on the market for loanable funds the interest rate and the market for the U.S. dollar? FISCAL POLICY     LOANABLE FUNDS     INTEREST RATE     MARKET FOR $,(A) Tax increase     Demand rises     Falling     Demand falls,(B) Tax cut     Supply rises     rising     Demand rises,(C) Tax cut     Demand rises     rising     Demand rises,(D) Tax increase     Supply falls     Falling     Demand rises,C,high_school_macroeconomics_processed.csv
What was the importance of peace research during the 1980s?,(A) Peace research was inter-disciplinary and politically orientated with immediate policy responsibility accountable to the major powers of the political system.,"(B) Peace research, in contrast to university IR, was under a great deal of pressure to deal with relevant issues with a high expectation of immediate delivery of policy answers.",(C) There was a distance from policy responsibility but European security studies gained political relevance due to the politicization of security issues during the period defined by the peace movement.,(D) The setting was simultaneously informed by political theory as the dominant discipline and isolated from developments in theory in the different disciplines.,C,security_studies_processed.csv
Which function of money best defines $1.25 as the price of a 20-ounce bottle of pop?,(A) Medium of exchange,(B) Unit of account,(C) Store of value,(D) Transfer of ownership,B,high_school_macroeconomics_processed.csv
The appropriate fiscal policy to remedy a recession is to,(A) increase government spending and taxes.,(B) reduce government spending and taxes.,(C) increase government spending and reduce taxes.,(D) decrease government spending and increase taxes.,C,high_school_macroeconomics_processed.csv
Which of the following statements is INCORRECT concerning the classical hypothesis testing framework?,"(A) If the null hypothesis is rejected, the alternative is accepted",(B) The null hypothesis is the statement being tested while the alternative encompasses the remaining outcomes of interest,(C) The test of significance and confidence interval approaches will always give the same conclusions,(D) Hypothesis tests are used to make inferences about the population parameters.,A,econometrics_processed.csv
Which of the following estimation techniques are available for the estimation of over-identified systems of simultaneous equations?i) OLSii) ILSiii) 2SLSiv) IV,(A) (iii) only,(B) (iii) and (iv) only,"(C) (ii), (iii), and (iv) only","(D) (i), (ii), (iii) and (iv)",B,econometrics_processed.csv
Which of the following statements does NOT accurately describe voting behavior in the United States?,(A) Registered voters between the ages of 35 and 45 are more likely to vote than are those under the age of 21.,(B) A registered voter who has attained his or her General Educational Development (GED) is less likely to vote than a high school dropout.,(C) Registered voters are more likely to vote in general elections than they are in primary elections.,(D) More women than men have voted in every presidential election since 1980.,B,high_school_government_and_politics_processed.csv
"A stroke that affects the posterior region of the corpus callosum, thus disconnecting the visual centers of the brain from the language centers of the brain, may result in this syndrome:",(A) Agraphia without alexia,(B) Alexia without agraphia,(C) Aphasia,(D) Apraxia,B,professional_psychology_processed.csv
"Historically, what has been the general pattern of defense spending in the United States?",(A) Steady increases over time.,"(B) Increased spending during wars, with demobilization bringing spending down but not back to prewar levels",(C) Unpredictable fluctuations.,"(D) Increased spending during wars, with further increases after the war to prepare for future engagements.",B,us_foreign_policy_processed.csv
The short-run Phillips curve depicts the ____ relationship between ____ and ____.,(A) positive price level interest rate,(B) negative interest rate private investment,(C) negative the inflation rate the unemployment rate,(D) positive price level real GDP,C,high_school_macroeconomics_processed.csv
Which term describes the forces that unify and strengthen a country?,(A) Diffusion,(B) Centrifugal,(C) Centripetal,(D) Ethnocentric,C,high_school_geography_processed.csv
What is meant by the phrase 'empire by invitation'?,(A) Voluntary reliance on an external power for security,(B) Willful openness to colonization,(C) Cultural imperialism,(D) Open advocacy of imperialism for economic gain,A,us_foreign_policy_processed.csv
Which group of people will suffer the most from a rising price level?,(A) debtors with fixed interest rates,(B) people with fixed money incomes,(C) investors in gems coins and stamps,(D) property owners,B,high_school_macroeconomics_processed.csv
What is the relationship between historical materialism and the global justice movement?,"(A) Historical materialism as a paradigm is opposed to the broad goals of the global justice movement, which advocates an expansion of neo-liberalism in the aftermath of the global financial crisis.",(B) Historical materialism has an established history of supporting global justice and opposing inequality; during the Cold War it was the basis of opposition to repressive communist states.,"(C) Historical materialism does not provide any unique perspective on capitalism, and is more concerned with the history of capitalist trade than with exploitation or alienation of populations in the system.","(D) Historical materialism can concern both human rights and economic rights. It has been an important part of anti-globalisation and alternative-globalisation movements, including the Occupy protests.",D,security_studies_processed.csv
"According to International Institutionalists, what problems have international institutions been designed to address?",(A) War,(B) Anarchy,(C) Collective action and coordination problems,(D) All of the above,D,us_foreign_policy_processed.csv
The terms 'crisis of the 1970s' is used to refer to:,(A) declining profits and rising unemployment,(B) the eradication of the welfare state,(C) rising divorce rates and the decline of the traditional family,(D) an unfortunate twist in fashion sensibility,A,sociology_processed.csv
Suppose that the unemployment rate falls from 6 percent to 5 percent and the inflation rate falls from 3 percent to 2 percent. Which of the following best explains these trends?,(A) An increase in aggregate demand.,(B) A decrease in both aggregate demand and aggregate supply.,(C) An increase in both aggregate demand and aggregate supply.,(D) An increase in aggregate supply.,D,high_school_macroeconomics_processed.csv
According to Classical analysis an economy in a recession can return to full employment through,(A) falling wages and prices.,(B) rising wages and prices.,(C) expansionary monetary policy.,(D) increased government spending.,A,high_school_macroeconomics_processed.csv
In which of the following Asian countries would one find special economic zones (SEZs)?,(A) Japan,(B) South Korea,(C) China,(D) Vietnam,C,high_school_geography_processed.csv
"When an appeal is made to the Supreme Court, the court usually",(A) refuses to hear the appeal,(B) declares a mistrial,(C) orders the lower court to retry the case,(D) rules in favor of the defendant,A,high_school_government_and_politics_processed.csv
Suppose that the Durbin Watson test is applied to a regression containing two explanatory variables plus a constant with 50 data points. The test statistic takes a value of 1.53. What is the appropriate conclusion?,(A) Residuals appear to be positively autocorrelated,(B) Residuals appear to be negatively autocorrelated,(C) Residuals appear not to be autocorrelated,(D) The test result is inconclusive,D,econometrics_processed.csv
Which of the following statements regarding historical North American migration streams is NOT correct?,(A) Canada's first major migration came from France.,(B) Canada's second major migration stream originated in the British Isles.,(C) Canada's third major migration stream came from Latin America.,(D) The first major migration wave to the United States originated in Europe.,C,high_school_geography_processed.csv
How does the preoccupation with human rights affect the human rights orientated school of liberalism?,(A) Modern human rights oriented liberalism is concerned with self-determination.,(B) Human rights orientated liberalism will advocate separatism where conflict and bloodshed seem inevitable without it.,"(C) Human rights orientated liberalism is particularly focused on persons subject to economic, sexual, gender, religious, and political persecution, discrimination, or deprivation.",(D) All of these options.,D,security_studies_processed.csv
Which one of the following is examined by looking at a goodness of fit statistic?,(A) How well the population regression function fits the data,(B) How well the sample regression function fits the population regression function,(C) How well the sample regression function fits the data,(D) How well the population regression function fits the sample regression function.,C,econometrics_processed.csv
The sales tax that you pay at the grocery store is commonly labeled a,(A) progressive tax.,(B) regressive tax.,(C) proportional tax.,(D) excise tax.,B,high_school_microeconomics_processed.csv
"Lupe has been dating Craig for a few months. She's attracted to him and has fun with him, but she can't stand his friends or his family. Lupe's conflict would best be classified as",(A) an approach-approach conflict.,(B) an approach-avoidance conflict.,(C) an avoidance-avoidance conflict.,(D) a multiple approach-avoidance conflict.,B,high_school_psychology_processed.csv
Which of the following is true?,(A) A marginal social cost = marginal private cost + marginal social benefits.,(B) Value of externality = marginal social costs.,(C) Value of externality = marginal private costs.,(D) Marginal social cost = marginal private cost + negative externality.,D,high_school_microeconomics_processed.csv
The law of increasing costs,(A) does not apply to guns and butter.,(B) is the result of resources not being perfectly adaptable between the production of two goods.,(C) implies that prices will rise when the costs of making a good rise.,(D) causes the production possibilities frontier to be a straight line.,B,high_school_microeconomics_processed.csv
"A population pyramid, or age-sex structure, displays all the following information about a country's population EXCEPT",(A) future social spending needs of the population.,"(B) the impact of ""baby booms"" on the population.",(C) the impact of wars on the population.,(D) a quick visual depiction of the country's demographics.,B,high_school_geography_processed.csv
The foreign policy doctrine that European nations should stay out of Latin America is known as,(A) the Powell Doctrine.,(B) the Roosevelt Doctrine.,(C) the Bush Doctrine.,(D) the Monroe Doctrine.,D,us_foreign_policy_processed.csv
What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing?,(A) ADF is a single equation approach to unit root testing while PP is a systems approach,(B) PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test,(C) The PP test incorporates an automatic correction for autocorrelated residuals in the test regression,(D) PP tests have good power in small samples whereas DF tests do not.,C,econometrics_processed.csv
Consider a series that follows an MA(1) with zero mean and a moving average coefficient of 0.4. What is the value of the autocovariance at lag 1?,(A) 0.4,(B) 1,(C) 0.34,(D) It is not possible to determine the value of the autocovariances without knowing the disturbance variance.,D,econometrics_processed.csv
In the same period there is a drought affecting the supply of pineapples and a discovery that may assist in the avoidance of cancer. How will this combination of events affect the equilibrium price and quantity of pineapples?Equilibrium Quantity,(A) Increases         Decreases,(B) Increases         Indeterminate,(C) Indeterminate         Increases,(D) Decreases         Indeterminate,B,high_school_microeconomics_processed.csv
All of the following are non-basic jobs in the city EXCEPT,(A) city firefighter.,(B) social worker.,(C) dry cleaner.,(D) garment factory worker.,D,high_school_geography_processed.csv
"If a Johansen ""trace"" test for a null hypothesis of 2 cointegrating vectors is applied to a system containing 4 variables is conducted, which eigenvalues would be used in the test?",(A) All of them,(B) The largest 2,(C) The smallest 2,(D) The second largest,C,econometrics_processed.csv
Which of the following is a legitimate threat to societal security?,(A) Political policies designed to alter demographic characteristics of a state.,(B) All of these options.,(C) Legislation that criminalises certain cultural behaviours or practice.,(D) The use of military force to conduct ethnic-cleansing through displacement and killing.,B,security_studies_processed.csv
Which of these types of survey question seeks qualitative information?,(A) Likert scale,(B) Multiple choice,(C) Open-ended,(D) Yes/No,C,public_relations_processed.csv
What case did President Eisenhower make against the 'military-industrial complex' in his farewell speech?,(A) That the capitalist search for profits was the leading cause of armed conflict,(B) That the United States no longer needed to be militarily strong,(C) That military spending gave the arms industry unwarranted influence on politics and government,(D) That private companies would undermine the role of the Armed Forces,C,us_foreign_policy_processed.csv
Which of the following is true of court cases in which one private party is suing another?,(A) They are tried in civil court.,(B) The federal court system has exclusive jurisdiction over them.,(C) They are tried in criminal court.,(D) The state court system has exclusive jurisdiction over them.,A,high_school_government_and_politics_processed.csv
A book launch would be what kind of common tactic?,(A) Competition,(B) Event,(C) Award,(D) Sponsorship,B,public_relations_processed.csv
What is the chief religion practiced in Europe?,(A) Christianity,(B) Islam,(C) Hinduism,(D) Animism,A,high_school_geography_processed.csv
Periods of special sensitivity to specific types of learning that shape the capacity for future development are known as,(A) maturation periods,(B) critical periods,(C) primary development periods,(D) secondary development periods,B,high_school_psychology_processed.csv
Margaret Mead suggested that:,(A) adolescence and gender roles varied between societies and so were culturally determined,(B) gender roles in three New Guinea societies were identical and so must be biologically determined,(C) adolescence in the USA is a time of relative calm compared to the experience in Japan and Europe,(D) anthropological fieldwork can be problematic because the researcher's values affect the way they interpret their observations,A,sociology_processed.csv
Mulholland (1998) argued that privatization changed the relationship between companies and managers in that:,(A) flexibility was reduced by the introduction of detailed daily worksheets,(B) the state had greater control than managers over production processes,(C) ownership was transferred from small shareholders to senior managers,(D) employment depended on performance rather than trust and commitment,D,sociology_processed.csv
A person who practices the Hindu religion would be most likely to,(A) visit a shrine built on the shore of a lake.,(B) pray five times a day.,(C) bathe in the Ganges River.,(D) make a pilgrimage to Jerusalem.,C,high_school_geography_processed.csv
Which of the following is not recognised as a level of society?,(A) the household,(B) the office,(C) the global village,(D) the nation state,B,sociology_processed.csv
Persons with liberal attitudes about premarital sex are likely to:,(A) have liberal attitudes about extramarital sex,(B) engage in accidental extramarital sexual activity,(C) engage in open swinging,(D) all of the above,A,human_sexuality_processed.csv
"Jim and Tim are identical (monozygotic) twins that were reared together. Scott and Michael are fraternal (dizygotic) twins that were reared together. Given the results of heritability studies of intelligence, which of the following outcomes are most likely to emerge?",(A) Jim and Tim will have very similar IQs.,(B) Scott and Michael will have very similar IQs.,(C) Both pairs will have very similar IQs.,(D) Neither pair will have similar IQs.,A,high_school_psychology_processed.csv
Which of the following statements is accurate in regard to a perfectly competitive firm?,(A) Demand is downward-sloping.,(B) The demand curve lies above the marginal revenue curve.,(C) Price is determined by the equilibrium in the entire market.,(D) Average revenue differs from price.,C,high_school_microeconomics_processed.csv
In the past decade many states have moved forward the date of their presidential primary elections in an effort to,(A) minimize the cost of running the election,(B) convince the national government to move forward the date of the general election,(C) restrict the number of entrants in the presidential race,(D) increase the significance of their election results,D,high_school_government_and_politics_processed.csv
The secondary market for government securities is,(A) where used items are traded.,(B) located in smaller cities.,(C) where the government borrows money.,(D) where government securities that have already been issued may be bought or sold.,D,high_school_macroeconomics_processed.csv
The 'third age' of the life course is said to involve:,(A) active non-work and independence after retirement,"(B) full time employment, family-building and adult responsibility","(C) illness, isolation and increasing dependence on others","(D) the transition from education to work, and distinctive youth cultures",A,sociology_processed.csv
JD Unwin's book _Sex and Culture_ argues what two things are linked?,(A) homosexuality in sons with distant fathers,(B) sexual abuse and Christianity,(C) civilizational collapse and promiscuity,(D) anthropology and evolution,C,human_sexuality_processed.csv
B. F. Skinner was well known for his work involving the,(A) biological perspective,(B) behavioral perspective,(C) cognitive perspective,(D) psychodynamic perspective,B,high_school_psychology_processed.csv
In what ways does the idea of 'victim' impact on the way in which gender security is regarded?,"(A) Woman as 'victim' is, and continues to be, an important narrative of war stories. In 1990 an estimated 90% of war casualties were civilian, the majority women and children. Reports that women are the primary casualties of war has contributed to the enduring perception that women are dependent on men for protection, and that men are responsible for sacrificing their own well bring for the protection of women and the state (often confused with one another through propaganda and imagery).","(B) The role of men as intrinsically heroic has been marginalized as the traumas of war, desertion, and conscription become more apparent. When imagining victims, there is no longer a gender divide. Instead, there is a growing perception that those who fight are courageous and heroic, whilst those who do not take on female characteristics.","(C) Increasing awareness regarding the barbaric nature of warfare and the problems of trauma in war has led to a reversal in the belief that the idea of war is a natural place for males. In contemporary societies across the globe, men are regarded as the victims of gender stereotypes that coerce them into violent behaviour as 'protectors' or aggressors on behalf of the state.",(D) All of these options.,A,security_studies_processed.csv
House members are more concerned about their committee assignments than are senators because,(A) House members may serve on only one committee at a time,(B) Senate committees have relatively little power to alter legislation,(C) bills in the Senate must pass through all committees before reaching the floor,(D) the rules make it extremely difficult for representatives to influence legislation on the House floor,D,high_school_government_and_politics_processed.csv
"The ""melting pot"" theory of combining several immigrant groups into one mainstream culture is called",(A) amalgamation theory.,(B) acculturation.,(C) ethnic islands.,(D) ethnic clustering.,A,high_school_geography_processed.csv
Daniel is a toddler who lags behind his peers in terms of speech development. He avoids eye contact with people and resists alterations to routine. Daniel is most likely to be diagnosed with,(A) Down syndrome.,(B) fetal alcohol syndrome.,(C) mental retardation.,(D) autism.,D,high_school_psychology_processed.csv
The birth of an urban industrial workforce in Europe contributed to the start of the,(A) First Agricultural Revolution.,(B) Second Agricultural Revolution.,(C) Third Agricultural Revolution.,(D) Fourth Agricultural Revolution.,B,high_school_geography_processed.csv
Nonparametric statistics should be used instead of parametric statistics when the,(A) most powerful statistical test for a fixed value of alpha is sought,(B) form of the distribution of scores in the investigated population is not known,(C) data in the investigated population represent a continuous variable,(D) data in the investigated population are known to fulfill the requirements of an interval scale,B,professional_psychology_processed.csv
Which one of the following is NOT a plausible remedy for near multicollinearity?,(A) Use principal components analysis,(B) Drop one of the collinear variables,(C) Use a longer run of data,(D) Take logarithms of each of the variables,D,econometrics_processed.csv
Which of these ways a business impacts on the world do stakeholders NOT normally look at?,(A) Workforce development,(B) Impact on local communities,(C) Impact on the environment,(D) Financial performance,D,public_relations_processed.csv
Which of the following functions tends to decline the most with age,(A) Attention span,(B) Ability to process information rapidly,(C) Crystallized intelligence,(D) Implicit memory,B,professional_psychology_processed.csv
What is the structure of the United Nations Security Council?,"(A) 5 permanent members with veto power, 10 rotating members with no veto power","(B) 5 permanent members and 10 rotating members, all with veto power","(C) 10 permanent members with veto power, and 5 rotating members without veto power",(D) 15 permanent members with veto power,A,us_foreign_policy_processed.csv
Which of the following is an important outcome of the 'energy security nexus'?,(A) Attempts to exert control over energy reserves in the South have consequences for the sustainability of cooperation between core powers; the emergence of geopolitical rivalries over this form of control has implications for international security.,(B) All of these options.,"(C) United by common insecurities concerning the production and supply of energy resources, international actors are forced into negotiation and cooperation between states increases.","(D) By virtue of their energy resources to which the global 'North' desires access, states in the 'South' gain power in the international arena and have redressed the global North-South divide and associated inequalities.",A,security_studies_processed.csv
What was a main organizational change proposed by the 9/11 Commission with regard to the U.S. intelligence community?,(A) Creation of the Department of Homeland Security,(B) Moving the Department of Defense Intelligence Agencies to the CIA for better coordination,(C) Creation of the National Intelligence Director,(D) Moving the domestic intelligence component of the FBI to the CIA,C,us_foreign_policy_processed.csv
"Prior to the late 20th century the role of women in war had been neglected as an area of concern in security studies, for what reason?",(A) Women did not actively engage in warfare as combatants and so questions of gender or the role of women were not important in considerations of security.,"(B) The roles that women played in violence, be it as victims, perpetrators or otherwise, was framed in terms of what effect their roles had on the state, rather than as individuals or as women.",(C) The role of women was given appropriate consideration; women have fulfilled many vital roles in the support of the dominant security system.,"(D) Women are generally unsupportive of warfare and prefer to engage in anti-war or opposition movements, rendering their contribution to the study of warfare as marginal.",B,security_studies_processed.csv
