"question","A","B","C","D","answer"
" What was the most important female-centered festival in cities throughout Greece?","(A) Thesmophoria","(B) Oracle Days","(C) Isthmian Games","(D) Feast of Athrodite","A"
"Speaking in tongues is a feature of which Christian denomination?","(A) Evangelicalism","(B) Pietism","(C) Pentecostalism","(D) Fundamentalism","C"
" Charism can be defined as which of the following?","(A) An oil","(B) Prophecy","(C) A spiritual gift","(D) Authority","C"
" In Islam, what is the qiblah?","(A) Almsgiving","(B) Pilgrimage","(C) Direction of prayer","(D) Revelation","C"
"In Tendai Buddhism, what does the term honji mean?","(A) Trace","(B) Original ground","(C) Manifestation","(D) True sign","B"
" What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?","(A) Hizmet","(B) Nation of Islam","(C) Muslim Brotherhood","(D) Sufism","A"
"For whom are the Hindu Vedas most significant?","(A) Brahmins","(B) Kshatriyas","(C) Shiva","(D) Yogis","A"
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?","(A) Hwanin","(B) Hwanung","(C) Joseon","(D) Yi","B"
" In Buddhism, what are ordained women known as?","(A) Bhikshus","(B) Bhikshunis","(C) The Sangha","(D) Arhats","B"
" What is the name of the most authoritative Kabbalah text?","(A) Gemarah","(B) Midrash","(C) Zohar","(D) Septuagint","C"
" Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?","(A) Dao","(B) Xunzi","(C) Mencius","(D) Confucius","C"
" Which of the following does the Qur'an permit?","(A) Honor Killing","(B) Stoning","(C) Adultery","(D) Polygyny","D"
" Which is the main form of Buddhism in Sri Lanka?","(A) Theravada","(B) Mahayana","(C) Pure Land","(D) Zen","A"
" Which leader is known for spreading the dharma of non-violence?","(A) Ngo Dinh Diem","(B) The Dalai Lama","(C) Siddhartha","(D) Ashoka","D"
"What are the two sacraments that all Christians celebrate?","(A) Baptism and Eucharist","(B) Baptism and Ordination","(C) Eucharist and Marriage","(D) Eucharist and Confession","A"
"What is the most important festival for Sikhs?","(A) Holi","(B) Divali","(C) Baisakhi Day","(D) Hola Mahalla","C"
" Who declared Muhammad a prophet?","(A) Khadijah","(B) Gabriel","(C) Waraqah","(D) Abu Bakr","C"
"The Jataka tales are a collection of which genre of stories?","(A) Life stories","(B) Warrior stories","(C) Birth stories","(D) Hero stories","C"
" Which of the following is the timespan for Japan's closure to Christianity and Europe?","(A) 1749-1945","(B) 1052-1616","(C) 1641-1853","(D) 1517-1870","C"
" In Yiddish, what is the word for covenant?","(A) Haggadah","(B) Halakhah","(C) Brit","(D) Bris","D"
"According to the Sumerian King List, where does kingship come from?","(A) Through initiation into the mystery cults","(B) By military victories","(C) Direct lineage of ancestors","(D) Descends from heaven","D"
"What is the name of the Hindu community associated with environmental activism?","(A) Puranas","(B) Bishnoi","(C) Rajasthan","(D) Jambho","B"
" Which bodhisattva is known for conducting the souls of dead children to salvation?","(A) Guan-yin","(B) Kannon","(C) Ojizo-sama","(D) Amitabha","C"
" The Gospel of John is associated with which theological concept?","(A) Incarnation","(B) Logos of God","(C) Jesus as messiah and saviour","(D) All of the above","D"
"Which god supplanted the earlier Mesopotamian supreme god Enil?","(A) Horus","(B) Inanna","(C) Marduk","(D) Isis","C"
"Which of the following movements was founded by Mordechai Kaplan?","(A) Liberal Judaism","(B) Reform Judaism","(C) Conservative Judaism","(D) Reconstructionist Judaism","D"
"When was the State of Israel established?","(A) 1947","(B) 1948","(C) 1945","(D) 1949","B"
" Icons are a main feature of which church?","(A) Anglican","(B) Catholic","(C) Orthodox","(D) Lutheran","C"
"The first of the Four Noble Truths teaches which of the following cannot be escaped?","(A) Pride","(B) Hatred","(C) Suffering","(D) Fate","C"
" The Continental Reformation started in what year?","(A) 1545","(B) 1517","(C) 1492","(D) 1705","B"
"The minimalism of Haiku is said to be derived from which tradition?","(A) Zen Buddhism","(B) Shinto","(C) Pure Land Buddhism","(D) Confucianism","A"
"Which deity is the Roman counterpart to the Greek god Zeus?","(A) Jupiter","(B) Juno","(C) Dionysius","(D) Neptune","A"
"The philosopher Laozi is associated with which tradition?","(A) Jainism","(B) Buddhism","(C) Confucianism","(D) Daoism","D"
" Which Egyptian gods did Akhenaten make a determined effort to eliminate?","(A) Shu and Set","(B) Horus and Isis","(C) Amun and Mut","(D) Khonsu and Nekhbet","C"
"The term xin refers to which of the following?","(A) Piety","(B) Non-action","(C) Heart-mind","(D) World","C"
" Which term in the dharma texts of the classical period denotes the four stages of life?","(A) Kama","(B) Samnyasin","(C) Ashramas","(D) Arthas","C"
"What is the term for commentary on the Qur'an, which means ""unveiling""?","(A) fiqh","(B) dhikr","(C) ijtihad","(D) tafsir","D"
" With which branch of Islam are the Isma'ilis are associated?","(A) The Sunni","(B) The Shi'a","(C) The Sufi","(D) The Ahmadiyya","B"
" The term mappo is associated with which of the following?","(A) The dharma","(B) An age of decline","(C) The golden age","(D) Samurai","B"
" What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?","(A) Amaterasu","(B) Izanami","(C) Kannon","(D) Guanyin","C"
"Who was the first significant anchorite hermit?","(A) Pachomius","(B) Athanasius","(C) Anthony","(D) Basil","C"
"Which are the synoptic Gospels?","(A) Peter, John, Mark","(B) Matthew, Mark, John","(C) Matthew, Mark, Luke","(D) John, Luke, Mark","C"
"What is the English title for the divination text also known as the Yijing?","(A) The Classic of Documents","(B) The Lotus Sutra","(C) The Flower Garland Sutra","(D) The Classic of Changes","D"
" Where was the most famous site of the mystery cults in Greece?","(A) Ephesus","(B) Corinth","(C) Athens","(D) Eleusis","D"
"When did the Babylonian captivity of ""Exile"" begin?","(A) 515 BCE","(B) 535 BCE","(C) 586 BCE","(D) 70 CE","C"
" The term vajrya means diamond and which of the following?","(A) Emerald","(B) Brilliance","(C) Thunderbolt","(D) Lightning","C"
" In Jainism, what is the cycle that one must liberate oneself from?","(A) Punya","(B) Samsara","(C) Samayika","(D) Jiva","B"
" The classic text Daodejing is known by what title in English?","(A) Classic of Changes","(B) Classic of the Way and Power","(C) Classic of Women","(D) Classic of Philosophy","B"
" The Communidades de Base is associated with which of the following?","(A) Bishop Oscar Romero","(B) Resistance and renewal","(C) Dignity of all human beings","(D) All of the above","D"
"What does the term matsuri mean?","(A) Amulets","(B) Meditation","(C) Rituals","(D) Grand festivals","D"
" Which Roman statesman encouraged civic religion in his work The Laws?","(A) Varro","(B) Plato","(C) Cicero","(D) Augustus","C"
" What does ""Svetambara"" mean?","(A) ""Sky-clad""","(B) ""Naked""","(C) ""White-clad""","(D) ""Clothed""","C"
"What is seen by Europeans, and many Muslims, as the symbol of Islam?","(A) The Hijab","(B) The Crescent","(C) The Minaret","(D) The Qur'an","B"
" What is the purpose for hearing the Guru's Vak in the morning?","(A) Prayers on behalf of people outside of the Sikh community","(B) Communal confession to cleanse the community","(C) Inspiration for personal meditation throughout the day","(D) Doctrinal instruction for discussion in the community","C"
" What are the rabbinical commentaries produced after the Mishnah called?","(A) Septuagint","(B) Talmud","(C) Yeshiva","(D) Gemarah","D"
"What is a mohel?","(A) A ritual circumciser","(B) A type of oil lame","(C) A teacher","(D) A covenant","A"
"The ""Flower Sermon"" is associated with which form of Buddhism?","(A) Theravada","(B) Chan-Zen","(C) Pure Land","(D) Yogicara","B"
" When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?","(A) Early Third Century BCE","(B) Second and First Century BCE","(C) Late Sixth Century BCE","(D) Fourth and Third Century BCE","C"
" What is the foremost reason for wearing the hijab in the present day?","(A) Islamic identity","(B) Islamic modesty","(C) Islamic obedience","(D) Islamic seclusion","A"
"The Oral Torah, in its written form, is known as what?","(A) Mishnah","(B) Midrash","(C) Tanakh","(D) Pentateuch","A"
"What has been a central focus of religious traditions in China and Korea?","(A) Peace and harmony","(B) Power and influence","(C) Truth and love","(D) Wisdom and ethics","A"
" To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?","(A) The Buddha","(B) Laozi","(C) The Queen Mother of the West","(D) Confucius","C"
" The theological term homoousios means which of the following?","(A) of a similar substance","(B) of the same substance","(C) of like substance","(D) of human substance","B"
"According to the Japanese origin myth, who gives birth to Amaterasu from his left eye?","(A) Es","(B) Izanagi","(C) Izanami","(D) Kami","B"
" The numen of Augustus referred to which of the following characteristics?","(A) Divine power","(B) Sexual virility","(C) Military acumen","(D) Philosophical intellect","A"
