property,prefix,Context,Question,Correct Answer,negative_sample_type
can be cut into slices,a spider,'',Can a spider be cut into slices?,No,random
can be dangerous,a centipede,'',Can a centipede be dangerous?,No,random
can be decaffeinated,a trombone,'',Can a trombone be decaffeinated?,No,random
can be decorative,a corkscrew,'',Can a corkscrew be decorative?,No,random
can be deflated,a balloon,'',Can a balloon be deflated?,Yes,random
can be deflated,flour,'',Can flour be deflated?,No,random
can be difficult to digest,corn,'',Can corn be difficult to digest?,Yes,random
can be dressed up,a doll,'',Can a doll be dressed up?,Yes,random
can be driven,a motorcycle,'',Can a motorcycle be driven?,Yes,random
can be driven,satsuma,'',Can satsuma be driven?,No,random
can be eaten cold,a date,'',Can a date be eaten cold?,Yes,random
can be eaten dried,an apricot,'',Can an apricot be eaten dried?,Yes,random
can be eaten raw,tomato,'',Can tomato be eaten raw?,Yes,random
can be eaten raw,a caravan,'',Can a caravan be eaten raw?,No,random
can be eaten with chips,a deer,'',Can a deer be eaten with chips?,No,random
can be emptied,a bolt,'',Can a bolt be emptied?,No,random
can be empty,a barrel,'',Can a barrel be empty?,Yes,random
can be environmentally friendly,a coach,'',Can a coach be environmentally friendly?,Yes,random
can be environmentally friendly,a trumpet,'',Can a trumpet be environmentally friendly?,No,random
can be fair,a piano,'',Can a piano be fair?,No,random
can be fastened,a caravan,'',Can a caravan be fastened?,No,random
can be filled,a bathtub,'',Can a bathtub be filled?,Yes,random
can be filled with custard,cucumber,'',Can cucumber be filled with custard?,No,random
can be filled with helium,a lorry,'',Can a lorry be filled with helium?,No,random
can be filled with jam,a donut,'',Can a donut be filled with jam?,Yes,random
can be filling,a houseboat,'',Can a houseboat be filling?,No,random
can be fished,a herring,'',Can a herring be fished?,Yes,random
can be flared,a trouser,'',Can a trouser be flared?,Yes,random
can be flavored,a camel,'',Can a camel be flavored?,No,random
can be flavored with lemon,lettuce,'',Can lettuce be flavored with lemon?,No,random
can be fluffy,a banjo,'',Can a banjo be fluffy?,No,random
can be folded,a finger,'',Can a finger be folded?,No,random
can be found at orchestras,a flute,'',Can a flute be found at orchestras?,Yes,random
can be found by the fire,an onion,'',Can an onion be found by the fire?,No,random
can be found in a kitchen drawer,a peeler,'',Can a peeler be found in a kitchen drawer?,Yes,random
can be found in bedrooms,a bed,'',Can a bed be found in bedrooms?,Yes,random
can be found in bedrooms,a squirrel,'',Can a squirrel be found in bedrooms?,No,random
can be found in boats or ships,a deckchair,'',Can a deckchair be found in boats or ships?,Yes,random
can be found in boats or ships,a trout,'',Can a trout be found in boats or ships?,No,random
can be found in cars,a clamp,'',Can a clamp be found in cars?,Yes,random
can be found in cars,a soup,'',Can a soup be found in cars?,No,random
can be found in cold climate,a pie,'',Can a pie be found in cold climate?,No,random
can be found in dark places,a millipede,'',Can a millipede be found in dark places?,Yes,random
can be found in factories,a spoon,'',Can a spoon be found in factories?,No,random
can be found in forests,a skunk,'',Can a skunk be found in forests?,Yes,random
can be found in forests,a strainer,'',Can a strainer be found in forests?,No,random
can be found in gardens,a bowl,'',Can a bowl be found in gardens?,No,random
can be found in hot climate,an iguana,'',Can an iguana be found in hot climate?,Yes,random
can be found in hot climate,a bomb,'',Can a bomb be found in hot climate?,No,random
can be found in houses,a peeler,'',Can a peeler be found in houses?,Yes,random
can be found in houses,a thumb,'',Can a thumb be found in houses?,No,random
can be found in nests,a termite,'',Can a termite be found in nests?,Yes,random
can be found in nests,an organ,'',Can an organ be found in nests?,No,random
can be found in offices,a coffee maker,'',Can a coffee maker be found in offices?,Yes,random
can be found in pet shops,a toad,'',Can a toad be found in pet shops?,No,random
can be found in rock pools,a crab,'',Can a crab be found in rock pools?,Yes,random
can be found in seas,a speedboat,'',Can a speedboat be found in seas?,Yes,random
can be found in seas,a spatula,'',Can a spatula be found in seas?,No,random
can be found in sheds,a cradle,'',Can a cradle be found in sheds?,No,random
can be found in shops,a willow tree,'',Can a willow tree be found in shops?,No,random
can be found in swamps,a crocodile,'',Can a crocodile be found in swamps?,Yes,random
can be found in the pubic region,a bikini,'',Can a bikini be found in the pubic region?,No,random
can be found in the study,a scythe,'',Can a scythe be found in the study?,No,random
can be found in the tool box,a television,'',Can a television be found in the tool box?,No,random
can be found in the wild,a wren,'',Can a wren be found in the wild?,Yes,random
can be found in utility rooms,a coffee maker,'',Can a coffee maker be found in utility rooms?,Yes,random
can be found in vanity cabinets,a mirror,'',Can a mirror be found in vanity cabinets?,Yes,random
can be found in vanity cabinets,a drum,'',Can a drum be found in vanity cabinets?,No,random
can be found in zoos,a speedboat,'',Can a speedboat be found in zoos?,No,random
can be found living in large groups,a hippo,'',Can a hippo be found living in large groups?,No,random
can be found near the toilet,a scorpion,'',Can a scorpion be found near the toilet?,No,random
can be found on beaches,a clam,'',Can a clam be found on beaches?,Yes,random
can be found on canals,a tugboat,'',Can a tugboat be found on canals?,Yes,random
can be found on cupboards,a plate,'',Can a plate be found on cupboards?,Yes,random
can be found on cupboards,a buttercup,'',Can a buttercup be found on cupboards?,No,random
can be found on driveways,a caravan,'',Can a caravan be found on driveways?,Yes,random
can be found on farms,a pig,'',Can a pig be found on farms?,Yes,random
can be found on farms,a shrimp,'',Can a shrimp be found on farms?,No,random
can be found on furry animals,a flea,'',Can a flea be found on furry animals?,Yes,random
can be found on lakes,a bench,'',Can a bench be found on lakes?,No,random
can be found on land,a buffalo,'',Can a buffalo be found on land?,Yes,random
can be found on legs,sweet potato,'',Can sweet potato be found on legs?,No,random
can be found on plants,a cricket,'',Can a cricket be found on plants?,Yes,random
can be found on ponds,a goose,'',Can a goose be found on ponds?,Yes,random
can be found on ponds,a hoe,'',Can a hoe be found on ponds?,No,random
can be found on rivers,a cake,'',Can a cake be found on rivers?,No,random
can be found on tables,a bottle,'',Can a bottle be found on tables?,Yes,random
can be found on tables,a porcupine,'',Can a porcupine be found on tables?,No,random
can be found underground,milk,'',Can milk be found underground?,No,random
can be found underwater,a strainer,'',Can a strainer be found underwater?,No,random
can be fried,a wren,'',Can a wren be fried?,No,random
can be gifted,an orchid,'',Can an orchid be gifted?,Yes,random
can be gifted,a screwdriver,'',Can a screwdriver be gifted?,No,random
can be grated,a drill,'',Can a drill be grated?,No,random
can be grown,lemon,'',Can lemon be grown?,Yes,random
can be hard to clean,a jar,'',Can a jar be hard to clean?,No,random
can be healed,a bone,'',Can a bone be healed?,Yes,random
can be healed,a scallop,'',Can a scallop be healed?,No,random
can be held in the palm,ketchup,'',Can ketchup be held in the palm?,No,random
can be high definition,a television,'',Can a television be high definition?,Yes,random
can be high definition,peach,'',Can peach be high definition?,No,random
can be hit with a hammer,a nail,'',Can a nail be hit with a hammer?,Yes,random
can be infected,an ear,'',Can an ear be infected?,Yes,random
can be infected,a seahorse,'',Can a seahorse be infected?,No,random
can be kept in a bowl,a goldfish,'',Can a goldfish be kept in a bowl?,Yes,random
can be kept in a bowl,a rhino,'',Can a rhino be kept in a bowl?,No,random
can be kneaded,a refrigerator,'',Can a refrigerator be kneaded?,No,random
can be laid on its side,a crossbow,'',Can a crossbow be laid on its side?,Yes,random
can be lied on,a sofa,'',Can a sofa be lied on?,Yes,random
can be lied on,a piano,'',Can a piano be lied on?,No,random
can be listened to,a seagull,'',Can a seagull be listened to?,No,random
can be locked,a spear,'',Can a spear be locked?,No,random
can be long,a boat,'',Can a boat be long?,Yes,random
can be long and thin in shape,a ball,'',Can a ball be long and thin in shape?,No,random
can be loose,a nectarine,'',Can a nectarine be loose?,No,random
can be made from barley,whiskey,'',Can whiskey be made from barley?,Yes,random
can be made from goat's milk,a hamster,'',Can a hamster be made from goat's milk?,No,random
can be made from wheat,flour,'',Can flour be made from wheat?,Yes,random
can be made in a teapot,a jacket,'',Can a jacket be made in a teapot?,No,random
can be made into juice,a date,'',Can a date be made into juice?,Yes,random
can be made into juice,a eucalyptus tree,'',Can a eucalyptus tree be made into juice?,No,random
can be made of blackcurrant,jam,'',Can jam be made of blackcurrant?,Yes,random
can be made of bronze,a falcon,'',Can a falcon be made of bronze?,No,random
can be made of canvas material,a deckchair,'',Can a deckchair be made of canvas material?,Yes,random
can be made of cardboard,a willow tree,'',Can a willow tree be made of cardboard?,No,random
can be made of cashmere,a shawl,'',Can a shawl be made of cashmere?,Yes,random
can be made of cashmere,a lizard,'',Can a lizard be made of cashmere?,No,random
can be made of ceramic,a bowl,'',Can a bowl be made of ceramic?,Yes,random
can be made of chainmail,a stocking,'',Can a stocking be made of chainmail?,No,random
can be made of corduroy,a shovel,'',Can a shovel be made of corduroy?,No,random
can be made of denim,a jacket,'',Can a jacket be made of denim?,Yes,random
can be made of ebony,leek,'',Can leek be made of ebony?,No,random
can be made of fabric,pumpkin,'',Can pumpkin be made of fabric?,No,random
can be made of gold,a chandelier,'',Can a chandelier be made of gold?,Yes,random
can be made of gold,blueberry,'',Can blueberry be made of gold?,No,random
can be made of ivory,a piano,'',Can a piano be made of ivory?,Yes,random
can be made of ivory,a coach,'',Can a coach be made of ivory?,No,random
can be made of kevlar,an armor,'',Can an armor be made of kevlar?,Yes,random
can be made of lace,a hornet,'',Can a hornet be made of lace?,No,random
can be made of linen,a blouse,'',Can a blouse be made of linen?,Yes,random
can be made of metal and plastic,a whisk,'',Can a whisk be made of metal and plastic?,Yes,random
can be made of metal and plastic,mayonnaise,'',Can mayonnaise be made of metal and plastic?,No,random
can be made of nylon,a cape,'',Can a cape be made of nylon?,Yes,random
can be made of nylon,a grenade,'',Can a grenade be made of nylon?,No,random
can be made of plastic,a toe,'',Can a toe be made of plastic?,No,random
can be made of satin,a gown,'',Can a gown be made of satin?,Yes,random
can be made of silk,a cape,'',Can a cape be made of silk?,Yes,random
can be made of soft fabric,a skirt,'',Can a skirt be made of soft fabric?,Yes,random
can be made of soft fabric,rhubarb,'',Can rhubarb be made of soft fabric?,No,random
can be made of steel,a ship,'',Can a ship be made of steel?,Yes,random
can be made of wood,a stool,'',Can a stool be made of wood?,Yes,random
can be made of wood,a dressing gown,'',Can a dressing gown be made of wood?,No,random
can be made of wood and fabric,a bagpipe,'',Can a bagpipe be made of wood and fabric?,Yes,random
can be made using a kettle,tea,'',Can tea be made using a kettle?,Yes,random
can be made using a tire,a swing,'',Can a swing be made using a tire?,Yes,random
can be made using a tire,cauliflower,'',Can cauliflower be made using a tire?,No,random
can be made with a stick,a catapult,'',Can a catapult be made with a stick?,Yes,random
can be matured,cheese,'',Can cheese be matured?,Yes,random
can be messy to eat,peach,'',Can peach be messy to eat?,Yes,random
can be messy to eat,a submarine,'',Can a submarine be messy to eat?,No,random
can be mild in taste,a fir tree,'',Can a fir tree be mild in taste?,No,random
can be milked by a machine,a pansy,'',Can a pansy be milked by a machine?,No,random
can be oily,a wallet,'',Can a wallet be oily?,No,random
can be operated by pirates,a radio,'',Can a radio be operated by pirates?,No,random
can be padded with straw and hay,a hutch,'',Can a hutch be padded with straw and hay?,Yes,random
can be part of an armor,plum,'',Can plum be part of an armor?,No,random
can be pinstriped,a drum,'',Can a drum be pinstriped?,No,random
can be pitted,an olive,'',Can an olive be pitted?,Yes,random
can be played,a saxophone,'',Can a saxophone be played?,Yes,random
can be played,a scalpel,'',Can a scalpel be played?,No,random
can be plucked,a cello,'',Can a cello be plucked?,Yes,random
can be pulled by a tractor,a plow,'',Can a plow be pulled by a tractor?,Yes,random
can be pulled by animals,a hawk,'',Can a hawk be pulled by animals?,No,random
can be pumped,a football,'',Can a football be pumped?,Yes,random
can be pushed by the person sitting in it,a wheelchair,'',Can a wheelchair be pushed by the person sitting in it?,Yes,random
can be pushed by the person sitting in it,a mitten,'',Can a mitten be pushed by the person sitting in it?,No,random
can be rectangular in shape,a microwave,'',Can a microwave be rectangular in shape?,Yes,random
can be rectangular in shape,a soup,'',Can a soup be rectangular in shape?,No,random
can be refreshing,cider,'',Can cider be refreshing?,Yes,random
can be refreshing,a crayfish,'',Can a crayfish be refreshing?,No,random
can be rented,a limousine,'',Can a limousine be rented?,Yes,random
can be resilient,mango,'',Can mango be resilient?,No,random
can be rickety,a trolley,'',Can a trolley be rickety?,Yes,random
can be ridden,a drill,'',Can a drill be ridden?,No,random
can be ridden on paths,a bicycle,'',Can a bicycle be ridden on paths?,Yes,random
can be rolled,a cape,'',Can a cape be rolled?,No,random
can be rowed,a canoe,'',Can a canoe be rowed?,Yes,random
can be scary,a scarf,'',Can a scarf be scary?,No,random
can be served from a tap,a whisk,'',Can a whisk be served from a tap?,No,random
can be served in a cup,cider,'',Can cider be served in a cup?,Yes,random
can be served in a cup,a fox,'',Can a fox be served in a cup?,No,random
can be served in a glass,a parka,'',Can a parka be served in a glass?,No,random
can be served with butter,an asparagus,'',Can an asparagus be served with butter?,Yes,random
can be shaved,hair,'',Can hair be shaved?,Yes,random
can be shaved,a clock,'',Can a clock be shaved?,No,random
can be short,a finger,'',Can a finger be short?,Yes,random
can be shriveled,a bean,'',Can a bean be shriveled?,No,random
can be skimmed,beer,'',Can beer be skimmed?,No,random
can be skinny,jeans,'',Can jeans be skinny?,Yes,random
can be skinny,a heart,'',Can a heart be skinny?,No,random
can be slow,a hedgehog,'',Can a hedgehog be slow?,Yes,random
can be slow,a buttercup,'',Can a buttercup be slow?,No,random
can be soft,bread,'',Can bread be soft?,Yes,random
can be soundproof,earmuffs,'',Can earmuffs be soundproof?,Yes,random
can be spicy and tangy,a caterpillar,'',Can a caterpillar be spicy and tangy?,No,random
can be spongy,a cake,'',Can a cake be spongy?,Yes,random
can be spread on bread,butter,'',Can butter be spread on bread?,Yes,random
can be squashy,a worm,'',Can a worm be squashy?,Yes,random
can be stacked,a dog,'',Can a dog be stacked?,No,random
can be stored in tins,a cookie,'',Can a cookie be stored in tins?,Yes,random
can be stretched,a bow,'',Can a bow be stretched?,Yes,random
can be stubbed,a toe,'',Can a toe be stubbed?,Yes,random
can be stubbed,a eucalyptus tree,'',Can a eucalyptus tree be stubbed?,No,random
can be stuffed,a turkey,'',Can a turkey be stuffed?,Yes,random
can be swung,a finger,'',Can a finger be swung?,No,random
can be tailored,an airplane,'',Can an airplane be tailored?,No,random
can be taken on walks,a beaver,'',Can a beaver be taken on walks?,No,random
can be thick in shape,a puppet,'',Can a puppet be thick in shape?,No,random
can be tied,an elm tree,'',Can an elm tree be tied?,No,random
can be tied around the waist,a dressing gown,'',Can a dressing gown be tied around the waist?,Yes,random
can be topped with flakes,ice cream,'',Can ice cream be topped with flakes?,Yes,random
can be trained,a cockerel,'',Can a cockerel be trained?,No,random
can be uncomfortable,a peacock,'',Can a peacock be uncomfortable?,No,random
can be unsalted,a herring,'',Can a herring be unsalted?,No,random
can be used as a container,an owl,'',Can an owl be used as a container?,No,random
can be used as an alarm,a clock,'',Can a clock be used as an alarm?,Yes,random
can be used as an alarm,a sofa,'',Can a sofa be used as an alarm?,No,random
can be used by babies,a salmon,'',Can a salmon be used by babies?,No,random
can be used by carpenters,a nail,'',Can a nail be used by carpenters?,Yes,random
can be used for announcements,a spear,'',Can a spear be used for announcements?,No,random
can be used for building and repairing,a screwdriver,'',Can a screwdriver be used for building and repairing?,Yes,random
can be used for frying,a tarantula,'',Can a tarantula be used for frying?,No,random
can be used for relaxing,a clock,'',Can a clock be used for relaxing?,No,random
can be used for sawing,a saw,'',Can a saw be used for sawing?,Yes,random
can be used for storage,a bottle,'',Can a bottle be used for storage?,Yes,random
can be used for storage,a nightingale,'',Can a nightingale be used for storage?,No,random
can be used for sweeping,a mackerel,'',Can a mackerel be used for sweeping?,No,random
can be used for transport,a leg,'',Can a leg be used for transport?,No,random
can be used for transportation,a cart,'',Can a cart be used for transportation?,Yes,random
can be used in construction,a helicopter,'',Can a helicopter be used in construction?,No,random
can be used in pies,a speedboat,'',Can a speedboat be used in pies?,No,random
can be used in sandwiches,lettuce,'',Can lettuce be used in sandwiches?,Yes,random
can be used on a beach,a ball,'',Can a ball be used on a beach?,Yes,random
can be used on a frying pan,butter,'',Can butter be used on a frying pan?,Yes,random
can be used on a frying pan,a duck,'',Can a duck be used on a frying pan?,No,random
can be used on eyes,cucumber,'',Can cucumber be used on eyes?,Yes,random
can be used on rough waters,a coffee maker,'',Can a coffee maker be used on rough waters?,No,random
can be used to blend,a chisel,'',Can a chisel be used to blend?,No,random
can be used to carry around documents,a satchel,'',Can a satchel be used to carry around documents?,Yes,random
can be used to clean floors,a broom,'',Can a broom be used to clean floors?,Yes,random
can be used to communicate,a radio,'',Can a radio be used to communicate?,Yes,random
can be used to denote numbers,a toe,'',Can a toe be used to denote numbers?,Yes,random
can be used to eat cereal,a bowl,'',Can a bowl be used to eat cereal?,Yes,random
can be used to eat cereal,a leotard,'',Can a leotard be used to eat cereal?,No,random
can be used to eat food,a coat,'',Can a coat be used to eat food?,No,random
can be used to fill pools,a hose,'',Can a hose be used to fill pools?,Yes,random
can be used to fill pools,a moped,'',Can a moped be used to fill pools?,No,random
can be used to flip food,a spatula,'',Can a spatula be used to flip food?,Yes,random
can be used to guide blind people,a dog,'',Can a dog be used to guide blind people?,Yes,random
can be used to guide blind people,blueberry,'',Can blueberry be used to guide blind people?,No,random
can be used to hide a secret passageway,a cup,'',Can a cup be used to hide a secret passageway?,No,random
can be used to hit,a club,'',Can a club be used to hit?,Yes,random
can be used to hunt,a harpoon,'',Can a harpoon be used to hunt?,Yes,random
can be used to keep clean,an apron,'',Can an apron be used to keep clean?,Yes,random
can be used to keep clean,a squid,'',Can a squid be used to keep clean?,No,random
can be used to keep pets,a crayfish,'',Can a crayfish be used to keep pets?,No,random
can be used to make bread,pineapple,'',Can pineapple be used to make bread?,No,random
can be used to make cakes,butter,'',Can butter be used to make cakes?,Yes,random
can be used to make cakes,a stick insect,'',Can a stick insect be used to make cakes?,No,random
can be used to make drinks,a harp,'',Can a harp be used to make drinks?,No,random
can be used to make sandcastles,champagne,'',Can champagne be used to make sandcastles?,No,random
can be used to make smoothies,rhubarb,'',Can rhubarb be used to make smoothies?,Yes,random
can be used to make smoothies,gin,'',Can gin be used to make smoothies?,No,random
can be used to make stew,a pea,'',Can a pea be used to make stew?,Yes,random
can be used to make stew,a cake,'',Can a cake be used to make stew?,No,random
can be used to organize,a chest of drawers,'',Can a chest of drawers be used to organize?,Yes,random
can be used to play baseball,a guitar,'',Can a guitar be used to play baseball?,No,random
can be used to play cricket,a ball,'',Can a ball be used to play cricket?,Yes,random
can be used to play hockey,a ball,'',Can a ball be used to play hockey?,Yes,random
can be used to play squash,a millipede,'',Can a millipede be used to play squash?,No,random
can be used to pour things,a cricket,'',Can a cricket be used to pour things?,No,random
can be used to shape stones,a budgie,'',Can a budgie be used to shape stones?,No,random
can be used to throw over long distances,a catapult,'',Can a catapult be used to throw over long distances?,Yes,random
can be used to throw over long distances,an ashtray,'',Can an ashtray be used to throw over long distances?,No,random
can be used to wash cars,a television,'',Can a television be used to wash cars?,No,random
can be used while cooking pasta,a salmon,'',Can a salmon be used while cooking pasta?,No,random
can be used with toast,butter,'',Can butter be used with toast?,Yes,random
can be used with toast,a nut,'',Can a nut be used with toast?,No,random
can be without a back,a bench,'',Can a bench be without a back?,Yes,random
can be without a brim,a cap,'',Can a cap be without a brim?,Yes,random
can be worn,a rose,'',Can a rose be worn?,No,random
can be worn for workouts,a sweater,'',Can a sweater be worn for workouts?,No,random
can be worn with a tie,a shirt,'',Can a shirt be worn with a tie?,Yes,random
can be worn with cufflinks,a dress,'',Can a dress be worn with cufflinks?,No,random
can be worn with scarves,a hawk,'',Can a hawk be worn with scarves?,No,random
can be wrapped around the body,a skirt,'',Can a skirt be wrapped around the body?,Yes,random
can be wrinkly,a thumb,'',Can a thumb be wrinkly?,Yes,random
can beat,a heart,'',Can a heart beat?,Yes,random
can beat,an ox,'',Can an ox beat?,No,random
can become a plague,a locust,'',Can a locust become a plague?,Yes,random
can become a plague,earmuffs,'',Can earmuffs become a plague?,No,random
can beep,a microwave,'',Can a microwave beep?,Yes,random
can bite,a revolver,'',Can a revolver bite?,No,random
can bleed,a typewriter,'',Can a typewriter bleed?,No,random
can block out sunlight,an oak tree,'',Can an oak tree block out sunlight?,Yes,random
can blow in the wind,a tulip,'',Can a tulip blow in the wind?,Yes,random
can bob its head,a pigeon,'',Can a pigeon bob its head?,Yes,random
can bob its head,lemon,'',Can lemon bob its head?,No,random
can boil water,a rose,'',Can a rose boil water?,No,random
can bounce,a canary,'',Can a canary bounce?,No,random
can box,a helicopter,'',Can a helicopter box?,No,random
can bray,a raccoon,'',Can a raccoon bray?,No,random
can break when dropped,a wasp,'',Can a wasp break when dropped?,No,random
can broadcast,a jar,'',Can a jar broadcast?,No,random
can build,a beaver,'',Can a beaver build?,Yes,random
can build natural dams,a beaver,'',Can a beaver build natural dams?,Yes,random
can build nests,radish,'',Can radish build nests?,No,random
can burst,pliers,'',Can pliers burst?,No,random
can camouflage,a lizard,'',Can a lizard camouflage?,Yes,random
can camouflage,a cheetah,'',Can a cheetah camouflage?,No,random
can canter,turnip,'',Can turnip canter?,No,random
can capture memories,celery,'',Can celery capture memories?,No,random
can carry a lot of people,a van,'',Can a van carry a lot of people?,Yes,random
can carry leaves,a rollerskate,'',Can a rollerskate carry leaves?,No,random
can carry objects,a sledge,'',Can a sledge carry objects?,Yes,random
can carry salmonella,a chicken,'',Can a chicken carry salmonella?,Yes,random
can cause an itch,a daisy,'',Can a daisy cause an itch?,No,random
can cause injuries,a corkscrew,'',Can a corkscrew cause injuries?,No,random
can cause tears when chopped,a sledge,'',Can a sledge cause tears when chopped?,No,random
can chew,a dog,'',Can a dog chew?,Yes,random
can chill food,a refrigerator,'',Can a refrigerator chill food?,Yes,random
can chirp,an oven,'',Can an oven chirp?,No,random
can chop food,a ship,'',Can a ship chop food?,No,random
can climb,a coffee maker,'',Can a coffee maker climb?,No,random
can cling to rocks,a sheep,'',Can a sheep cling to rocks?,No,random
can collect nectar,an ox,'',Can an ox collect nectar?,No,random
can come in bars,chocolate,'',Can chocolate come in bars?,Yes,random
can come in multiple shapes,bread,'',Can bread come in multiple shapes?,Yes,random
can come in pieces,a glider,'',Can a glider come in pieces?,No,random
can contain a ring,a thumb,'',Can a thumb contain a ring?,Yes,random
can contain a spring,a chair,'',Can a chair contain a spring?,No,random
can contain a waistcoat,a piano,'',Can a piano contain a waistcoat?,No,random
can contain alcohol,jelly,'',Can jelly contain alcohol?,Yes,random
can contain alcohol,a lamb,'',Can a lamb contain alcohol?,No,random
can contain bubbles,champagne,'',Can champagne contain bubbles?,Yes,random
can contain bubbles,a gorilla,'',Can a gorilla contain bubbles?,No,random
can contain chocolate,chocolate,'',Can chocolate contain chocolate?,Yes,random
can contain cloth material,a chair,'',Can a chair contain cloth material?,Yes,random
can contain decoration,a sardine,'',Can a sardine contain decoration?,No,random
can contain eggs,a carp,'',Can a carp contain eggs?,No,random
can contain flowers,a basket,'',Can a basket contain flowers?,Yes,random
can contain fruit,a dolphin,'',Can a dolphin contain fruit?,No,random
can contain hot water,coffee,'',Can coffee contain hot water?,Yes,random
can contain icing,a donut,'',Can a donut contain icing?,Yes,random
can contain leather,an arrow,'',Can an arrow contain leather?,No,random
can contain meat,a sandwich,'',Can a sandwich contain meat?,Yes,random
can contain metal,a helmet,'',Can a helmet contain metal?,Yes,random
can contain pasta or noodles,a soup,'',Can a soup contain pasta or noodles?,Yes,random
can contain pasta or noodles,cheese,'',Can cheese contain pasta or noodles?,No,random
can contain pastrami,a sandwich,'',Can a sandwich contain pastrami?,Yes,random
can contain pastrami,lime,'',Can lime contain pastrami?,No,random
can contain photos,a wallet,'',Can a wallet contain photos?,Yes,random
can contain photos,sweet potato,'',Can sweet potato contain photos?,No,random
can contain rodents,whiskey,'',Can whiskey contain rodents?,No,random
can contain springs,a rocket,'',Can a rocket contain springs?,No,random
can contain tea,a deckchair,'',Can a deckchair contain tea?,No,random
can cool the body down,a dragonfly,'',Can a dragonfly cool the body down?,No,random
can crawl,a coffee maker,'',Can a coffee maker crawl?,No,random
can crease,a shawl,'',Can a shawl crease?,Yes,random
can croak,a frog,'',Can a frog croak?,Yes,random
can crush things,an owl,'',Can an owl crush things?,No,random
can curl up,a shrimp,'',Can a shrimp curl up?,Yes,random
can curl up,a sardine,'',Can a sardine curl up?,No,random
