task,QID,AnsRefIDs,Context,Question,Correct Answer
qa1,15,[14],Mary journeyed to the bedroom.,Is Mary in the bedroom?,Yes
qa1,15,[14],Mary journeyed to the bedroom.,Is Mary in the hallway?,No
qa1,6,[5],Sandra moved to the bedroom.,Is Sandra in the bedroom?,Yes
qa1,6,[5],Sandra moved to the bedroom.,Is Sandra in the office?,No
qa1,6,[4],Mary went to the office.,Is Mary in the office?,Yes
qa1,6,[4],Mary went to the office.,Is Mary in the garden?,No
qa1,6,[4],John went back to the bathroom.,Is John in the bathroom?,Yes
qa1,6,[4],John went back to the bathroom.,Is John in the office?,No
qa1,6,[2],Sandra travelled to the garden.,Is Sandra in the garden?,Yes
qa1,6,[2],Sandra travelled to the garden.,Is Sandra in the kitchen?,No
qa1,3,[1],Sandra journeyed to the kitchen.,Is Sandra in the kitchen?,Yes
qa1,3,[1],Sandra journeyed to the kitchen.,Is Sandra in the office?,No
qa1,12,[8],Sandra journeyed to the hallway.,Is Sandra in the hallway?,Yes
qa1,12,[8],Sandra journeyed to the hallway.,Is Sandra in the bathroom?,No
qa1,9,[4],Daniel journeyed to the office.,Is Daniel in the office?,Yes
qa1,9,[4],Daniel journeyed to the office.,Is Daniel in the kitchen?,No
qa1,9,[8],John travelled to the bathroom.,Is John in the bathroom?,Yes
qa1,9,[8],John travelled to the bathroom.,Is John in the hallway?,No
qa1,3,[2],John travelled to the garden.,Is John in the garden?,Yes
qa1,3,[2],John travelled to the garden.,Is John in the office?,No
qa1,6,[4],Sandra journeyed to the bedroom.,Is Sandra in the bedroom?,Yes
qa1,6,[4],Sandra journeyed to the bedroom.,Is Sandra in the kitchen?,No
qa1,6,[2],Sandra moved to the garden.,Is Sandra in the garden?,Yes
qa1,6,[2],Sandra moved to the garden.,Is Sandra in the bathroom?,No
qa1,9,[5],Daniel went to the bathroom.,Is Daniel in the bathroom?,Yes
qa1,9,[5],Daniel went to the bathroom.,Is Daniel in the garden?,No
qa1,15,[14],Mary moved to the office.,Is Mary in the office?,Yes
qa1,15,[14],Mary moved to the office.,Is Mary in the kitchen?,No
qa1,12,[5],Mary moved to the office.,Is Mary in the office?,Yes
qa1,12,[5],Mary moved to the office.,Is Mary in the kitchen?,No
qa1,15,[11],Daniel journeyed to the office.,Is Daniel in the office?,Yes
qa1,15,[11],Daniel journeyed to the office.,Is Daniel in the bedroom?,No
qa1,6,[2],Daniel travelled to the bathroom.,Is Daniel in the bathroom?,Yes
qa1,6,[2],Daniel travelled to the bathroom.,Is Daniel in the hallway?,No
qa1,9,[8],John journeyed to the garden.,Is John in the garden?,Yes
qa1,9,[8],John journeyed to the garden.,Is John in the bathroom?,No
qa1,15,[13],Daniel journeyed to the bedroom.,Is Daniel in the bedroom?,Yes
qa1,15,[13],Daniel journeyed to the bedroom.,Is Daniel in the kitchen?,No
qa1,12,[8],Sandra moved to the bedroom.,Is Sandra in the bedroom?,Yes
qa1,12,[8],Sandra moved to the bedroom.,Is Sandra in the kitchen?,No
qa1,9,[7],Sandra moved to the bathroom.,Is Sandra in the bathroom?,Yes
qa1,9,[7],Sandra moved to the bathroom.,Is Sandra in the kitchen?,No
qa1,12,[11],Daniel moved to the hallway.,Is Daniel in the hallway?,Yes
qa1,12,[11],Daniel moved to the hallway.,Is Daniel in the bathroom?,No
qa1,15,[11],Daniel moved to the hallway.,Is Daniel in the hallway?,Yes
qa1,15,[11],Daniel moved to the hallway.,Is Daniel in the garden?,No
qa1,6,[1],Sandra travelled to the garden.,Is Sandra in the garden?,Yes
qa1,6,[1],Sandra travelled to the garden.,Is Sandra in the bedroom?,No
qa10,3,[2],Bill is in the kitchen.,Is Bill in the bedroom?,No
qa10,6,[4],Bill journeyed to the bedroom.,Is Bill in the bedroom?,Yes
qa10,9,[4],Fred went to the bedroom.,Is Fred in the bedroom?,Yes
qa10,12,[11],Mary went back to the office.,Is Mary in the kitchen?,No
qa10,15,[14],Fred moved to the cinema.,Is Fred in the kitchen?,No
qa10,6,[5],Mary is in the office.,Is Mary in the office?,Yes
qa10,15,[14],Fred is either in the school or the cinema.,Is Fred in the office?,No
qa10,15,[14],Mary went to the park.,Is Mary in the park?,Yes
qa10,9,[4],Fred went back to the cinema.,Is Fred in the office?,No
qa10,6,[2],Mary moved to the school.,Is Mary in the school?,Yes
qa10,9,[8],Mary moved to the office.,Is Mary in the office?,Yes
qa10,12,[10],Mary is in the school.,Is Mary in the school?,Yes
qa10,15,[13],Fred moved to the office.,Is Fred in the kitchen?,No
qa10,3,[2],Bill is in the office.,Is Bill in the park?,No
qa10,12,[11],Julie went to the park.,Is Julie in the park?,Yes
qa10,12,[11],Bill went to the bedroom.,Is Bill in the bedroom?,Yes
qa10,15,[14],Bill went back to the school.,Is Bill in the park?,No
qa10,12,[8],Mary travelled to the school.,Is Mary in the office?,No
qa10,15,[8],Mary travelled to the school.,Is Mary in the school?,Yes
qa10,3,[1],Mary went back to the bedroom.,Is Mary in the bedroom?,Yes
qa10,3,[2],Fred is in the office.,Is Fred in the cinema?,No
qa10,6,[5],Bill is in the kitchen.,Is Bill in the kitchen?,Yes
qa10,15,[14],Bill journeyed to the park.,Is Bill in the cinema?,No
qa10,3,[2],Bill went to the park.,Is Bill in the bedroom?,No
qa10,9,[8],Mary is in the office.,Is Mary in the office?,Yes
qa10,6,[5],Bill went back to the office.,Is Bill in the kitchen?,No
qa10,15,[13],Bill travelled to the kitchen.,Is Bill in the kitchen?,Yes
qa10,15,[13],Fred went to the bedroom.,Is Fred in the school?,No
qa10,3,[1],Fred is in the kitchen.,Is Fred in the school?,No
qa10,6,[5],Julie went back to the cinema.,Is Julie in the cinema?,Yes
qa10,9,[4],Julie went back to the park.,Is Julie in the park?,Yes
qa10,3,[2],Fred went to the kitchen.,Is Fred in the park?,No
qa10,9,[8],Bill moved to the cinema.,Is Bill in the cinema?,Yes
qa10,12,[8],Julie journeyed to the office.,Is Julie in the office?,Yes
qa10,15,[13],Mary is either in the bedroom or the park.,Is Mary in the school?,No
qa10,12,[11],Fred went to the school.,Is Fred in the cinema?,No
qa10,9,[8],Fred travelled to the bedroom.,Is Fred in the bedroom?,Yes
qa10,12,[11],Bill is in the bedroom.,Is Bill in the kitchen?,No
qa10,3,[2],Julie moved to the office.,Is Julie in the office?,Yes
qa10,15,[14],Julie is in the kitchen.,Is Julie in the cinema?,No
qa10,9,[5],Julie went to the kitchen.,Is Julie in the kitchen?,Yes
qa10,12,[11],Julie is in the park.,Is Julie in the school?,No
qa10,15,[14],Mary travelled to the school.,Is Mary in the school?,Yes
qa10,3,[1],Bill went back to the bedroom.,Is Bill in the cinema?,No
qa10,15,[13],Mary is in the cinema.,Is Mary in the office?,No
qa10,12,[7],Julie is in the office.,Is Julie in the office?,Yes
qa10,3,[2],Julie journeyed to the park.,Is Julie in the park?,Yes
qa10,9,[8],Bill is in the cinema.,Is Bill in the bedroom?,No
qa10,9,[8],Mary is in the kitchen.,Is Mary in the kitchen?,Yes
qa10,3,[1],Fred went to the office.,Is Fred in the bedroom?,No
qa10,9,[7],Julie moved to the school.,Is Julie in the school?,Yes
qa10,3,[1],Bill went to the cinema.,Is Bill in the cinema?,Yes
qa10,9,[7],Bill went to the bedroom.,Is Bill in the office?,No
qa10,3,[1],Julie is either in the bedroom or the kitchen.,Is Julie in the school?,No
qa10,15,[14],Julie moved to the bedroom.,Is Julie in the school?,No
qa10,15,[14],Mary moved to the office.,Is Mary in the office?,Yes
qa10,3,[1],Julie is in the park.,Is Julie in the cinema?,No
qa10,3,[1],Fred went back to the school.,Is Fred in the school?,Yes
qa10,3,[1],Julie went to the school.,Is Julie in the cinema?,No
qa10,6,[5],Julie went to the office.,Is Julie in the bedroom?,No
qa10,3,[1],Fred went back to the office.,Is Fred in the office?,Yes
qa10,6,[1],Fred went back to the office.,Is Fred in the office?,Yes
qa10,6,[5],Mary is in the school.,Is Mary in the school?,Yes
qa10,12,[8],Mary is in the office.,Is Mary in the school?,No
qa10,3,[1],Bill journeyed to the bedroom.,Is Bill in the bedroom?,Yes
qa10,15,[10],Mary is either in the cinema or the office.,Is Mary in the kitchen?,No
qa10,15,[11],Fred went back to the office.,Is Fred in the office?,Yes
qa10,3,[2],Julie is in the kitchen.,Is Julie in the office?,No
qa10,15,[11],Julie is in the park.,Is Julie in the school?,No
qa10,3,[2],Julie is in the kitchen.,Is Julie in the kitchen?,Yes
qa10,12,[10],Bill journeyed to the kitchen.,Is Bill in the kitchen?,Yes
qa10,15,[14],Fred is in the cinema.,Is Fred in the park?,No
qa10,15,[14],Mary journeyed to the park.,Is Mary in the park?,Yes
qa10,9,[7],Bill is in the park.,Is Bill in the park?,Yes
qa10,15,[11],Bill went to the cinema.,Is Bill in the cinema?,Yes
qa10,6,[5],Julie is either in the cinema or the cinema.,Is Julie in the kitchen?,No
qa10,3,[1],Mary is in the school.,Is Mary in the school?,Yes
qa10,12,[11],Bill went to the park.,Is Bill in the office?,No
qa10,15,[13],Bill journeyed to the school.,Is Bill in the kitchen?,No
qa10,9,[7],Mary went back to the cinema.,Is Mary in the school?,No
qa10,15,[13],Mary went back to the park.,Is Mary in the park?,Yes
qa10,6,[2],Mary went to the park.,Is Mary in the kitchen?,No
qa10,9,[2],Mary went to the park.,Is Mary in the park?,Yes
qa10,3,[2],Julie travelled to the park.,Is Julie in the bedroom?,No
qa10,12,[11],Bill is in the park.,Is Bill in the cinema?,No
qa10,3,[2],Mary is in the cinema.,Is Mary in the cinema?,Yes
qa10,12,[11],Julie is either in the school or the school.,Is Julie in the office?,No
qa10,6,[4],Mary journeyed to the kitchen.,Is Mary in the office?,No
qa10,12,[5],Bill journeyed to the cinema.,Is Bill in the cinema?,Yes
qa10,15,[14],Julie went to the kitchen.,Is Julie in the bedroom?,No
qa10,9,[7],Mary went to the kitchen.,Is Mary in the cinema?,No
qa10,12,[5],Julie is in the park.,Is Julie in the cinema?,No
qa10,15,[14],Bill moved to the park.,Is Bill in the park?,Yes
qa10,15,[14],Julie went back to the school.,Is Julie in the school?,Yes
qa10,9,[7],Julie travelled to the park.,Is Julie in the park?,Yes
qa10,15,[14],Fred is in the cinema.,Is Fred in the cinema?,Yes
qa10,3,[1],Mary is either in the park or the cinema.,Is Mary in the kitchen?,No
qa10,9,[7],Bill is in the school.,Is Bill in the bedroom?,No
qa10,6,[2],Bill went back to the office.,Is Bill in the office?,Yes
qa10,9,[8],Bill is in the park.,Is Bill in the park?,Yes
qa11,15,"[7, 8]",John travelled to the garden. Afterwards he went to the hallway.,Is John in the hallway?,Yes
qa11,15,"[7, 8]",John travelled to the garden. Afterwards he went to the hallway.,Is John in the garden?,No
qa11,6,"[1, 2]",Daniel journeyed to the hallway. Then he journeyed to the bathroom.,Is Daniel in the bathroom?,Yes
qa11,6,"[1, 2]",Daniel journeyed to the hallway. Then he journeyed to the bathroom.,Is Daniel in the office?,No
qa11,6,"[1, 2]",Sandra moved to the hallway. Following that she went back to the bathroom.,Is Sandra in the bathroom?,Yes
qa11,6,"[1, 2]",Sandra moved to the hallway. Following that she went back to the bathroom.,Is Sandra in the bedroom?,No
qa11,6,"[1, 2]",Mary travelled to the kitchen. Following that she journeyed to the garden.,Is Mary in the garden?,Yes
qa11,6,"[1, 2]",Mary travelled to the kitchen. Following that she journeyed to the garden.,Is Mary in the bedroom?,No
qa11,6,"[1, 2]",Mary went back to the kitchen. Then she went to the garden.,Is Mary in the garden?,Yes
qa11,6,"[1, 2]",Mary went back to the kitchen. Then she went to the garden.,Is Mary in the kitchen?,No
qa11,15,"[10, 11]",Mary travelled to the kitchen. Afterwards she journeyed to the hallway.,Is Mary in the hallway?,Yes
qa11,15,"[10, 11]",Mary travelled to the kitchen. Afterwards she journeyed to the hallway.,Is Mary in the bathroom?,No
qa11,15,"[13, 14]",Sandra moved to the bathroom. Following that she went back to the garden.,Is Sandra in the garden?,Yes
qa11,15,"[13, 14]",Sandra moved to the bathroom. Following that she went back to the garden.,Is Sandra in the kitchen?,No
qa11,12,"[10, 11]",John went to the bathroom. Afterwards he moved to the office.,Is John in the office?,Yes
qa11,12,"[10, 11]",John went to the bathroom. Afterwards he moved to the office.,Is John in the bathroom?,No
qa11,3,"[1, 2]",Mary moved to the kitchen. Following that she journeyed to the hallway.,Is Mary in the hallway?,Yes
qa11,3,"[1, 2]",Mary moved to the kitchen. Following that she journeyed to the hallway.,Is Mary in the office?,No
qa11,3,"[1, 2]",Mary went to the garden. Then she journeyed to the bedroom.,Is Mary in the bedroom?,Yes
qa11,3,"[1, 2]",Mary went to the garden. Then she journeyed to the bedroom.,Is Mary in the garden?,No
qa11,9,"[4, 5]",John went to the office. Afterwards he moved to the garden.,Is John in the garden?,Yes
qa11,9,"[4, 5]",John went to the office. Afterwards he moved to the garden.,Is John in the bedroom?,No
qa11,3,"[1, 2]",Sandra journeyed to the bathroom. After that she went to the garden.,Is Sandra in the garden?,Yes
qa11,3,"[1, 2]",Sandra journeyed to the bathroom. After that she went to the garden.,Is Sandra in the bathroom?,No
qa11,15,"[13, 14]",Daniel moved to the hallway. After that he moved to the kitchen.,Is Daniel in the kitchen?,Yes
qa11,15,"[13, 14]",Daniel moved to the hallway. After that he moved to the kitchen.,Is Daniel in the bedroom?,No
qa11,9,"[7, 8]",Sandra journeyed to the kitchen. Afterwards she went to the garden.,Is Sandra in the garden?,Yes
qa11,9,"[7, 8]",Sandra journeyed to the kitchen. Afterwards she went to the garden.,Is Sandra in the bathroom?,No
qa11,15,"[13, 14]",John travelled to the kitchen. Then he travelled to the hallway.,Is John in the hallway?,Yes
qa11,15,"[13, 14]",John travelled to the kitchen. Then he travelled to the hallway.,Is John in the garden?,No
qa11,12,"[7, 8]",Mary travelled to the kitchen. After that she went to the bathroom.,Is Mary in the bathroom?,Yes
qa11,12,"[7, 8]",Mary travelled to the kitchen. After that she went to the bathroom.,Is Mary in the hallway?,No
qa11,6,"[1, 2]",Sandra went back to the hallway. Following that she went back to the kitchen.,Is Sandra in the kitchen?,Yes
qa11,6,"[1, 2]",Sandra went back to the hallway. Following that she went back to the kitchen.,Is Sandra in the bedroom?,No
qa11,3,"[1, 2]",Daniel went to the bathroom. Following that he went back to the kitchen.,Is Daniel in the kitchen?,Yes
qa11,3,"[1, 2]",Daniel went to the bathroom. Following that he went back to the kitchen.,Is Daniel in the hallway?,No
qa11,6,"[1, 2]",Daniel went to the bathroom. Following that he went back to the kitchen.,Is Daniel in the kitchen?,Yes
qa11,6,"[1, 2]",Daniel went to the bathroom. Following that he went back to the kitchen.,Is Daniel in the bathroom?,No
qa11,6,"[1, 2]",Mary went to the office. Afterwards she went back to the bedroom.,Is Mary in the bedroom?,Yes
qa11,6,"[1, 2]",Mary went to the office. Afterwards she went back to the bedroom.,Is Mary in the garden?,No
qa11,15,"[13, 14]",John went to the office. Then he went to the bedroom.,Is John in the bedroom?,Yes
qa11,15,"[13, 14]",John went to the office. Then he went to the bedroom.,Is John in the hallway?,No
qa11,15,"[13, 14]",Mary moved to the bathroom. Then she journeyed to the garden.,Is Mary in the garden?,Yes
qa11,15,"[13, 14]",Mary moved to the bathroom. Then she journeyed to the garden.,Is Mary in the bathroom?,No
qa11,12,"[10, 11]",John travelled to the hallway. Following that he travelled to the bathroom.,Is John in the bathroom?,Yes
qa11,12,"[10, 11]",John travelled to the hallway. Following that he travelled to the bathroom.,Is John in the kitchen?,No
qa11,6,"[1, 2]",Daniel journeyed to the hallway. After that he journeyed to the bedroom.,Is Daniel in the bedroom?,Yes
qa11,6,"[1, 2]",Daniel journeyed to the hallway. After that he journeyed to the bedroom.,Is Daniel in the hallway?,No
qa11,9,"[4, 5]",Mary journeyed to the bedroom. Then she moved to the kitchen.,Is Mary in the kitchen?,Yes
qa11,9,"[4, 5]",Mary journeyed to the bedroom. Then she moved to the kitchen.,Is Mary in the bedroom?,No
qa11,15,"[13, 14]",Sandra went back to the garden. Following that she went back to the bedroom.,Is Sandra in the bedroom?,Yes
qa11,15,"[13, 14]",Sandra went back to the garden. Following that she went back to the bedroom.,Is Sandra in the office?,No
qa11,15,"[13, 14]",Sandra travelled to the kitchen. After that she journeyed to the garden.,Is Sandra in the garden?,Yes
qa11,15,"[13, 14]",Sandra travelled to the kitchen. After that she journeyed to the garden.,Is Sandra in the kitchen?,No
qa11,6,"[4, 5]",John journeyed to the hallway. Then he travelled to the garden.,Is John in the garden?,Yes
qa11,6,"[4, 5]",John journeyed to the hallway. Then he travelled to the garden.,Is John in the bedroom?,No
qa11,6,"[4, 5]",Mary went back to the kitchen. Then she went back to the office.,Is Mary in the office?,Yes
qa11,6,"[4, 5]",Mary went back to the kitchen. Then she went back to the office.,Is Mary in the bathroom?,No
qa11,6,"[4, 5]",Sandra went back to the office. Following that she went to the kitchen.,Is Sandra in the kitchen?,Yes
qa11,6,"[4, 5]",Sandra went back to the office. Following that she went to the kitchen.,Is Sandra in the bedroom?,No
qa11,6,"[4, 5]",Daniel journeyed to the bathroom. Afterwards he went back to the kitchen.,Is Daniel in the kitchen?,Yes
qa11,6,"[4, 5]",Daniel journeyed to the bathroom. Afterwards he went back to the kitchen.,Is Daniel in the hallway?,No
qa11,3,"[1, 2]",Mary went to the garden. Afterwards she moved to the hallway.,Is Mary in the hallway?,Yes
qa11,3,"[1, 2]",Mary went to the garden. Afterwards she moved to the hallway.,Is Mary in the garden?,No
qa11,12,"[7, 8]",John went back to the hallway. Then he moved to the garden.,Is John in the garden?,Yes
qa11,12,"[7, 8]",John went back to the hallway. Then he moved to the garden.,Is John in the office?,No
qa11,9,"[4, 5]",Sandra went to the kitchen. After that she journeyed to the hallway.,Is Sandra in the hallway?,Yes
qa11,9,"[4, 5]",Sandra went to the kitchen. After that she journeyed to the hallway.,Is Sandra in the bathroom?,No
qa11,9,"[7, 8]",Daniel moved to the hallway. Following that he journeyed to the garden.,Is Daniel in the garden?,Yes
qa11,9,"[7, 8]",Daniel moved to the hallway. Following that he journeyed to the garden.,Is Daniel in the kitchen?,No
qa11,3,"[1, 2]",Mary journeyed to the garden. After that she travelled to the kitchen.,Is Mary in the kitchen?,Yes
qa11,3,"[1, 2]",Mary journeyed to the garden. After that she travelled to the kitchen.,Is Mary in the office?,No
qa11,6,"[4, 5]",Daniel went back to the office. After that he went to the bathroom.,Is Daniel in the bathroom?,Yes
qa11,6,"[4, 5]",Daniel went back to the office. After that he went to the bathroom.,Is Daniel in the kitchen?,No
qa11,6,"[1, 2]",John journeyed to the kitchen. Then he went to the hallway.,Is John in the hallway?,Yes
qa11,6,"[1, 2]",John journeyed to the kitchen. Then he went to the hallway.,Is John in the office?,No
qa11,9,"[7, 8]",John travelled to the bathroom. Afterwards he moved to the kitchen.,Is John in the kitchen?,Yes
qa11,9,"[7, 8]",John travelled to the bathroom. Afterwards he moved to the kitchen.,Is John in the bathroom?,No
qa11,15,"[13, 14]",John went to the office. Afterwards he went to the bathroom.,Is John in the bathroom?,Yes
qa11,15,"[13, 14]",John went to the office. Afterwards he went to the bathroom.,Is John in the office?,No
qa11,12,"[10, 11]",Daniel went back to the kitchen. Following that he went back to the hallway.,Is Daniel in the hallway?,Yes
qa11,12,"[10, 11]",Daniel went back to the kitchen. Following that he went back to the hallway.,Is Daniel in the bathroom?,No
qa11,15,"[13, 14]",Daniel went to the kitchen. Afterwards he moved to the hallway.,Is Daniel in the hallway?,Yes
qa11,15,"[13, 14]",Daniel went to the kitchen. Afterwards he moved to the hallway.,Is Daniel in the garden?,No
qa11,6,"[4, 5]",Sandra travelled to the garden. Then she journeyed to the bathroom.,Is Sandra in the bathroom?,Yes
qa11,6,"[4, 5]",Sandra travelled to the garden. Then she journeyed to the bathroom.,Is Sandra in the bedroom?,No
qa11,9,"[4, 5]",Sandra travelled to the garden. Then she journeyed to the bathroom.,Is Sandra in the bathroom?,Yes
qa11,9,"[4, 5]",Sandra travelled to the garden. Then she journeyed to the bathroom.,Is Sandra in the bedroom?,No
qa11,15,"[13, 14]",John travelled to the kitchen. Afterwards he went back to the bedroom.,Is John in the bedroom?,Yes
qa11,15,"[13, 14]",John travelled to the kitchen. Afterwards he went back to the bedroom.,Is John in the kitchen?,No
qa11,12,"[7, 8]",Mary moved to the bedroom. After that she travelled to the bathroom.,Is Mary in the bathroom?,Yes
qa11,12,"[7, 8]",Mary moved to the bedroom. After that she travelled to the bathroom.,Is Mary in the hallway?,No
qa11,9,"[1, 2]",Daniel moved to the office. Then he moved to the bedroom.,Is Daniel in the bedroom?,Yes
qa11,9,"[1, 2]",Daniel moved to the office. Then he moved to the bedroom.,Is Daniel in the hallway?,No
qa11,12,"[7, 8]",Daniel travelled to the kitchen. Following that he went back to the hallway.,Is Daniel in the hallway?,Yes
qa11,12,"[7, 8]",Daniel travelled to the kitchen. Following that he went back to the hallway.,Is Daniel in the office?,No
qa11,15,"[13, 14]",Mary went to the kitchen. After that she travelled to the office.,Is Mary in the office?,Yes
qa11,15,"[13, 14]",Mary went to the kitchen. After that she travelled to the office.,Is Mary in the hallway?,No
qa11,6,"[1, 2]",John journeyed to the office. After that he moved to the kitchen.,Is John in the kitchen?,Yes
qa11,6,"[1, 2]",John journeyed to the office. After that he moved to the kitchen.,Is John in the hallway?,No
qa12,15,[14],Daniel and Sandra journeyed to the hallway.,Is Daniel in the hallway?,Yes
qa12,15,[14],Daniel and Sandra journeyed to the hallway.,Is Daniel in the kitchen?,No
qa12,6,[5],Mary and John went back to the garden.,Is Mary in the garden?,Yes
qa12,6,[5],Mary and John went back to the garden.,Is Mary in the kitchen?,No
qa12,6,[5],Sandra and Mary journeyed to the kitchen.,Is Sandra in the kitchen?,Yes
qa12,6,[5],Sandra and Mary journeyed to the kitchen.,Is Sandra in the garden?,No
qa12,6,[5],John and Daniel went to the bedroom.,Is Daniel in the bedroom?,Yes
qa12,6,[5],John and Daniel went to the bedroom.,Is Daniel in the kitchen?,No
qa12,6,[4],Sandra and Daniel journeyed to the bedroom.,Is Daniel in the bedroom?,Yes
qa12,6,[4],Sandra and Daniel journeyed to the bedroom.,Is Daniel in the bathroom?,No
qa12,15,[14],Mary and John went to the bedroom.,Is John in the bedroom?,Yes
qa12,15,[14],Mary and John went to the bedroom.,Is John in the hallway?,No
qa12,15,[13],Sandra and John went to the office.,Is Sandra in the office?,Yes
qa12,15,[13],Sandra and John went to the office.,Is Sandra in the hallway?,No
qa12,12,[10],Daniel and John travelled to the garden.,Is Daniel in the garden?,Yes
qa12,12,[10],Daniel and John travelled to the garden.,Is Daniel in the kitchen?,No
qa12,3,[2],Daniel and John travelled to the bathroom.,Is Daniel in the bathroom?,Yes
qa12,3,[2],Daniel and John travelled to the bathroom.,Is Daniel in the kitchen?,No
qa12,3,[2],Mary and Sandra moved to the hallway.,Is Mary in the hallway?,Yes
qa12,3,[2],Mary and Sandra moved to the hallway.,Is Mary in the office?,No
qa12,9,[8],Mary and Daniel went back to the bathroom.,Is Mary in the bathroom?,Yes
qa12,9,[8],Mary and Daniel went back to the bathroom.,Is Mary in the hallway?,No
qa12,3,[2],Mary and Sandra moved to the hallway.,Is Mary in the hallway?,Yes
qa12,3,[2],Mary and Sandra moved to the hallway.,Is Mary in the garden?,No
qa12,15,[14],Daniel and John went to the office.,Is Daniel in the office?,Yes
qa12,15,[14],Daniel and John went to the office.,Is Daniel in the kitchen?,No
qa12,9,[8],Sandra and Daniel went back to the bedroom.,Is Daniel in the bedroom?,Yes
qa12,9,[8],Sandra and Daniel went back to the bedroom.,Is Daniel in the bathroom?,No
qa12,15,[13],Daniel and Mary journeyed to the kitchen.,Is Mary in the kitchen?,Yes
qa12,15,[13],Daniel and Mary journeyed to the kitchen.,Is Mary in the bedroom?,No
qa12,12,[11],Mary and Daniel went back to the office.,Is Mary in the office?,Yes
qa12,12,[11],Mary and Daniel went back to the office.,Is Mary in the bedroom?,No
qa12,6,[5],Mary and John went back to the bedroom.,Is Mary in the bedroom?,Yes
