question,A,B,C,D,answer
"A high school student was running for president of the student council. He was a top scholar who had been selected to be the class valedictorian. Inexplicably, he gave a campaign speech at a school assembly that was filled with graphic stories and anecdotes about the imagined sexual adventures and prowess of certain teachers and students. Several teachers and students complained. The principal suspended him for five days and retracted the valedictorian honors. The student, with his parents, sued in federal court, seeking an injunction and damages based on denial of First Amendment free speech rights. The federal courts ruled for the student but the case came before the U.S. Supreme Court for final decision. Did the Supreme Court uphold the relief granted to the student?","(A) No, the school exercised its appropriate function of trying to restrict the use of vulgarity and offensive discourse in a high school setting where free speech may be limited.","(B) Yes, despite some inconvenience to teachers and students, the immature presentation must be tolerated in deference to the need to provide platforms for free speech to students.","(C) No, the student had no rights to free speech, especially considering the violent disruptions in the schools in recent years.","(D) Yes, in today's society sexual images and sexual humor is so intertwined into the fabric of society that it is something that has to be tolerated in the interest of free speech.",A
"A corporation owns a shopping mall that includes a grocery store. The union that bags fruit wants to strike in front of the store, even though it is in the mall. The mall has a Social Security Office and the real estate is owned by the state. The grocery store pays rent to the state. Any type of picketers are prevented from entering the mall to picket inside by the owners of the mall, who also pay rent to the state for the land, and there is no outside entrance of the store at the mall where the picketers could strike. If the picketers go before the court to claim violations of First and Fourteenth Amendment rights, will state action likely be found against the store and the mall owners?","(A) No, under the mantle of authority test there are not enough connections between the state and the private actions of the mall and the store.","(B) No, because a private actor can never be held liable in a constitutional rights claim that requires state action.","(C) Yes, because the equal protection balancing test shows that there is state action in renting the property to private actors who are discriminating.","(D) Yes, because First Amendment violations require strict scrutiny, and here the connection between the state and the mall cloaks the mall and store with state action status.",A
Termination of a parent's custody rights and also termination of welfare benefits both require what type of process?,(A) Prior notice and prior evidentiary hearing,(B) Prior notice and opportunity to respond,(C) Prior screening by neutral fact finder,(D) Prior screening and subsequent evidentiary hearing,A
"One year ago, while driving through an intersection, the defendant's car collided with the plaintiff's car. The plaintiff sued, claiming that the defendant ran a red light. In her case-in-chief, the plaintiff testified that immediately after the accident, a bystander, who was a local resident, screamed at the defendant, ""You jerk. . . you drove through the red light. "" In his case-in-chief, the defendant now calls a police accident investigator to testify that the plaintiff told him that she ""didn't see the color of the light when she entered the intersection because she was dialing a number on her cell phone. ""The investigator's testimony should be","(A) admitted, because the plaintiff's inconsistent statement has bearing on her credibility.","(B) admitted, because the accident investigator gathered the information in the course of his official duties.","(C) excluded, because the defendant failed to lay a foundation, thus not giving the plaintiff an opportunity to deny or explain her statement.","(D) excluded, because the plaintiff's statement to the investigator is hearsay.",A
"This question refers to the following information.Tonight, the daughter of a woman whose highest goal was a future for her children talks to our nation's oldest political party about a future for us all. Tonight, the daughter of working Americans tells all Americans that the future is within our reach, if we're willing to reach for it. Tonight, the daughter of an immigrant from Italy has been chosen to run for (vice) president in the new land my father came to love.… Americans want to live by the same set of rules. But under this administration, the rules are rigged against too many of our people. It isn't right that every year the share of taxes paid by individual citizens is going up, while the share paid by large corporations is getting smaller and smaller.… It isn't right that young couples question whether to bring children into a world of 50,000 nuclear warheads. That isn't the vision for which Americans have struggled for more than two centuries.… Tonight, we reclaim our dream. We're going to make the rules of American life work for all Americans again.… The issue is not what America can do for women, but what women can do for America.—Geraldine Ferraro, Vice Presidential Nomination Acceptance Address, July 19, 1984The ideas expressed in the passage above would most directly have strengthened which of the following during the 1980s?",(A) Opposition to the administration's arms buildup,(B) Efforts to deregulate many industries,(C) Efforts to reform the welfare system,(D) Support for the administration's cold war policies,A
The complex proposition fallacy involves,(A) including more than one claim in the proposition and treating proof for one claim as proof for all the claims.,"(B) asking a question that includes either an unproven assumption or more than one question, thus making a straightforward yes or no answer meaningless.",(C) arguing that a claim must be true because there is no evidence that it is false.,(D) arguing something is inferior just because it doesn't do something it was never intended to do.,A
"A university fired its head basketball coach after a series of losing seasons. The university contacted a coach who had a strong reputation as a person who cottld ""turn around"" a program and produce winning teams. The university offered the coach an annual salary of $250,000 to coach its basketball team, but the coach declined the offer, hoping to find another institution that would pay him a higher salary. Thereafter, a wealthy booster, who was interested in enhancing the university's basketball program, contacted the coach and told him that if he would sign a coaching contract with the university, the booster would pay him $50,000 a year as an unpublished supplement to his salary. Furthermore, the booster promised to contribute $5,000 to the university athletic fund every time the basketball team won a game under the coach's tutelage. The coach thereupon signed a three-year contract as the head basketball coach at the university at an annual salary of $250,000. During the coach's first year as coach, the university basketball team compiled a record of 18 wins and 12 losses. The booster, however, refused to pay anything to either the coach or the university athletic fund. Assume that the agreement between the coach and the booster does not violate any rule of the university or of any intercollegiate athletic association. The university brought suit against the booster to recover $90,000 for breach of his promise to pay $5,000 into the athletic fund for each game won by the basketball team. Is it likely that the university will prevail in this contract action?","(A) Yes, because the university is an intended third-party beneficiary of the contract between the coach and the booster.","(B) Yes, because the university detrimentally relied on the booster's promise by hiring the coach.","(C) No, because the booster's promise was, in essence, an illegal form of procurement and void as against public policy.","(D) No, because the booster's promise was made to the coach rather than to the university and, therefore, was not a charitable subscription.",A
"This question refers to the following information.Let us not, I beseech you sir, deceive ourselves. Sir, we have done everything that could be done, to avert the storm which is now coming on. We have petitioned; we have remonstrated; we have supplicated; we have prostrated ourselves before the throne, and have implored its interposition to arrest the tyrannical hands of the ministry and Parliament. Our petitions have been slighted; our remonstrances have produced additional violence and insult; our supplications have been disregarded; and we have been spurned, with contempt, from the foot of the throne. In vain, after these things, may we indulge the fond hope of peace and reconciliation. There is no longer any room for hope.… It is in vain, sir, to extenuate the matter. Gentlemen may cry, Peace, Peace, but there is no peace. The war is actually begun! The next gale that sweeps from the north will bring to our ears the clash of resounding arms! Our brethren are already in the field! Why stand we here idle? What is it that gentlemen wish? What would they have? Is life so dear, or peace so sweet, as to be purchased at the price of chains and slavery? Forbid it, Almighty God! I know not what course others may take; but as for me, give me liberty or give me death!—Patrick Henry, March 23, 1775The sentiments expressed by Patrick Henry led most directly to which of the following?",(A) The Declaration of Independence,(B) The Albany Plan,(C) The Boston Tea Party,(D) The Constitution of the United States,A
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I held the girl under water while swimming at the lake. Scenario 2 | She said she didn't want to see the scene in the movie, so I put a fresh paint bucket over her head so that she couldn't see the scene.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A
"A grain broker specializes in exotic grains for the growing organic-food market. Using his network of contacts across the globe, he is able to find sources for almost any kind of grain, grown anywhere in the world, to be shipped anywhere in the world. Last year, an organic food co-op asked the grain broker to find quinoa for them. The grain broker said, ""I'll do it. It'll cost you market rate plus the commission. "" The grain broker found the quinoa and had it shipped to the co-op at a cost of $15 per bushel plus a 20% commission. The co-op paid $15 per bushel plus an 8% commission. The grain broker brought suit, claiming that the appropriate commission was 20%. The grain broker introduced business records and other documentary evidence establishing that he normally charges a commission of between 10% and 20% for grains, with a higher commission for more exotic grains. The owner of the co-op called another grain broker, a competitor of the plaintiff, to testify. The witness testified that he never charges more than an 8% commission when asked to locate exotic grains for his customers. The trial judge should rule this testimony",(A) admissible as evidence of customary business practices in the community.,(B) admissible as a proper lay opinion.,(C) inadmissible as hearsay.,(D) inadmissible as irrelevant.,A
Which form of Buddhism taught the only hope for salvation was in the saving grace of Amida?,(A) Pure Land,(B) Tendai,(C) Shingon,(D) Soto Zen,A
"In Book II of the Republic, Glaucon claims that justice originates from:",(A) a social agreement.,(B) nature.,(C) the gods.,(D) the powerful.,A
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I put the cat in the freezer one summer while my allergic niece came to visit. Scenario 2 | After seeing a plastic bag floating on the previously majestic lake, I disposed my plastic bag in the lake too.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A
"This question refers to the following information.""The greatest contribution that Africa can make to the peace of the world is to avoid all the dangers inherent in disunity, by creating a political union which will also by its success, stand as an example to a divided world. A Union of African states will project more effectively the African personality. It will command respect from a world that has regard only for size and influence. The scant attention paid to African opposition to the French atomic tests in the Sahara, and the ignominious spectacle of the U.N. in the Congo quibbling about constitutional niceties while the Republic was tottering into anarchy, are evidence of the callous disregard of African Independence by the Great Powers.""Kwame Nkrumah, Ghanian leader, 1961Nkrumah's argument in the passage most clearly supports which of the following ideologies?",(A) Pan-Africanism,(B) Communism,(C) African socialism,(D) Neocolonialism,A
"To say that ""philosophy"" (like ""love"" or ""art"") is not a closed concept means that we cannot state the necessary and sufficient conditions by which it is defined.  Rather, philosophic issues are identifiable as having ""family resemblances"" with one another.  In other words:","(A) there is no one distinguishing feature that identifies an issue as philosophic, only an overlapping of issues roughly associated with one another.","(B) the way we come to think about philosophy, love, or art really depends on how we were raised by our families to identify things as resembling one another.",(C) the necessary and sufficient condition for something to be considered philosophic is that it answers either of these questions: What does it mean? and How do you know?,"(D) philosophy is not a closed discipline insofar as it is willing to accept any answer suggested by the ""human family"" as being true.",A
Which species is most typically first associated with the fashioning and use of stone tools?,(A) Homo habilis,(B) Ardipithecus ramidus,(C) Homo sapiens,(D) Australopithecus robustus,A
A celebration in which wealth is redistributed is called a:,(A) potlatch.,(B) kiva parties.,(C) totem feasts.,(D) sinagua.,A
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I pushed my sister down the stairs. Scenario 2 | I taught my child that violence is an acceptable solution to frustrating situations.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A
"This question refers to the following information.The 1980s have been born in turmoil, strife, and change. This is a time of challenge to our interests and our values and it's a time that tests our wisdom and skills.At this time in Iran, 50 Americans are still held captive, innocent victims of terrorism and anarchy. Also at this moment, massive Soviet troops are attempting to subjugate the fiercely independent and deeply religious people of Afghanistan. These two acts—one of international terrorism and one of military aggression—present a serious challenge to the United States of America and indeed to all the nations of the world. Together we will meet these threats to peace.…Three basic developments have helped to shape our challenges: the steady growth and increased projection of Soviet military power beyond its own borders; the overwhelming dependence of the Western democracies on oil supplies from the Middle East; and the press of social and religious and economic and political change in the many nations of the developing world, exemplified by the revolution in Iran.Each of these factors is important in its own right. Each interacts with the others. All must be faced together, squarely and courageously. We will face these challenges, and we will meet them with the best that is in us. And we will not fail.—Jimmy Carter, State of the Union Address, January 23, 1980Which of the following has some of its roots in the conditions discussed by Jimmy Carter in this passage?",(A) The War on Terror,(B) High unemployment,(C) Tensions with China,(D) High budget deficits,A
 Velleman believes that the option of euthanasia may harm some patients. What does he think is the most significant way in which this might happen?,(A) by burdening a patient with having to justify his or her continued existence,(B) by eliminating the patient's capacity for self-determination,(C) by eliminating a patient's opportunities for self-determination,(D) by tempting a patient to undergo a painful procedure,A
Is extra-territorial abduction a ground for refusal of otherwise lawful jurisdiction by English courts?,(A) Such abduction constitutes abuse of process and leads to a stay of proceedings,(B) Such abduction gives rise to the abductor's liability but does not lead to a stay of proceedings,(C) The stay of proceedings under such circumstances would prevent the administration of justice in respect of international criminals,"(D) The courts may, but will seldom, stay proceedings in cases of extra-territorial abduction",A
"According to Hume, reason:",(A) should serve our passions.,(B) should operate completely independently of our passions.,(C) should be used to direct our passions.,(D) should be used to extinguish our passions.,A
" One way to value a patient's autonomy is by aiming to maximize his or her effective options. When we value a patient's autonomy in this way, what, according to Velleman, do we value?",(A) the patient's opportunities for self-determination,(B) the patient's capacity for self-determination,(C) the ability to provide the patient with options,(D) the ability to share reasons with the patient,A
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I did not clear my laundry out of the washer, and dryer, and my roommate could not do laundry. Scenario 2 | I dug up a hole at the graveyard to bury her toes.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A
The fallacy of reprehensible personality is a specific type of,(A) the fallacy of accident,(B) False dilemma,(C) Begging the question,(D) Circular reasoning,A
"An officer stopped a car for having a burned out headlight and license plate light. When the driver could not produce a driver's license, the officer asked him if he minded if they searched the vehicle. The officer did not advise the driver that he had a right to refuse consent or that if he refused his decision would be honored, but there was nothing duplicitous or coercive in the officer's conduct. The driver smiled and said ""of course, no problem."" The officer found stolen bank checks under the rear seat. In a later suppression motion, the driver claimed that his consent was not voluntary. What will the court most likely decide on that issue?",(A) The consent was voluntarily given and was not the result of coercion or duress.,(B) The consent was involuntary because it was the product of implied duress.,(C) The consent was involuntary because the officer did not advise the driver of his right to refuse.,(D) The consent became voluntary as a matter of law when the driver failed to produce a driver's license.,A
" Carens argues that, for example, liberal egalitarianism has nothing to say about the question of whether a black doctor has a moral obligation to practice in a black community. This is because the only limit that liberal egalitarianism places on individuals' moral obligations, according to Caren, is that they",(A) must not conflict with the rights and duties that liberal egalitarianism itself prescribes.,(B) must be in accord with utilitarian moral considerations.,(C) must not conflict with reasonable standards of prudence.,(D) none of the above,A
"A cashier worked part-time at a convenience store. As the cashier was sitting behind the cash register, he noticed a boy enter the store. While the boy walked through the store, the cashier watched him on a hidden camera located behind the cashier's counter. Thereupon, the cashier saw the boy pick up two packs of baseball cards and place them in his coat pocket. The boy then walked to the rear of the store, where he picked up a package of cupcakes. The boy took the cupcakes to the front counter and paid the cashier for the cupcakes only. The boy started to walk out of the store when the cashier said, ""Hey, kid, I'm not charging you for the baseball cards because you paid for the cupcakes. But next time I'm not going to let you get away with it. "" The baseball cards sold for $5 per pack. The boy has committed which, if any, crimes?",(A) Larceny.,(B) Larceny by trick.,(C) False pretenses.,(D) No crime.,A
"A state's constitution reserves to the people of each municipality in the state the power of referendum with respect to all questions that the municipality is authorized to control by legislation. A real estate developer applied for a zoning change to permit construction of a water park on land he owned in a city within the state. While the application was pending, the city's charter was amended by popular vote so as to require that any changes in land use agreed to by the city council be approved by a 55% vote in a referendum. The city planning commission and the city council both approved the proposed zoning change. However, the commission rejected the developer's subsequent application for ""recreational area"" approval for the proposed water park on the grounds that the council's rezoning action had not been submitted to a referendum. Assume that while the action was pending in the state court, the proposed zoning change was defeated in a referendum. Which would be the most applicable rule of constitutional law with respect to the referendum procedure when applied to a rezoning ordinance?",(A) The referendum procedure as a basic instrument of the democratic process does not violate the due process clause of the Fourteenth Amendment.,(B) The referendum procedure is arbitrary and capricious and thus should be held invalid as an unlawful delegation of legislative power.,(C) The referendum procedure is violative of the due process clause of the FourteenthAmendment.,(D) The referendum procedure in this context is invalid as against publicpolicy.,A
"A small town in the Northeast developed the biggest ice sculpture in the world due to a massive snow, a deep freeze, and viral coverage on the social media. Hundreds of tourists poured into the area to work on the large block of ice. They made a gigantic ice palace for a variety of Disney princesses. To handle the needs of a great number of tourists, food vendors came from all over and set up their carts. To solve the problem of congestion, safety, and insufficient security, the town passed an ordinance restricting all street vendors to a specified parking lot area. The food vendors and others were losing money under the regulation. Would a commerce clause challenge to the parking lot requirement be successful by the food stand owners?","(A) No, because there is a legitimate state or local interest here which is promoted by an even-handed procedure to control the flow of traffic for public safety, and the impact on commerce is incidental.","(B) No, because the food stands do not have a significant commerce clause claim in that they are still able to sell food, and what they do does not affect interstate commerce.","(C) Yes, because the state is interfering with the food cart owners' legitimate business operations, which impact heavily on interstate commerce.","(D) Yes, because the local interest is favored in a discriminatory manner against all of the food cart owners from other states.",A
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I will break any rule to become the best at something. Scenario 2 | I gave the boy allergic to peanuts peanut butter for his toast.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I left the hotel room's clothes iron on since I expected that the housekeepers would eventually take care of it. Scenario 2 | In my midlife crisis, I abandoned my family.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A
"This question refers to the following information.I walk alongside the column, ask what's going on.A soldier says simply: ""They call up more every day.""Some of us were sent north to the Yellow River at age fifteen,And now at forty we're heading off to the garrisons in the west.On our first tour, the village headman had to tie our bandannas for us.When we came back, our hair was white, but still there's more unrest.The frontier garrisons run with blood, enough to fill an ocean,But the Martial Emperor's territorial ambitions have yet to crest.In the hundred districts east of the mountains, throughout the land of Han,There must be ten thousand villages that brambles now infest.Even if wives are strong enough to handle a hoe and plow,The crops grow every which way, the fields are all a mess.It's hardest for the Shanxi men, with their reputations as fighters:They're rounded up like dogs or chickens, every male impressed.""But sir, though it's good of you to ask,Complaining isn't part of the soldier's task.We can only shake our heads. Take this winter:The Shanxi troops were never sent home.The District Officers are demanding the land tax,But where will it come from? You can't get blood from a stone!I honestly think it's bad luck to bear a son now,It's better to have a daughter: at least she can marryAnd live with the neighbors next door.But a son will end up lying on some distant prairie.""Du Fu, ""Ballad of the Army Carts,"" ca. 750 C.E.The poem provides evidence of which of the following as a major cause of later Tang decline?",(A) Discontent among the peasantry due to oppressive taxation,(B) Foreign invasion of the Tang heartlands,(C) The spread of Buddhism and Taoism as a reaction to state-sponsored Confucianism,(D) An ineffective bureaucracy and poor leadership,A
"A defendant hated a victim and decided to kill him. The defendant put a loaded gun in his coat pocket and went outside for a walk, not sure if and when he may see the victim. The defendant passed by a bar and decided to go inside for a drink. While in the bar, he drank several bottles of beer and became intoxicated. While walking home from the bar, the defendant bumped into the victim. As soon as the defendant recognized him, he pulled out his gun and shot and killed the victim. In this jurisdiction, first-degree murder is defined as a premeditated and deliberate killing. All other forms of murder are second-degree murder. The defendant is guilty of",(A) first-degree murder.,(B) second-degree murder.,(C) involuntary manslaughter.,(D) voluntary manslaughter.,A
"On February 15, a company that manufactures metal sidings for home exteriors received the following order from a builder: ""Please ship 300 sheets of 1/4-inch refabricated aluminum siding. Delivery by April 1. ""On March 8, the company shipped 300 sheets of 1/2-inch refabricated aluminum siding, which were received by the builder on March 10. The following day, the builder sent the following fax to the company: ""Be advised that your shipment is rejected. Order stipulated 1/4-inch sheets. "" This fax was received by the company, but the builder did not ship the nonconforming aluminum sheets back to the company. Did the builder properly reject the shipment delivered on March 10?","(A) Yes, because the aluminum sheets were nonconforming goods.","(B) Yes, because the company did not notify the builder that the 1/2-inch sheets were for accommodation only.","(C) No, because the builder waived its right to reject the nonconforming goods by not returning them promptly to the company.","(D) No, because the company could accept the builder's offer by prompt shipment of either conforming or nonconforming goods.",A
Arguing that a lack of evidence proves something is the fallacy of...,(A) Appeal to ignorance,(B) Double negative,(C) Equivocation,(D) Burden of proof,A
Which tool technology is associated with anatomically modern Homo sapiens?,(A) Aurignacian,(B) Acheulean,(C) Mousterian,(D) both b and c,A
What was Clarence Darrow's belief about life's meaning?,(A) Life was not worthwhile.,(B) Life was hard but worthwhile.,(C) Life was uncertain but ultimately rewarding.,(D) Life was meaningful for most people.,A
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I cut many of the children last week. Scenario 2 | I took pictures of her while she was at the baby shower.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",B
"This question refers to the following information.""Americans have more freedom and broader rights than citizens of almost any other nation in the world, including the capacity to criticize their government and their elected officials. But we do not have the right to resort to violence—or the threat of violence—when we don't get our way. Our founders constructed a system of government so that reason could prevail over fear. Oklahoma City proved once again that without the law there is no freedom. Criticism is part of the lifeblood of democracy. No one is right all the time. But we should remember that there is a big difference between criticizing a policy or a politician and demonizing the government that guarantees our freedoms and the public servants who enforce our laws.""President Bill Clinton, ""What We Learned in Oklahoma City,"" 2010(Written on the 15th anniversary of the Oklahoma City bombing)""If there would not have been a Waco, I would have put down roots somewhere and not been so unsettled with the fact that my government…was a threat to me. Everything that Waco implies was on the forefront of my thoughts. That sort of guided my path for the next couple of years.""Timothy McVeigh, Oklahoma City bomber, 2001U.S. Representative John Conyers, Events Surrounding the Branch Davidian Cult Standoff in Waco, Texas: Hearing Before the Committee on the Judiciary, House of Representatives, 1993In the third excerpt, Representative Conyers refers to ""Wounded Knee"" as an example of",(A) a violent cult,(B) a federal misuse of power,(C) the site of a bombing,(D) a recent conflict between federal agents and Lakota Indians,B
"This question refers to the following information.The following poem refers to an incident in Sharpeville, South Africa, in 1960. To protest the requirement that they carry papers documenting their identity and residence, black South Africans gathered in front of police stations without their papers. Though other protests ended peacefully, in Sharpeville, police fired into the crowd.What is importantabout Sharpevilleis not that seventy died:nor even that they were shot in the backretreating, unarmed, defencelessand certainty notthe heavy caliber slugthat tore through a mother's backand ripped through the child in her armskilling itRemember Sharpevillebullet-in-the-back dayBecause it epitomized oppressionand the nature of societyMore clearly than anything else;it was the classic eventNowhere is racial dominancemore clearly definednowhere the will to oppressmore clearly demonstratedWhat the world whispersapartheid declares with snarling gunsthe blood the rich lust afterSouth Africa spills dustRemember SharpevilleRemember bullet-in-the-back dayAnd remember the unquenchable will for freedomRemember the deadand be glad—Dennis Brutus, 1973What event symbolized the end of South Africa's institutionalized discrimination?",(A) The election of F. W. de Klerk,(B) The election of Nelson Mandela,(C) The bombing of Lesotho,(D) The Boer War,B
"An investor owned a four-story office building located in downtown. The building was old and badly in need of renovation. To finance the improvements, the investor borrowed $125,000 from his friend. As consideration for the loan, the investor executed a promissory note for $125,000 payable to the friend in one year and secured by a mortgage on the building. The mortgage was dated January 1, and was recorded January 2. Thereafter, on February 1, the investor executed a deed absolute on the building and named the friend as grantee. This deed, although absolute in form, was intended only as additional security for the payment of the debt. In order to make judicial foreclosure unnecessary and to eliminate the right to redeem, the investor then delivered the deed to his nephew in escrow with instructions to deliver the deed to the friend if the investor failed to pay his promissory note at maturity. On January 1 of the following year, the investor failed to pay the note when it came due. Thereupon, the nephew, in accordance with the escrow instructions, delivered the investor's deed on the office building to the friend, which the friend promptly and properly recorded. Two weeks later, the investor tendered the $125,000 indebtedness to the friend. When the friend refused to accept it, the investor brought an appropriate action to set aside and cancel the deed absolute and to permit the redemption of the building from the friend. Conversely, the friend counterclaimed to quiet title and argued that the deed absolute was intended as an outright conveyance upon default. The court should enter a judgment that will grant the relief sought by","(A) the investor, but only if the investor can establish that the mortgage takes precedence over the deed absolute because it was executed earlier in time.","(B) the investor, because the deed absolute did not extinguish his right of redemption.","(C) the friend, because the deed absolute effectuated an outright conveyance that extinguished the redemption interest sought to be retained by the investor.","(D) the friend, because the investor is estopped to deny the effect of the deed absolute in conjunction with the escrow arrangement.",B
"A father and a son were indicted and charged with bank robbery. They allegedly participated together in robbing a bank in their hometown. After the son was arrested and given Miranda warnings, he confessed and admitted that he and his father took part in the bank robbery. The prosecution decided to charge the father and son in the same indictment and prosecute them together in a single trial. At trial, the son took the stand and recanted his earlier confession by denying participation in the robbery. The prosecution now seeks to introduce into evidence the son's earlier confession that was videotaped by the police. The son and the father both object to its admissibility. The confession should be",(A) admitted against the son only.,"(B) admitted against both the son and the father, because they were engaged in a conspiracy.","(C) not admitted against the son or the father, because the confession is hearsay not within any recognized exception.","(D) not admitted against the son or the father, because the son recanted the confession.",B
