Genre,Context,Question,Correct Answer
slate,'',Premise: He argued that these governors shared the congressional Republican agenda enshrined in the 1994 Contract With America. Hypothesis: There exists a 1994 Contract With America,0
government,'',"Premise: A survey of surgeons working in an emergency department found that the most significant predictor of screening was the attending physicians' perception that their responsibilities included screening. Hypothesis: If a physician believes they are responsible for screening, it is more likely to happen.",0
fiction,'',"Premise: The end is near!  Then a shout went up, and Hanson jerked his eyes from the gears to focus on a group of rocs that were landing at the far end of the camp. Hypothesis: Hanson redirected his gaze from the gears to the group of rocs.",0
fiction,'',"Premise: No, John, I said, ""it isn't one of us.  Hypothesis: I told John it was not one of us.",0
government,'',"Premise: Working groups were established to coordinate training statewide, to focus on the establishment of a statewide website and to continue coordination and sharing in technology matters. Hypothesis: Groups were formed to coordinate training around the state.",0
fiction,'',"Premise: The Joint Venture which has so amply justified itself by success!"" It was drunk with acclamation. Hypothesis: The Joint Venture had justified itself by success.",0
telephone,'',Premise: you know they can't really defend themselves like somebody grown uh say my age you know yeah Hypothesis: They can't defend themselves because of their age.,0
fiction,'',Premise: Who? asked Tommy. Hypothesis: Tommy inquired about the identity of the person.,0
slate,'',"Premise: Rightly or wrongly, America is seen as globalization's prime mover and head cheerleader and will be blamed for its excesses until we start paying official attention to them. Hypothesis: America's role in the globalization movement is important whether we agree with it or not. ",0
fiction,'',Premise: He had to try something. Hypothesis: The man had to try and do something. ,0
slate,'',Premise: Cop  Bud White (Crowe) and Ed Exley (Pearce) almost mix it up (59 seconds) : Hypothesis: Bud White and Ed Exley almost mix it up.,0
fiction,'',"Premise: You claimed to be a repairman for such devices.""  Hanson bent to study it again, using a diamond lens one of the warlocks handed him. Hypothesis: Hanson leaned in to examine it again, through a diamond lens.",0
fiction,'',Premise: I don't know. Hypothesis: I am not sure.,0
telephone,'',Premise: so they don't deal much in cash anymore either Hypothesis: So they don't use cash a lot anymore.,0
telephone,'',"Premise: that's true um-hum well that's true the America's paying all this money to have other people give uh aid to other countries so they could be paying their own people and training their own people at the same time Hypothesis: That's true, America's paying to for other folks to provide international aid so they could train and pay their own citizens at the same time.",0
fiction,'',Premise: It's mighty lucky you did say it. Hypothesis: Its lucky that you said it.,0
fiction,'',"Premise: I feel, though, that I should like to point out to you once more the risks you are running, especially if you pursue the course you indicate. Hypothesis: I do not think that you understand the risks you are taking.",0
travel,'',"Premise: The route passes in sight of two uninhabited Es Vedr? , which hovers like an apparition on the horizon off to the west, and Espalmador, which is popular with yachtsmen for its white-sand beach. Hypothesis: The route pass is uninhabited.",0
telephone,'',Premise: and we decided we'd just go across the road to the office and see if we could rent anything Hypothesis: We went to the office to see if there was anything we could rent.,0
travel,'',"Premise: The cane plantations, increasingly in the hands of American tycoons, found a ready market in the US. Hypothesis: The US market was ready for the cane plantations.",0
travel,'',"Premise: Many had to leave their birthplaces, fleeing to Lesvos, Chios, and Samos, the Greek-ruled islands just offshore. Hypothesis: Many people had to leave their homes. ",0
telephone,'',Premise: right after the war Hypothesis: Just after the war ended.,0
government,'',"Premise: Once they know their Social Security benefits promised under current law, workers can calculate how much they can expect from employer-sponsored pension plans and how much they need to save on their own for retirement. Hypothesis: Social Security benefits are useful for the worker in securing their retirement and financial freedom when they reach seniority.",0
travel,'',Premise: At the west end is a detailed model of the whole temple complex. Hypothesis: The whole temple complex is rendered in miniature.,0
fiction,'',Premise: He felt the off-hand dagger's weight in the small of his back. Hypothesis: The knife was on his back.,0
telephone,'',Premise: um-hum what is your worst then Hypothesis: Then what is your worst?,0
government,'',"Premise: For example, NIPA excludes capital transfers, like estate tax receipts, which are recorded as revenue in the unified budget, and investment grants-in-aid to state and local governments, which the unified budget records as outlays. Hypothesis: NIPA excludes capital transfers.",0
travel,'',Premise: Catch up on the Indian avant-garde and the bohemian people of Caletta at the Academy of Fine Arts on the southeast corner of the Maidan. Hypothesis: In South-Eastern Maidan you will find the Academy of Fine Arts.,0
travel,'',"Premise: Under Ferdinand and Isabella, Spain underwent a dramatic transformation. Hypothesis: Ferdinand and Isabella caused stunning changes to take place in Spain.",0
travel,'',Premise: Buffet and a  la carte available. Hypothesis: It has a buffet.,0
government,'',Premise: (Cohen 1999) Although many observers would view this as an extreme step it could reduce costs and allow increased efficiencies. Hypothesis: Many observers view it an extreme step to lower costs and increase efficiencies. ,0
government,'',"Premise: NIPA had already recognized mineral exploration as investment, and in 1996, NIPA reclassified government purchases of plant and equipment as investment. Hypothesis: NIPA said mineral exploration is an investment.",0
slate,'',Premise: I am asserting my membership in the club of Old Geezers. Hypothesis: I am proclaiming that I am now a member of the club of Old Geezers.,0
fiction,'',Premise: Jon walked back to the town to the smithy. Hypothesis: Jon traveled back to the town.,0
fiction,'',Premise: I mustn't keep you. Hypothesis: I should not keep you.,0
fiction,'',"Premise: Yes, sir. Hypothesis: Certainly.",0
fiction,'',Premise: The younger girl ran screaming to her. Hypothesis: A young girl was screaming. ,0
travel,'',"Premise: They capitalized on the natural resources by using the salt to cure fish, which they exported to their home country. Hypothesis: They used salt to cure fish and sent it back home. ",0
telephone,'',Premise: there and they uh they in fact they had this was in uh the late twenties and they in fact used some of the equipment that had been left over and uh he turned them down it it's interesting that that most people don't realize how small the canal is have you ever been there Hypothesis: This was in 1928,1
fiction,'',Premise: Three more days went by in dreary inaction. Hypothesis: The days passed by slowly.,1
fiction,'',"Premise: Something broke inside her, something in her head. Hypothesis: Something broke inside her, both in her heart and her head",1
fiction,'',Premise: Hang it all! said Tommy indignantly. Hypothesis: Tommy didn't realize he was being indignant.,1
telephone,'',Premise: of course you could annex Cuba but they wouldn't like that a bit Hypothesis: Cubans would go up in arms if we tried to annex Cuba.,1
slate,'',"Premise: This points to a final press-friendly quality of McCain' brilliant flattery. Hypothesis: This leads to a final press-friendly quality of McCain' brilliant flattery, said the journalist.",1
government,'',"Premise: According to the Natural Resources Conservation Service, this single, voluntary program will provide flexible technical, financial, and educational assistance to farmers and ranchers who face serious threats to soil, water, and related natural resources on agricultural and other lands, including grazing lands, wetlands, forest lands, and wildlife habitats. Hypothesis: Farmers and ranchers must have all of their licenses and permits to qualify. ",1
fiction,'',"Premise: She was a very good mistress to me, sir. Hypothesis: She was perfect at her job. ",1
fiction,'',"Premise: Poor Dave, she said. Hypothesis: She felt bad for Dave, he died a terrible death.",1
telephone,'',Premise: they might be but not at not at the human factors level Hypothesis: Are they hiring?,1
slate,'',"Premise: If anything, ultimate fighting is safer and less cruel than America's blood sport. Hypothesis: America's blood sport is more commonly known as boxing. ",1
travel,'',"Premise: The most comfortable courses are in the cooler hill stations, notably Cameron Highlands and Fraser's Hill. Hypothesis: They built the stations where people could enjoy them year-round.",1
travel,'',"Premise: The same year, the University of Hawaii campus at Manoa became the site of the Center for Cultural and Technical Interchange Between East and West (popularly known as the East West Center), a unique and venerated resource for advanced Pacific Rim studies. Hypothesis: The Pacific Rim studies only take place when one enrolls in a graduate program.",1
travel,'',Premise: The Celts arrived in the wake of the Roman withdrawal at the end of the fourth century. Hypothesis: At the end of the fourth century was when baked goods flourished.,1
slate,'',Premise: Or to judge by the  Failing to nurse at night can lead to painful engorgement or even breast infection. Hypothesis: Mothers should nurse twice at night.,1
government,'',Premise: The primary screen must be integrated into the standard intake procedure of the emergency setting and must be the responsibility of the staff to administer to all patients. Hypothesis: Integration of primary screens will prevent patients from leaving early.,1
slate,'',Premise: If you missed the two top stories in yesterday's USAT --the government's first post-deregulation attempt to preserve competitiveness among airlines and the emergence of a drug that can prevent breast cancer--they are on the NYT 's front today. Hypothesis: These two story are causing an uproar among wide audiences.,1
travel,'',"Premise: Others are Zao (in Tohoku) and a number of resorts in Joshin-etsu Kogen National Park in the Japan Alps, where there are now splendid facilities thanks to the 1998 Winter Olympic Games in Nagano. Hypothesis: The resorts in the national park are the most exclusive in the country.",1
slate,'',"Premise: In the 1980s, and as late as 1994, a major Republican theme was a sort of taunting, nyah-nyah populism. Hypothesis: The Republicans changed their theme after 1995.",1
travel,'',"Premise: For a half millennium or more, Madrid idled as a provincial backwater, rarely noticed on the arid central plains of Castile, until Felipe II plucked it from his royal cap in 1561 and proclaimed it the capital of Spain. Hypothesis: After Madrid became the capital of Spain, there were massive economic advantages for the region.",1
fiction,'',"Premise: A politician connected with the home service of his parliamentary section's boss, with the mobile phone number 0-609-3459812, and known for his lack of sense of humor, did not take too well to a message from 'Admirer' - 'Wishes shovel best'. Hypothesis: Upon receiving the message he didn't like, he deleted it.",1
slate,'',"Premise: One wag, J., wrote in to ask, Is there a difference between pests and airlines? Hypothesis: J. thinks there is no difference between pests and airlines.",1
telephone,'',"Premise: it's the very same type of paint and everything Hypothesis: It's a different colour, but the same paint formula",1
travel,'',"Premise: In fact, the Flamingo would launch over two decades of strong mob presence in Las Vegas. Hypothesis: The Flamingo likes to host grand parties.",1
travel,'',Premise: They managed to control much of the country for nearly a century before the Muslim leader Saladin (Salah-ad-Din) defeated them in 1187. Hypothesis: Saladin was a ferocious leader. ,1
slate,'',Premise: Slate could have put someone with a reasonable grasp of elementary finance and a balanced viewpoint in charge of writing a tax piece. Hypothesis: Slate has incompetent people write their tax pieces.,1
telephone,'',Premise: i'll listen  and agree with what i think sounds right Hypothesis: I'll listen to the person talking about trains.,1
telephone,'',Premise: yes that i think that's true so that makes them feel definitely like outsiders but like getting back to the their government benefits they they do have a lot of uh tax benefits Hypothesis: They receive more tax benefits then anyone else. ,1
travel,'',Premise: Funchal's central area boasts the best variety of shops and local products on the island. Hypothesis: Funchal heavily imports hand-crafted goods because of how many they manage to sell every week.,1
travel,'',"Premise: Along with the latest technology, the prime minister's office has a superb Bossi marble fireplace, as well as a fine display of art and crafts. Hypothesis: The Bossi marble fireplace was designed in Italy.",1
government,'',Premise: This makes it incumbent on the government to create incentives to recruit new employees and retain older employees. Hypothesis: The government needs to think of incentives every 6 months or so. ,1
travel,'',"Premise: Search out the House of Dionysos and the House of the Trident with their simple floor patterns, and the House of Dolphins and the House of Masks for more elaborate examples, including Dionysos riding a panther, on the floor of the House of Masks. Hypothesis: The House of Dolphins has a painting of Dionysos riding a dolphin.",1
fiction,'',Premise: Diets for men in their prime Hypothesis: A diet for men made up completely of meat. ,1
slate,'',"Premise: But of course, that's just another way of saying that liberal democracy--a value Huntington surely ranks above the alternatives morally--may never fit some peoples as naturally as it fits us. Hypothesis: Liberal democracy fits us well because we are political figures.",1
slate,'',"Premise: Tommy Thompson of Wisconsin and Mayor Rudolph Giuliani of New York, the conservative vanguard on the issue, show no inclination to exploit research that says, in effect, Why care about day-care quality? Hypothesis: Thompson and Giuliani might care about day cares.",1
fiction,'',"Premise: One thing was worrying me dreadfully, but my heart gave a great throb of relief when I saw my ulster lying carelessly over the back of a chair. Hypothesis: The chair was tall and made of wood. ",1
travel,'',"Premise: The gardens are among the greatest in Europe, and take in a view of the Sugar Loaf Mountain as part of their design. Hypothesis: The gardens have more varieties of flowers than anywhere in Europe.",1
telephone,'',Premise: so you know well a lot of the stuff you hear coming from South Africa now and from West Africa that's considered world music because it's not particularly using certain types of folk styles Hypothesis: You would really like to hear the music from Africa in person.,1
slate,'',"Premise: What's needed, alongside an evacuation plan, is a realistic program to stabilize conditions for those left behind. Hypothesis: Evacuation is always the first line of response. ",1
government,'',Premise: A student visa overstayer is not going to be a high priority for pro bono assistance. Hypothesis: A student visa overstayer will not obtain pro bono assistance.,1
slate,'',"Premise: But recently, the speculation has subsided. Hypothesis: The speculation has been ignored recently.",1
government,'',"Premise: MC2000-2, was initially considered and recommended by the Commission under the market test rules. Hypothesis: MC2000-2 was recommended by the Finance Commission.",1
fiction,'',"Premise: I have to tell you, I tried to understand it. Hypothesis: I am upset that I can not understand it.",1
fiction,'',"Premise: ""If you people only knew how fatally easy it is to poison some one by mistake, you wouldn't joke about it.  Hypothesis: Many people have poisoned someone by mistake.",1
telephone,'',"Premise: oh my  uh-huh uh-huh Hypothesis: I expected that, to be honest. ",1
telephone,'',Premise: yeah that's up here in New England that's we call that backpacking which is the same thing which is you're you've got everything on your back you know an aluminum camp frame uh Hypothesis: Everyone in New England goes backpacking on the weekends.,1
government,'',Premise: There always will be a need for an attorney to do general law. Hypothesis: There will always be a very real need for lawyers and attorney's to practice law.,1
travel,'',"Premise: The commentary is chanted by a chorus of six to eight narrators (reminiscent of the chorus in Greek tragedy) who sit at the side of the stage, while musicians positioned at the back of the stage provide stark accompaniment with flute and drums. Hypothesis: The musicians sitting near the stage are the most important part of the show.",1
government,'',Premise: You will need-all of you will need-to be highly visible personally and professionally. Hypothesis: Everyone needs to maintain an open look to the public in order to attain trust.,1
government,'',"Premise: For instance, mandatory account proposals are more likely to increase private saving because such a program would require households that do not currently save-such as many low-income individuals or families-to place some amount in an individual account. Hypothesis: People who dont voluntarily save money are less likely to have bank accounts.",1
travel,'',"Premise: Although it ceased to be a political capital in 1707 (when Scotland joined with England to create the United Kingdom), Edinburgh was at the forefront of intellectual debate. Hypothesis: When Edinburgh ceased to be a political capital in the early 18th century, local political figures protested for a change in their infrastructure.",1
telephone,'',Premise: yeah because it like i i think i've seen those before but i don't remember what they look like Hypothesis: I think I've seen them outside before but it's been a long time so I'm not sure what they look like.,1
telephone,'',"Premise: uh-huh uh-huh uh-huh yeah well that's really neat Hypothesis: That's amazing, I've never seen anything like it.",1
fiction,'',Premise: 'I saw him get aboard myself. Hypothesis: I saw him get on the train.,1
slate,'',Premise: Some are reported as not having been wanted at all. Hypothesis: Some are reported as not having been wanted at all due to breakage.,1
telephone,'',"Premise: more than anything else in this day and age that's got to be a big factor in your decision's just the the cost of how much you're gonna pay Hypothesis: In your decisions age is a big factor, and I agree with you thoughts",1
travel,'',"Premise: Cave 31 tries to emulate the style of the great Hindu temple on a much smaller scale, but the artists here were working on much harder rock and so abandoned their effort. Hypothesis: Cave 31 ran into problems because it was made of harder rock and everyone was disappointed.",1
fiction,'',Premise: He's a bad lot.  Hypothesis: He has a wife,1
telephone,'',"Premise: well the first thing for me is i wonder i see a couple of different ways of talking about what privacy is um if privacy is something that disturbs your private state i mean an invasion of privacy is something that disturbs your private state that's one thing and if privacy is something that comes into your private state and extracts information from it in other words finds something out about you that's another and the first kind of invasion of the first type of privacy seems invaded to me in very much everyday in this country but in the second type at least overtly uh where someone comes in and uh finds out information about you that should be private uh does not seem uh um obviously everyday Hypothesis: All invasions of privacy should be severely punished, because it will teach the criminals that it is not worth doing.",1
government,'',Premise: ENVIRONMENTAL PROTECTION AGENCY Hypothesis: Agency which is responsible for the protection of the environment and the maintaining of national parks.,1
fiction,'',Premise: Lincoln glared. Hypothesis: The man was angry.,1
slate,'',"Premise: In my Crossfire days, I was patronized even by Sam Donaldson. Hypothesis: I had many many fans during my Crossfire days.",1
slate,'',Premise: There are other reasons that wrecks cause fan excitement--e.g. Hypothesis: Wrecks are a small reason for fan excitement. ,1
government,'',"Premise: OMB issued the guidance in Memorandum M0010, dated April 25, 2000. Hypothesis: Memorandum M0010 details fiscal checks.",1
government,'',"Premise: The National Association of State Information Resource Executives (NASIRE) represents state chief information officers (CIO) and information resource executives who share a mission to shape national information technology policy through collaborative partnerships, information sharing, and knowledge transfer. Hypothesis: The NA SIRE does a lot of work with charities.",1
slate,'',"Premise: I am not aware of any studies comparing the number of words an average person could expect to hear spoken in a typical day 500 years ago vs. the number that can be heard now, but the increase surely is vast. Hypothesis: It makes me upset that I've yet to see any study done on how many words the average person hears throughout the day.",1
telephone,'',"Premise: an d now we got the governor she's going to do that Hypothesis: Now we have the governor, there is no way she is going to do it.",2
travel,'',Premise: Loire Valley Hypothesis: A Lake in Loire.,2
slate,'',Premise: Time 's cover package considers what makes a good school. Hypothesis: Time's cover package is about how most college students have to deal with insane student loans.,2
telephone,'',"Premise: yeah it's a U S territory and it's just we own it or Hypothesis: I used to be great at remembering this type of thing, but now I don't.",2
fiction,'',Premise: I never said you were a mandrake-man. Hypothesis: I have said you were a mandrake.,2
telephone,'',Premise: yeah that's true the traffic um yeah yeah Hypothesis: That's not true about the traffic.,2
travel,'',"Premise: The next year, he built himself a palace, Iolani, which can still be toured in Honolulu. Hypothesis: There are no palaces in Honolulu that can be toured.",2
telephone,'',Premise: so are can i just ask you are you Canadian Hypothesis: Are you from the U.S.?,2
slate,'',Premise: Monday's Question (No. Hypothesis: There was a question on Tuesday.,2
government,'',Premise: This site includes a list of all award winners and a searchable database of Government Executive articles. Hypothesis: The Government Executive articles housed on the website are not able to be searched.,2
slate,'',"Premise: There are no shares of a stock that might someday come back, just piles of options as worthless as those shares of Cook's American Business Alliance. Hypothesis:  Cook's American Business Alliance caused shares of stock to come back.",2
government,'',"Premise: Using a threestep development planning process, managers assess their current capabilities, determine their specific development needs, and build and execute a development plan. Hypothesis: Building and executing a development plan is impossible.",2
slate,'',Premise: The last 12 years of his life are a blank. Hypothesis: He recalls every moment of the last 12 years in excruciating detail,2
telephone,'',Premise: that's true i didn't think about that Hypothesis: That's not true.,2
government,'',Premise: This step of the analysis employs complex computer models that simulate the transport and transformation of emitted pollutants in the atmosphere. Hypothesis: The analysis is done on simplistic computers ,2
slate,'',Premise: He and his associates weren't operating at the level of metaphor. Hypothesis: He and his associates were operating at the level of the metaphor.,2
travel,'',"Premise: Their supplies scarce, their harvest meager, and their spirit broken, they abandoned the fort in 1858. Hypothesis: Their spirit was never broken despite having no more food.",2
fiction,'',"Premise: ""If you people only knew how fatally easy it is to poison some one by mistake, you wouldn't joke about it.  Hypothesis: Nobody can be poisoned by mistake.",2
travel,'',"Premise: They are built on the site of David's Tower, once the largest and most formidable structure in the castle. Hypothesis: There is nothing where David's Tower used to be.",2
slate,'',Premise: The celebrity-obsessed magazine surpasses itself in the post-Oscar issue. Hypothesis: The magazine is not interested in celebrities.,2
fiction,'',"Premise: And put like that, she added confidentially to Tommy, ""nobody could boggle at the expense!"" Nobody did, which was the great thing. Hypothesis: People boggled at the expense.",2
slate,'',"Premise: Zoom-out vs. zoom- Ever since Roe , pro-life posters and pamphlets have depicted isolated fetuses. Hypothesis: Pro-life posters haven't depicted isolated fetuses at all after Roe.",2
fiction,'',Premise: There never will be. Hypothesis: It should happen soon.,2
slate,'',"Premise: While obviously constrained by their bondage, blacks nonetheless forged a culture rich with religious observances, folk tales, family traditions, song, and so on. Hypothesis: Clearly are constrained by their folk tales and traditions.",2
government,'',"Premise: Concurrent with downsizing, procurement regulations have been modified to allow agencies greater flexibility and choice in selecting contracting methods for acquiring facilities. Hypothesis: Agencies have been further restricted and given less choice in selecting contracting methods.",2
slate,'',Premise: News argues that most of America's 93 million volunteers aren't doing much good. Hypothesis: News argues that all of America's volunteers are doing a lot of good.,2
travel,'',"Premise: The lucrative tin mines of Kuala Lumpur in the State of Selangor, of Sungai Ujong in Negeri Sembilan, and of Larut and Taiping in Perak were run for the Malay rulers by Chinese managers providing coolie labor. Hypothesis: The Malay rulers directed administrated their own tin mines.",2
government,'',"Premise: In particular, the model provides a useful framework for assessing the long-term implications of alternative budget policies through their effect on national saving. Hypothesis: This model is not useful for seeing how certain budget policies affect national saving, as the model does not record that.",2
telephone,'',Premise: it takes so much i mean it's like of course it does i mean by the times it transforms into Wave by mark off model and you put it in there and you want to correct those and then you know you're trying to make the the Wave smooth so you can approximately of course it's going to take a lot Hypothesis: It does not take anything.,2
travel,'',"Premise: Two bronze lions, carrying out feng shui principles, guard its doors. Hypothesis: Two golden calfs, carrying out capitalist principles, laugh at customers.",2
fiction,'',Premise: Jon's feeling of age and weariness must have shown. Hypothesis: Jon was feeling young and spry.,2
travel,'',Premise: Two natural rock formations are always pointed out on excursions. Hypothesis: There is only one natural rock formation in the area.,2
fiction,'',Premise: I just stopped where I was. Hypothesis: I continued on my way,2
telephone,'',Premise: and uh we went through a time period that we had three Danes Hypothesis: We never had Danes for a certain amount of time.,2
telephone,'',Premise: uh-huh so do you have to get a shade tolerant grass is that what you're Hypothesis: All grass seed needs full sun to grow.,2
slate,'',"Premise: It may be that the best way to read this text in the years ahead will not be with a magnifying glass, but through the looking glass--as a prism to discern what the political culture that produced Nixon shares with our own. Hypothesis: The political culture will not offer any lessons.",2
fiction,'',"Premise: There is nothing more to be done here, I think, unless, he stared earnestly and long at the dead ashes in the grate.  Hypothesis: There is sdo much left to do. ",2
slate,'',Premise: Do you think I should be concerned? Hypothesis: Do you think I should be confident?,2
fiction,'',Premise: It's mighty lucky you did say it. Hypothesis: It's pretty unlucky that you said it.,2
fiction,'',Premise: Then he turned to Tommy. Hypothesis: He walked away from Tommy after that.,2
government,'',"Premise: To help ensure the success of GPRA, the CFO Council, which the CFO Act created to provide the leadership foundation necessary to effectively carry out the Chief Financial Officers' responsibilities, established a GPRA Implementation Committee. Hypothesis: The CFO Act destroyed the CFO Council. ",2
government,'',"Premise: In these cases, participants risk losing not only their jobs but also a significant portion of their retirement savings if their company files for bankruptcy. Hypothesis: Participants have no risk in losing their job in these cases.",2
slate,'',"Premise: By seeding packs with a few high-value cards, the manufacturer is encouraging kids to buy Pokemon cards like lottery tickets. Hypothesis: Each Pokemon card pack is filled with every rare card a kid could want.",2
slate,'',Premise: Wacky Tangent of the  Washington Week in Review host Ken Bode scolded the New York Times Magazine for a Nov. 9 fashion spread he said endorsed the now-discredited fashion trend of heroin chic. Hypothesis: Heroin Chic is in.,2
government,'',Premise: Whether a government postal service can engage in these kinds of negotiations deserves serious study. Hypothesis: It is already certain that the postal service can engage in these negotiations.,2
telephone,'',Premise: and we decided we'd just go across the road to the office and see if we could rent anything Hypothesis: We decided not to go to the office across the road.,2
telephone,'',Premise: yeah well losing is i mean i'm i'm originally from Saint Louis and Saint Louis Cardinals when they were there were uh a mostly a losing team but Hypothesis: The St. Louis Cardinals have always won.,2
slate,'',Premise: If you missed the two top stories in yesterday's USAT --the government's first post-deregulation attempt to preserve competitiveness among airlines and the emergence of a drug that can prevent breast cancer--they are on the NYT 's front today. Hypothesis: These two stores about post-deregulation and breast cancer drug are not on the front page of NYT today.,2
travel,'',"Premise: The Irish Architectural Archive, a library of architectural materials, is at number 73 on the south side of the square. Hypothesis: At number 15 the Irish Architectural Archive can be found.",2
fiction,'',Premise: Were you in company with anyone? Hypothesis: Were you awake?,2
slate,'',Premise: Where would he be today without American commercial know-how? Hypothesis: Americans lack important commercial know-how.,2
travel,'',"Premise: As the Tokugawa shoguns had feared, this opening of the floodgates of Western culture after such prolonged isolation had a traumatic effect on Japanese society. Hypothesis: There was no traumatic effect on japanese society, when the floodgates of Western culture opened.",2
fiction,'',Premise: They even smiled at Susan and she smiled back. Hypothesis: They frowned at Susan.,2
telephone,'',Premise: well i hear my kids are needing me again so i'll go see what they need  and we'll maybe talk to you again Hypothesis: My kids are independent and do not need me at all.,2
fiction,'',"Premise: And far, far away- lying still on the tracks- was the back of the train. Hypothesis: The train was speeding along the track. ",2
government,'',"Premise: Cultural transitions of major organizations are never easy to accomplish, and I would certainly not claim that it will be easy for GAO. Hypothesis: It's always easy for major organizations to complete cultural transitions.",2
fiction,'',"Premise: Then as he caught the other's sidelong glance, ""No, the chauffeur won't help you any. Hypothesis: The chauffeur will certainly come to his rescue any moment now.",2
government,'',Premise: The agencies requesting guidance on internal controls when implementing fast pay have also designed procedures to verify receipt and acceptance of goods ordered on an afterthefact sampling basis rather than on the basis of a 100percent postpayment verification as is traditionally done. Hypothesis: The agencies requesting guidance were not involved with designing new procedures.,2
telephone,'',Premise: no no but you know i was just thinking of getting one those for the yard because they they are really nice and um up here we have uh we have quite a few mosquitoes at nighttime Hypothesis: I am not bothered by the mosquitoes. ,2
