task,QID,AnsRefIDs,Context,Question,Correct Answer
qa18,6,"[4, 1]",The container is bigger than the box. The suitcase is bigger than the container.,Is the box bigger than the suitcase?,No
qa1,6,[4],John went back to the bathroom.,Is John in the office?,No
qa6,9,[8],John went to the bedroom.,Is John in the kitchen?,No
qa9,6,[1],Daniel is not in the bathroom.,Is Daniel in the bathroom?,No
qa1,9,[8],Daniel travelled to the garden.,Is Daniel in the bathroom?,No
qa12,12,[11],Daniel and John journeyed to the hallway.,Is John in the garden?,No
qa4,3,[2],The hallway is west of the bathroom.,Is the garden west of the bathroom?,No
qa11,6,"[1, 2]",Mary went back to the kitchen. Then she went to the garden.,Is Mary in the kitchen?,No
qa10,15,[13],Fred went to the bedroom.,Is Fred in the school?,No
qa4,3,[1],The bathroom is north of the garden.,Is the office north of the garden?,No
qa13,12,"[10, 11]",Mary and Sandra went back to the kitchen. Following that they went back to the office.,Is Mary in the bathroom?,No
qa13,15,"[13, 14]",Sandra and John journeyed to the bathroom. Then they travelled to the hallway.,Is Sandra in the garden?,No
qa11,6,"[1, 2]",Daniel journeyed to the hallway. Then he journeyed to the bathroom.,Is Daniel in the office?,No
qa9,6,[5],Sandra is not in the kitchen.,Is Sandra in the kitchen?,No
qa9,6,[5],John is not in the kitchen.,Is John in the kitchen?,No
qa18,8,"[4, 3]",The box is bigger than the chocolate. The container is bigger than the box.,Does the container fit in the chocolate?,No
qa13,3,"[1, 2]",Sandra and Daniel travelled to the garden. After that they moved to the office.,Is Daniel in the hallway?,No
qa12,12,[11],Mary and Daniel went back to the office.,Is Mary in the bedroom?,No
qa11,6,"[1, 2]",John journeyed to the kitchen. Then he went to the hallway.,Is John in the office?,No
qa12,12,[10],Sandra and John travelled to the office.,Is Sandra in the hallway?,No
qa10,3,[1],Julie is either in the bedroom or the kitchen.,Is Julie in the school?,No
qa12,15,[14],Mary and John moved to the hallway.,Is John in the office?,No
qa17,3,"[1, 2]",The red square is to the left of the triangle. The triangle is to the left of the blue square.,Is the red square to the right of the blue square?,No
qa6,3,[2],John moved to the bathroom.,Is John in the bedroom?,No
qa6,9,[8],Sandra went back to the garden.,Is Sandra in the kitchen?,No
qa10,12,[11],Julie is in the park.,Is Julie in the school?,No
qa9,15,[14],John went to the bedroom.,Is John in the hallway?,No
qa9,9,[7],Mary is in the kitchen.,Is Mary in the bedroom?,No
qa10,12,[8],Mary is in the office.,Is Mary in the school?,No
qa17,6,"[2, 1]",The yellow square is below the triangle. The yellow square is to the right of the blue square.,Is the triangle below the blue square?,No
qa17,4,"[1, 2]",The red sphere is above the yellow square. The red sphere is to the right of the red square.,Is the yellow square above the red square?,No
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the kitchen?,No
qa2,22,"[18, 15]",Mary left the apple. Mary moved to the office.,Is the apple in the hallway?,No
qa18,11,"[9, 1]",The box is bigger than the box of chocolates. The chest is bigger than the box.,Is the box of chocolates bigger than the chest?,No
qa2,12,"[7, 8]",Mary picked up the football there. Mary journeyed to the kitchen.,Is the football in the hallway?,No
qa6,15,[13],Mary went back to the kitchen.,Is Mary in the hallway?,No
qa17,4,"[2, 1]",The yellow square is to the left of the red square. The yellow square is to the right of the red sphere.,Is the red square to the left of the red sphere?,No
qa13,9,"[7, 8]",Mary and Sandra travelled to the garden. Then they travelled to the office.,Is Sandra in the garden?,No
qa9,12,[11],Daniel is no longer in the bathroom.,Is Daniel in the bathroom?,No
qa2,28,"[25, 26]",Mary got the milk there. Mary went to the bathroom.,Is the milk in the kitchen?,No
qa15,10,"[5, 2]",Gertrude is a mouse. Mice are afraid of wolves.,Is gertrude afraid of a mouse?,No
qa2,25,"[18, 17]",John left the milk. John journeyed to the garden.,Is the milk in the hallway?,No
qa9,3,[2],Sandra is not in the hallway.,Is Sandra in the hallway?,No
qa18,12,"[5, 10]",The container is bigger than the chocolate. The suitcase is bigger than the container.,Does the suitcase fit in the chocolate?,No
qa10,9,[8],Bill is in the cinema.,Is Bill in the bedroom?,No
qa1,15,[14],Mary moved to the office.,Is Mary in the kitchen?,No
qa12,15,[14],Mary and John went to the bedroom.,Is John in the hallway?,No
qa13,6,"[4, 5]",John and Mary went back to the garden. Then they travelled to the bathroom.,Is Mary in the kitchen?,No
qa18,9,"[4, 3]",The chocolate fits inside the chest. The chest fits inside the box.,Does the box fit in the chocolate?,No
qa13,9,"[7, 8]",John and Sandra went back to the office. Following that they went to the hallway.,Is John in the bathroom?,No
qa13,3,"[1, 2]",Mary and Daniel moved to the bedroom. Then they travelled to the hallway.,Is Daniel in the office?,No
qa6,3,[1],John journeyed to the hallway.,Is John in the office?,No
qa10,15,[14],Bill journeyed to the park.,Is Bill in the cinema?,No
qa17,3,"[1, 2]",The pink rectangle is to the left of the triangle. The triangle is to the left of the red square.,Is the pink rectangle to the right of the red square?,No
qa15,12,"[8, 4]",Emily is a wolf. Wolves are afraid of mice.,Is emily afraid of a sheep?,No
qa15,9,"[5, 4]",Jessica is a cat. Cats are afraid of wolves.,Is jessica afraid of a mouse?,No
qa13,6,"[4, 5]",John and Sandra went to the office. After that they went to the garden.,Is Sandra in the bathroom?,No
qa1,3,[2],Sandra travelled to the bathroom.,Is Sandra in the hallway?,No
qa2,37,"[32, 28]",Mary put down the apple. Mary moved to the bathroom.,Is the apple in the garden?,No
qa10,3,[2],Julie is in the kitchen.,Is Julie in the office?,No
qa11,9,"[4, 5]",John went to the office. Afterwards he moved to the garden.,Is John in the garden?,Yes
qa2,14,"[8, 10]",John got the milk there. John moved to the garden.,Is the milk in the garden?,Yes
qa9,12,[11],Mary is in the bedroom.,Is Mary in the bedroom?,Yes
qa10,15,[14],Mary moved to the office.,Is Mary in the office?,Yes
qa12,3,[2],John and Mary moved to the hallway.,Is John in the hallway?,Yes
qa15,10,"[3, 1]",Emily is a cat. Cats are afraid of sheep.,Is emily afraid of a sheep?,Yes
qa1,9,[7],Mary moved to the hallway.,Is Mary in the hallway?,Yes
qa4,3,[2],The hallway is north of the kitchen.,Is the hallway north of the kitchen?,Yes
qa10,3,[1],Fred went back to the school.,Is Fred in the school?,Yes
qa17,9,"[1, 2]",The yellow square is to the left of the blue square. The blue square is above the red square.,Is the yellow square above the red square?,Yes
qa10,9,[8],Mary moved to the office.,Is Mary in the office?,Yes
qa11,6,"[1, 2]",Daniel went to the bathroom. Following that he went back to the kitchen.,Is Daniel in the kitchen?,Yes
qa11,3,"[1, 2]",Mary went to the garden. Then she journeyed to the bedroom.,Is Mary in the bedroom?,Yes
qa9,6,[2],Sandra is in the hallway.,Is Sandra in the hallway?,Yes
qa18,7,"[3, 1]",The container is bigger than the box. The box of chocolates fits inside the box.,Is the container bigger than the box of chocolates?,Yes
qa13,9,"[7, 8]",Daniel and Sandra went back to the bedroom. Following that they moved to the bathroom.,Is Daniel in the bathroom?,Yes
qa1,6,[2],Sandra travelled to the garden.,Is Sandra in the garden?,Yes
qa13,15,"[13, 14]",Daniel and Sandra journeyed to the hallway. Following that they went to the garden.,Is Daniel in the garden?,Yes
qa12,9,[8],Mary and Daniel journeyed to the hallway.,Is Mary in the hallway?,Yes
qa10,15,[14],Mary journeyed to the park.,Is Mary in the park?,Yes
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the kitchen?,Yes
qa9,15,[14],Daniel moved to the office.,Is Daniel in the office?,Yes
qa6,12,[5],Sandra moved to the hallway.,Is Sandra in the hallway?,Yes
qa9,9,[7],Mary went to the hallway.,Is Mary in the hallway?,Yes
qa18,8,"[5, 1]",The container is bigger than the chest. The chest is bigger than the suitcase.,Does the suitcase fit in the container?,Yes
qa6,9,[7],Daniel went back to the kitchen.,Is Daniel in the kitchen?,Yes
qa10,12,[7],Julie is in the office.,Is Julie in the office?,Yes
qa11,3,"[1, 2]",Mary journeyed to the garden. After that she travelled to the kitchen.,Is Mary in the kitchen?,Yes
qa9,15,[13],John went back to the bathroom.,Is John in the bathroom?,Yes
qa2,16,"[15, 14]",Daniel dropped the football. Daniel journeyed to the hallway.,Is the football in the hallway?,Yes
qa9,3,[1],Mary moved to the office.,Is Mary in the office?,Yes
qa12,9,[8],Sandra and Daniel went back to the bedroom.,Is Daniel in the bedroom?,Yes
qa10,3,[1],Bill journeyed to the bedroom.,Is Bill in the bedroom?,Yes
qa15,11,"[7, 2]",Jessica is a cat. Cats are afraid of wolves.,Is jessica afraid of a wolf?,Yes
qa12,6,[5],John and Daniel journeyed to the garden.,Is Daniel in the garden?,Yes
qa4,3,[2],The kitchen is south of the hallway.,Is the kitchen south of the hallway?,Yes
qa11,12,"[7, 8]",John went back to the hallway. Then he moved to the garden.,Is John in the garden?,Yes
qa6,3,[1],John travelled to the kitchen.,Is John in the kitchen?,Yes
qa2,31,"[30, 16]",Daniel put down the milk there. Daniel moved to the garden.,Is the milk in the garden?,Yes
qa15,10,"[7, 3]",Jessica is a wolf. Wolves are afraid of cats.,Is jessica afraid of a cat?,Yes
qa18,9,"[2, 4]",The box is bigger than the container. The chocolate fits inside the container.,Does the chocolate fit in the box?,Yes
qa1,6,[4],John went back to the bathroom.,Is John in the bathroom?,Yes
qa6,6,[1],Daniel travelled to the hallway.,Is Daniel in the hallway?,Yes
qa9,15,[13],Sandra journeyed to the kitchen.,Is Sandra in the kitchen?,Yes
qa1,9,[8],Daniel travelled to the garden.,Is Daniel in the garden?,Yes
qa12,12,[11],Daniel and John journeyed to the hallway.,Is John in the hallway?,Yes
qa4,3,[2],The hallway is west of the bathroom.,Is the hallway west of the bathroom?,Yes
qa11,6,"[1, 2]",Mary went back to the kitchen. Then she went to the garden.,Is Mary in the garden?,Yes
qa10,15,[13],Bill travelled to the kitchen.,Is Bill in the kitchen?,Yes
qa4,3,[1],The bathroom is north of the garden.,Is the bathroom north of the garden?,Yes
qa13,12,"[10, 11]",Mary and Sandra went back to the kitchen. Following that they went back to the office.,Is Mary in the office?,Yes
qa13,15,"[13, 14]",Sandra and John journeyed to the bathroom. Then they travelled to the hallway.,Is Sandra in the hallway?,Yes
qa11,6,"[1, 2]",Daniel journeyed to the hallway. Then he journeyed to the bathroom.,Is Daniel in the bathroom?,Yes
qa9,15,[13],Sandra journeyed to the bathroom.,Is Sandra in the bathroom?,Yes
qa9,12,[7],Mary moved to the bathroom.,Is Mary in the bathroom?,Yes
qa18,7,"[5, 1]",The suitcase fits inside the box. The chocolate fits inside the suitcase.,Does the chocolate fit in the box?,Yes
qa13,3,"[1, 2]",Sandra and Daniel travelled to the garden. After that they moved to the office.,Is Daniel in the office?,Yes
qa12,12,[11],Mary and Daniel went back to the office.,Is Mary in the office?,Yes
qa11,6,"[1, 2]",John journeyed to the kitchen. Then he went to the hallway.,Is John in the hallway?,Yes
qa12,12,[10],Sandra and John travelled to the office.,Is Sandra in the office?,Yes
qa10,3,[1],Bill went to the cinema.,Is Bill in the cinema?,Yes
qa12,15,[14],Mary and John moved to the hallway.,Is John in the hallway?,Yes
qa17,4,"[1, 2]",The triangle is above the pink rectangle. The triangle is to the right of the yellow square.,Is the pink rectangle below the yellow square?,Yes
qa6,15,[11],Mary journeyed to the hallway.,Is Mary in the hallway?,Yes
qa6,12,[10],John moved to the hallway.,Is John in the hallway?,Yes
qa10,9,[5],Julie went to the kitchen.,Is Julie in the kitchen?,Yes
qa9,6,[4],Mary moved to the bathroom.,Is Mary in the bathroom?,Yes
qa9,9,[7],Sandra moved to the garden.,Is Sandra in the garden?,Yes
qa10,6,[5],Mary is in the school.,Is Mary in the school?,Yes
qa17,4,"[2, 1]",The red square is to the left of the red sphere. The blue square is above the red square.,Is the red sphere below the blue square?,Yes
qa17,5,"[1, 2]",The pink rectangle is below the red square. The triangle is to the left of the red square.,Is the pink rectangle to the right of the triangle?,Yes
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the bathroom?,Yes
qa2,22,"[18, 15]",Mary left the apple. Mary moved to the office.,Is the apple in the office?,Yes
qa18,15,"[9, 8]",The container fits inside the chest. The container is bigger than the chocolate.,Is the chest bigger than the chocolate?,Yes
qa2,12,"[7, 8]",Mary picked up the football there. Mary journeyed to the kitchen.,Is the football in the kitchen?,Yes
qa6,15,[14],Daniel went back to the office.,Is Daniel in the office?,Yes
qa17,9,"[2, 1]",The red sphere is below the blue square. The pink rectangle is to the right of the blue square.,Is the red sphere to the left of the pink rectangle?,Yes
qa13,9,"[7, 8]",Mary and Sandra travelled to the garden. Then they travelled to the office.,Is Sandra in the office?,Yes
qa9,6,[4],Mary travelled to the garden.,Is Mary in the garden?,Yes
qa2,28,"[25, 26]",Mary got the milk there. Mary went to the bathroom.,Is the milk in the bathroom?,Yes
qa15,10,"[5, 2]",Gertrude is a mouse. Mice are afraid of wolves.,Is gertrude afraid of a wolf?,Yes
qa2,25,"[18, 17]",John left the milk. John journeyed to the garden.,Is the milk in the garden?,Yes
qa9,3,[2],John is in the hallway.,Is John in the hallway?,Yes
qa18,7,"[2, 3]",The container is bigger than the box of chocolates. The box of chocolates is bigger than the chocolate.,Is the container bigger than the chocolate?,Yes
qa10,3,[2],Julie journeyed to the park.,Is Julie in the park?,Yes
qa1,15,[14],Mary moved to the office.,Is Mary in the office?,Yes
qa12,15,[14],Mary and John went to the bedroom.,Is John in the bedroom?,Yes
qa13,6,"[4, 5]",John and Mary went back to the garden. Then they travelled to the bathroom.,Is Mary in the bathroom?,Yes
qa18,10,"[1, 2]",The box of chocolates fits inside the container. The chocolate fits inside the box of chocolates.,Is the container bigger than the chocolate?,Yes
qa13,9,"[7, 8]",John and Sandra went back to the office. Following that they went to the hallway.,Is John in the hallway?,Yes
qa13,3,"[1, 2]",Mary and Daniel moved to the bedroom. Then they travelled to the hallway.,Is Daniel in the hallway?,Yes
qa6,15,[14],Sandra went back to the kitchen.,Is Sandra in the kitchen?,Yes
qa10,3,[1],Mary went back to the bedroom.,Is Mary in the bedroom?,Yes
qa17,4,"[1, 2]",The pink rectangle is to the left of the triangle. The triangle is to the left of the red square.,Is the pink rectangle to the left of the red square?,Yes
qa15,12,"[8, 4]",Emily is a wolf. Wolves are afraid of mice.,Is emily afraid of a mouse?,Yes
qa15,9,"[5, 4]",Jessica is a cat. Cats are afraid of wolves.,Is jessica afraid of a wolf?,Yes
qa13,6,"[4, 5]",John and Sandra went to the office. After that they went to the garden.,Is Sandra in the garden?,Yes
qa1,3,[2],Sandra travelled to the bathroom.,Is Sandra in the bathroom?,Yes
qa2,37,"[32, 28]",Mary put down the apple. Mary moved to the bathroom.,Is the apple in the bathroom?,Yes
qa10,15,[11],Fred went back to the office.,Is Fred in the office?,Yes
