property,prefix,Context,Question,Correct Answer,negative_sample_type
is kept in falconries,a swan,'',Is a swan kept in falconries?,No,random
has big ears,a sparrow,'',Does a sparrow have big ears?,No,random
can hit people,an accordion,'',Can an accordion hit people?,No,random
contains a calf,castanets,'',Does castanets contain a calf?,No,random
can be used on eyes,cucumber,'',Can cucumber be used on eyes?,Yes,random
is a cephalopod,an octopus,'',Is an octopus a cephalopod?,Yes,random
can contain icing,a donut,'',Can a donut contain icing?,Yes,random
can be filled,a bathtub,'',Can a bathtub be filled?,Yes,random
is a symbol of peace,a dove,'',Is a dove a symbol of peace?,Yes,random
is used to inhale air,a nose,'',Is a nose used to inhale air?,Yes,random
can quack,a duck,'',Can a duck quack?,Yes,random
cannot fly,a peacock,'',Does a peacock cannot fly?,Yes,random
has a yellow center,a daisy,'',Does a daisy have a yellow center?,Yes,random
has a curly shape,a french horn,'',Does a french horn have a curly shape?,Yes,random
is a sensory organ,a tongue,'',Is a tongue a sensory organ?,Yes,random
has large teeth,a lion,'',Does a lion have large teeth?,Yes,random
is smooth on the outside,tomato,'',Is tomato smooth on the outside?,Yes,random
is for toddlers,a cradle,'',Is a cradle for toddlers?,Yes,random
can last a long time,jam,'',Can jam last a long time?,Yes,random
can be made of canvas material,a deckchair,'',Can a deckchair be made of canvas material?,Yes,random
is fruity,jelly,'',Is jelly fruity?,Yes,random
is prickly,pineapple,'',Is pineapple prickly?,Yes,random
comes from grains,whiskey,'',Does whiskey come from grains?,Yes,random
is a chair with wheels,a wheelchair,'',Is a wheelchair a chair with wheels?,Yes,random
is worn on head,a veil,'',Is a veil worn on head?,Yes,random
is made of fibres,a heart,'',Is a heart made of fibres?,Yes,random
grows underground,an onion,'',Does an onion grow underground?,Yes,random
is cold blooded,a minnow,'',Is a minnow cold blooded?,Yes,random
hunts in packs,a wolf,'',Does a wolf hunt in packs?,Yes,random
has a long body,a rhino,'',Does a rhino have a long body?,Yes,random
is used in fish and chips,a cod,'',Is a cod used in fish and chips?,Yes,random
can be made of satin,a gown,'',Can a gown be made of satin?,Yes,random
can trot,a pony,'',Can a pony trot?,Yes,random
has soft wood,a willow tree,'',Does a willow tree have soft wood?,Yes,random
can chill food,a refrigerator,'',Can a refrigerator chill food?,Yes,random
can flash,a camera,'',Can a camera flash?,Yes,random
has edible seeds,cucumber,'',Does cucumber have edible seeds?,Yes,random
is worn on the lower half of the body,a skirt,'',Is a skirt worn on the lower half of the body?,Yes,random
is usually taller than wide,a bottle,'',Is a bottle usually taller than wide?,Yes,random
can be short,a finger,'',Can a finger be short?,Yes,random
has a nozzle,a hose,'',Does a hose have a nozzle?,Yes,random
has metal bands,a barrel,'',Does a barrel have metal bands?,Yes,random
has horns,a goat,'',Does a goat have horns?,Yes,random
can be found on plants,a cricket,'',Can a cricket be found on plants?,Yes,random
has long eyelashes,a hippo,'',Does a hippo have long eyelashes?,Yes,random
is agile,a panther,'',Is a panther agile?,Yes,random
is a wine,champagne,'',Is champagne a wine?,Yes,random
can defrost food,an oven,'',Can an oven defrost food?,Yes,random
is grainy,sugar,'',Is sugar grainy?,Yes,random
is decorative,an orchid,'',Is an orchid decorative?,Yes,random
has a pointy end,a knife,'',Does a knife have a pointy end?,Yes,random
has dog food,a dog,'',Does a dog have dog food?,Yes,random
is used to serve food,a ladle,'',Is a ladle used to serve food?,Yes,random
can prance,a horse,'',Can a horse prance?,Yes,random
can wag its tail,a dog,'',Can a dog wag its tail?,Yes,random
can be found in the wild,a wren,'',Can a wren be found in the wild?,Yes,random
is used by carpenters and masons,a chisel,'',Is a chisel used by carpenters and masons?,Yes,random
can be rowed,a canoe,'',Can a canoe be rowed?,Yes,random
likes to chase strings,a cat,'',Does a cat like to chase strings?,Yes,random
requires plumbing,a bathtub,'',Does a bathtub require plumbing?,Yes,random
provides strong wood,an oak tree,'',Does an oak tree provide strong wood?,Yes,random
is worn by laborers,gloves,'',Is gloves worn by laborers?,Yes,random
can be bent,a leg,'',Can a leg be bent?,Yes,random
has big eyes,a frog,'',Does a frog have big eyes?,Yes,random
has fibrous skin,peach,'',Does peach have fibrous skin?,Yes,random
is a pest,a termite,'',Is a termite a pest?,Yes,random
can be lied on,a sofa,'',Can a sofa be lied on?,Yes,random
washes fabrics,a washing machine,'',Does a washing machine wash fabrics?,Yes,random
is a bike,a unicycle,'',Is a unicycle a bike?,Yes,random
can make a hooting sound,an owl,'',Can an owl make a hooting sound?,Yes,random
eats rodents and mice,a hawk,'',Does a hawk eat rodents and mice?,Yes,random
has a dreamy sound,a harp,'',Does a harp have a dreamy sound?,Yes,random
contains identification,a wallet,'',Does a wallet contain identification?,Yes,random
has a metal frame,a bus,'',Does a bus have a metal frame?,Yes,random
has gears,a car,'',Does a car have gears?,Yes,random
comes in different designs,a football,'',Does a football come in different designs?,Yes,random
can be used to communicate,a radio,'',Can a radio be used to communicate?,Yes,random
is taut,a bow,'',Is a bow taut?,Yes,random
is flown,a rocket,'',Is a rocket flown?,Yes,random
can support spectacles,an ear,'',Can an ear support spectacles?,Yes,random
is used in seas,a dinghy,'',Is a dinghy used in seas?,Yes,random
can be used to eat cereal,a bowl,'',Can a bowl be used to eat cereal?,Yes,random
uses electricity,a coffee maker,'',Does a coffee maker use electricity?,Yes,random
resembles the letter Y,a catapult,'',Does a catapult resemble the letter y?,Yes,random
is brewed,beer,'',Is beer brewed?,Yes,random
is used to stir,a ladle,'',Is a ladle used to stir?,Yes,random
can be made of soft fabric,a skirt,'',Can a skirt be made of soft fabric?,Yes,random
is played in brass bands,a tuba,'',Is a tuba played in brass bands?,Yes,random
can squawk,a parakeet,'',Can a parakeet squawk?,Yes,random
can be pulled by a tractor,a plow,'',Can a plow be pulled by a tractor?,Yes,random
can store jam,a jar,'',Can a jar store jam?,Yes,random
is required for speaking,a tongue,'',Is a tongue required for speaking?,Yes,random
has a septum,a nose,'',Does a nose have a septum?,Yes,random
can be messy to eat,peach,'',Can peach be messy to eat?,Yes,random
is made of ground grain,flour,'',Is flour made of ground grain?,Yes,random
is indulgent,ice cream,'',Is ice cream indulgent?,Yes,random
can be environmentally friendly,a coach,'',Can a coach be environmentally friendly?,Yes,random
can be worn with a tie,a shirt,'',Can a shirt be worn with a tie?,Yes,random
is a weed,a daisy,'',Is a daisy a weed?,Yes,random
can be found on cupboards,a plate,'',Can a plate be found on cupboards?,Yes,random
can be difficult to digest,corn,'',Can corn be difficult to digest?,Yes,random
has two wheels,a wheelbarrow,'',Does a wheelbarrow have two wheels?,Yes,random
is dried,a currant,'',Is a currant dried?,Yes,random
is a gastropod,a snail,'',Is a snail a gastropod?,Yes,random
