Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer
473,79,agent-properties,119.0,variable swap,1,Chao hates playing pool more than playing football.,Does Chao make less effort to play pool than to play football?,Yes
81,22,agent-properties,21.0,other,1,The wheel is in Chao's hand.,Does Chao feel the wheel?,Yes
157,40,agent-properties,40.0,negation,1,Chao knows that the wheel is in the shop.,Does Chao believe that the wheel is in the shop?,Yes
1,1,agent-properties,1.0,negation,1,Chao is looking at the wheel.,Does Chao see the wheel?,Yes
560,140,material-dynamics,140.0,material,2,Chao sees the oxygen.,Can it disperse?,Yes
284,55,agent-properties,71.0,antonym,2,Chao has decided against getting the wheel.,Does Chao not intend to get the wheel?,Yes
645,84,agent-properties,162.0,antonym,1,Chao is more intent on meeting Yan than meeting Ali.,Does Chao make less effort to interact with Ali than with Yan?,Yes
280,54,agent-properties,70.0,antonym,2,Chao decides against playing football.,Does Chao not intend to play football?,Yes
245,50,agent-properties,62.0,antonym,1,"Upon seeing Yan and Ali, Chao started walking towards Yan but not Ali.",Does Chao prefer Yan over Ali?,Yes
121,31,quantitative-properties,,antonym,1,There are equal quantities of toothpaste and gel.,Is the amount of toothpaste and gel the same?,Yes
72,19,agent-properties,18.0,negation,2,Chao is not touching the wheel.,Does Chao not feel the wheel?,Yes
500,44,social-relations,125.0,active-passive,2,Chao was raised by Yan.,Is Chao Yan's child?,Yes
513,81,agent-properties,129.0,antonym,1,Chao is less hesitant to get the wheel than to get the truck.,Does Chao make more effort to get the wheel than to get the truck?,Yes
53,8,spatial-relations,,variable swap,1,The nail and the wheel are on the same surface. Then the nail is moved lower.,Is the wheel above the nail?,Yes
625,50,social-relations,157.0,other,1,Yan is 5 years older than Chao.,Is Chao Yan's sibling?,Yes
160,20,spatial-relations,,antonym,2,The shop is east of Chao. Chao reaches the shop and exits on the other side.,Is the shop west of Chao?,Yes
85,23,agent-properties,22.0,other,1,The airplane is in front of Chao. Chao's ears are covered.,Does Chao see the airplane?,Yes
736,87,agent-properties,184.0,variable swap,2,Chao hates Ali less than Yan.,Does Chao make less effort to interact with Yan than with Ali?,Yes
104,26,social-properties,26.0,antonym,2,Chao is hesitant to engage in social interactions.,Is Chao introverted?,Yes
97,9,physical-relations,,antonym,1,"If Chao moves the truck, the airplane will move too.",Does the truck contain the airplane?,Yes
321,31,social-relations,81.0,variable swap,1,Yan submits homework to Chao.,Is Yan Chao's student?,Yes
120,20,physical-interactions,,other,2,The wheel is moving away from the nail.,Is the nail pushing the wheel?,Yes
45,2,physical-interactions,,variable swap,1,The nail and the wheel are touching. The nail is much colder than the wheel.,Is the nail cooling the wheel?,Yes
492,42,social-relations,123.0,other,2,Chao went to school with Yan.,Is Chao Yan's sibling?,Yes
768,88,agent-properties,192.0,antonym,2,Chao enjoys playing football less than playing pool.,Does Chao choose pool over football?,Yes
509,80,agent-properties,128.0,variable swap,1,Chao is less intent on getting the truck than getting the wheel.,Does Chao make less effort to get the truck than to get the wheel?,Yes
136,30,social-interactions,34.0,antonym,2,Chao is making Yan feel better.,Is Chao comforting Yan?,Yes
696,86,agent-properties,174.0,antonym,2,Chao likes Yan less than Ali.,Does Chao make less effort to interact with Yan than with Ali?,Yes
245,28,social-relations,62.0,antonym,1,Chao and Yan never spend time together.,Are Chao and Yan strangers?,Yes
313,27,physical-relations,,antonym,1,The truck is lower down compared to the bed.,Is the bed on the truck?,Yes
808,91,agent-properties,202.0,variable swap,2,Chao wants either the truck or the wheel. The truck costs less than the wheel.,Does Chao choose the truck over the wheel?,Yes
292,31,social-relations,73.0,antonym,2,Chao submits homework to Yan.,Is Chao Yan's student?,Yes
49,11,social-interactions,13.0,variable swap,1,Chao is showing Yan how to ski.,Is Yan learning from Chao?,Yes
401,101,material-dynamics,101.0,material,1,Chao sees something that is granular.,Can it disperse?,Yes
60,16,agent-properties,15.0,other,2,The sandwich is in Chao's bag.,Does Chao not taste the sandwich?,Yes
49,3,physical-interactions,,antonym,1,The wheel is moving down.,Is Chao dropping the wheel?,Yes
81,11,physical-interactions,,antonym,1,Chao is on the ground but the truck is not.,Is Chao throwing the truck?,Yes
105,29,agent-properties,27.0,other,1,Chao is taking a picture of the wheel.,Does Chao see the wheel?,Yes
496,43,social-relations,124.0,other,2,Chao is 5 years older than Yan.,Is Chao Yan's sibling?,Yes
529,44,social-relations,133.0,variable swap,1,Yan was raised by Chao.,Is Yan Chao's child?,Yes
96,24,social-properties,24.0,other,2,"Chao has a large family. Each weekend, Chao's partner decides what the family should do for fun.",Is Chao submissive?,Yes
880,97,agent-properties,220.0,variable swap,2,Chao needs to see either Ali or Yan. Ali lives closer than Yan.,Does Chao choose Ali over Yan?,Yes
297,27,physical-relations,,variable swap,1,The bed is higher up compared to the truck.,Is the truck under the bed?,Yes
197,50,material-dynamics,50.0,material,1,Chao sees something that is rigid.,Can Chao tap it?,Yes
68,18,agent-properties,17.0,antonym,2,The sandwich is in Chao's mouth. Chao just had a very spicy dish.,Does Chao not taste the sandwich?,Yes
241,23,physical-relations,,antonym,1,"If Chao picks up the cooler, the wheel will remain in its place.",Is the cooler touching the wheel?,Yes
584,46,social-relations,146.0,antonym,2,Chao makes decisions less often than Yan.,Is Yan Chao's parent?,Yes
208,19,physical-relations,,antonym,2,"If Chao moves the truck, the bed will remain in its place.",Does the bed support the truck?,Yes
12,2,quantitative-properties,,variable swap,2,There are many keychains relative to staplers.,Are there fewer staplers than keychains?,Yes
565,45,social-relations,142.0,variable swap,1,Yan obeys Chao.,Is Yan Chao's child?,Yes
116,25,social-interactions,29.0,antonym,2,Chao remarks that Yan is ugly.,Is Chao insulting Yan?,Yes
624,84,agent-properties,156.0,antonym,2,Chao is less intent on meeting Yan than meeting Ali.,Does Chao make less effort to interact with Yan than with Ali?,Yes
121,11,spatial-relations,,antonym,1,The nail is south of the wheel.,Is the wheel north of the nail?,Yes
397,34,social-relations,100.0,antonym,1,Chao collects rent from Yan.,Is Chao Yan's landlord?,Yes
29,8,social-properties,8.0,antonym,1,Chao is good at completing important tasks.,Is Chao trustworthy?,Yes
21,6,social-interactions,6.0,antonym,1,Chao will be happy if Yan succeeds.,Is Chao cooperating with Yan?,Yes
161,29,physical-interactions,,other,1,Chao's foot is touching the wheel.,Is Chao kicking the wheel?,Yes
