Type,Digits,Context,Question,Correct Answer
Arithmetic,2_digit_multiplication,'',Is 93 times 88 equal to 4450?,No
Arithmetic,1_digit_addition,'',Is 9 plus 4 equal to 78?,No
Arithmetic,2_digit_addition,'',Is 96 plus 49 equal to 330?,No
Arithmetic,2_digit_addition,'',Is 29 plus 30 equal to 89?,No
Arithmetic,1_digit_addition,'',Is 4 plus 0 equal to 6?,No
Arithmetic,2_digit_subtraction,'',Is 89 minus 15 equal to 45?,No
Arithmetic,2_digit_addition,'',Is 37 plus 36 equal to 79?,No
Arithmetic,2_digit_subtraction,'',Is 37 minus 10 equal to 17?,No
Arithmetic,2_digit_multiplication,'',Is 63 times 23 equal to 3084?,No
Arithmetic,2_digit_addition,'',Is 55 plus 15 equal to 38?,No
Arithmetic,1_digit_multiplication,'',Is 3 times 0 equal to 2?,No
Arithmetic,2_digit_multiplication,'',Is 72 times 94 equal to 1630?,No
Arithmetic,2_digit_subtraction,'',Is 62 minus 36 equal to 77?,No
Arithmetic,1_digit_multiplication,'',Is 9 times 4 equal to 55?,No
Arithmetic,2_digit_subtraction,'',Is 29 minus 14 equal to 14?,No
Arithmetic,2_digit_multiplication,'',Is 78 times 67 equal to 7221?,No
Arithmetic,2_digit_addition,'',Is 80 plus 11 equal to 80?,No
Arithmetic,1_digit_addition,'',Is 6 plus 2 equal to 1?,No
Arithmetic,1_digit_addition,'',Is 6 plus 3 equal to 4?,No
Arithmetic,1_digit_subtraction,'',Is 9 minus 9 equal to 7?,No
Arithmetic,1_digit_multiplication,'',Is 5 times 1 equal to 1?,No
Arithmetic,2_digit_addition,'',Is 99 plus 48 equal to 970?,No
Arithmetic,1_digit_multiplication,'',Is 9 times 0 equal to 2?,No
Arithmetic,1_digit_multiplication,'',Is 2 times 1 equal to 6?,No
Arithmetic,2_digit_multiplication,'',Is 14 times 67 equal to 890?,No
Arithmetic,1_digit_addition,'',Is 3 plus 4 equal to 8?,No
Arithmetic,2_digit_addition,'',Is 49 plus 98 equal to 401?,No
Arithmetic,1_digit_multiplication,'',Is 1 times 6 equal to 4?,No
Arithmetic,1_digit_multiplication,'',Is 6 times 4 equal to 33?,No
Arithmetic,1_digit_multiplication,'',Is 4 times 1 equal to 1?,No
Arithmetic,1_digit_addition,'',Is 2 plus 3 equal to 3?,No
Arithmetic,2_digit_subtraction,'',Is 83 minus 10 equal to 48?,No
Arithmetic,1_digit_addition,'',Is 9 plus 0 equal to 4?,No
Arithmetic,1_digit_subtraction,'',Is 2 minus 6 equal to -4?,Yes
Arithmetic,2_digit_subtraction,'',Is 76 minus 37 equal to 39?,Yes
Arithmetic,2_digit_multiplication,'',Is 71 times 86 equal to 6106?,Yes
Arithmetic,1_digit_addition,'',Is 3 plus 9 equal to 12?,Yes
Arithmetic,1_digit_subtraction,'',Is 4 minus 9 equal to -5?,Yes
Arithmetic,1_digit_multiplication,'',Is 7 times 9 equal to 63?,Yes
Arithmetic,1_digit_addition,'',Is 6 plus 4 equal to 10?,Yes
Arithmetic,2_digit_subtraction,'',Is 78 minus 38 equal to 40?,Yes
Arithmetic,1_digit_addition,'',Is 3 plus 3 equal to 6?,Yes
Arithmetic,2_digit_addition,'',Is 46 plus 20 equal to 66?,Yes
Arithmetic,1_digit_addition,'',Is 1 plus 8 equal to 9?,Yes
Arithmetic,1_digit_subtraction,'',Is 9 minus 8 equal to 1?,Yes
Arithmetic,1_digit_subtraction,'',Is 2 minus 4 equal to -2?,Yes
Arithmetic,2_digit_multiplication,'',Is 43 times 43 equal to 1849?,Yes
Arithmetic,2_digit_addition,'',Is 23 plus 32 equal to 55?,Yes
Arithmetic,1_digit_multiplication,'',Is 3 times 9 equal to 27?,Yes
Arithmetic,1_digit_addition,'',Is 3 plus 0 equal to 3?,Yes
Arithmetic,1_digit_multiplication,'',Is 4 times 1 equal to 4?,Yes
Arithmetic,1_digit_subtraction,'',Is 8 minus 7 equal to 1?,Yes
Arithmetic,1_digit_addition,'',Is 7 plus 2 equal to 9?,Yes
Arithmetic,1_digit_addition,'',Is 9 plus 0 equal to 9?,Yes
Arithmetic,2_digit_multiplication,'',Is 24 times 90 equal to 2160?,Yes
Arithmetic,2_digit_multiplication,'',Is 95 times 18 equal to 1710?,Yes
Arithmetic,2_digit_multiplication,'',Is 86 times 72 equal to 6192?,Yes
Arithmetic,2_digit_addition,'',Is 27 plus 74 equal to 101?,Yes
Arithmetic,2_digit_multiplication,'',Is 54 times 97 equal to 5238?,Yes
Arithmetic,1_digit_addition,'',Is 9 plus 9 equal to 18?,Yes
Arithmetic,1_digit_subtraction,'',Is 0 minus 5 equal to -5?,Yes
Arithmetic,2_digit_multiplication,'',Is 11 times 24 equal to 264?,Yes
Arithmetic,2_digit_subtraction,'',Is 73 minus 48 equal to 25?,Yes
Arithmetic,2_digit_multiplication,'',Is 52 times 53 equal to 2756?,Yes
Arithmetic,1_digit_subtraction,'',Is 9 minus 1 equal to 8?,Yes
Arithmetic,1_digit_addition,'',Is 7 plus 5 equal to 12?,Yes
Arithmetic,1_digit_multiplication,'',Is 1 times 3 equal to 3?,Yes
Arithmetic,1_digit_subtraction,'',Is 8 minus 9 equal to -1?,Yes
Arithmetic,2_digit_subtraction,'',Is 59 minus 99 equal to -40?,Yes
Arithmetic,1_digit_subtraction,'',Is 7 minus 4 equal to 3?,Yes
Arithmetic,2_digit_multiplication,'',Is 88 times 44 equal to 3872?,Yes
Arithmetic,2_digit_subtraction,'',Is 85 minus 81 equal to 4?,Yes
Arithmetic,1_digit_multiplication,'',Is 4 times 7 equal to 28?,Yes
Arithmetic,2_digit_addition,'',Is 73 plus 67 equal to 140?,Yes
Arithmetic,1_digit_addition,'',Is 7 plus 1 equal to 8?,Yes
Arithmetic,2_digit_multiplication,'',Is 32 times 95 equal to 3040?,Yes
Arithmetic,2_digit_multiplication,'',Is 30 times 99 equal to 2970?,Yes
Arithmetic,1_digit_addition,'',Is 4 plus 8 equal to 12?,Yes
Arithmetic,1_digit_subtraction,'',Is 9 minus 9 equal to 0?,Yes
Arithmetic,2_digit_subtraction,'',Is 71 minus 81 equal to -10?,Yes
Arithmetic,1_digit_subtraction,'',Is 0 minus 2 equal to -2?,Yes
Arithmetic,1_digit_addition,'',Is 1 plus 0 equal to 1?,Yes
Arithmetic,2_digit_subtraction,'',Is 36 minus 70 equal to -34?,Yes
Arithmetic,1_digit_multiplication,'',Is 9 times 6 equal to 54?,Yes
Arithmetic,1_digit_multiplication,'',Is 3 times 4 equal to 12?,Yes
Arithmetic,1_digit_subtraction,'',Is 1 minus 2 equal to -1?,Yes
Arithmetic,2_digit_multiplication,'',Is 66 times 86 equal to 5676?,Yes
Arithmetic,2_digit_multiplication,'',Is 10 times 37 equal to 370?,Yes
Arithmetic,2_digit_addition,'',Is 42 plus 47 equal to 89?,Yes
Arithmetic,1_digit_multiplication,'',Is 5 times 4 equal to 20?,Yes
Arithmetic,1_digit_subtraction,'',Is 9 minus 0 equal to 9?,Yes
Arithmetic,1_digit_subtraction,'',Is 5 minus 0 equal to 5?,Yes
Arithmetic,1_digit_subtraction,'',Is 5 minus 3 equal to 2?,Yes
Arithmetic,1_digit_addition,'',Is 5 plus 3 equal to 8?,Yes
Arithmetic,1_digit_subtraction,'',Is 0 minus 4 equal to -4?,Yes
Arithmetic,2_digit_addition,'',Is 55 plus 32 equal to 87?,Yes
Arithmetic,2_digit_multiplication,'',Is 55 times 15 equal to 825?,Yes
Arithmetic,2_digit_multiplication,'',Is 34 times 37 equal to 1258?,Yes
Arithmetic,1_digit_addition,'',Is 7 plus 3 equal to 10?,Yes
Arithmetic,2_digit_multiplication,'',Is 48 times 64 equal to 3072?,Yes
Arithmetic,2_digit_multiplication,'',Is 91 times 84 equal to 7644?,Yes
Arithmetic,1_digit_addition,'',Is 6 plus 7 equal to 13?,Yes
Arithmetic,2_digit_addition,'',Is 91 plus 43 equal to 134?,Yes
Arithmetic,2_digit_addition,'',Is 31 plus 88 equal to 119?,Yes
Arithmetic,1_digit_addition,'',Is 1 plus 2 equal to 3?,Yes
Arithmetic,2_digit_subtraction,'',Is 23 minus 99 equal to -76?,Yes
Arithmetic,2_digit_addition,'',Is 82 plus 17 equal to 99?,Yes
Arithmetic,2_digit_subtraction,'',Is 57 minus 84 equal to -27?,Yes
Arithmetic,2_digit_multiplication,'',Is 36 times 43 equal to 1548?,Yes
Arithmetic,2_digit_addition,'',Is 84 plus 83 equal to 167?,Yes
Arithmetic,1_digit_multiplication,'',Is 6 times 6 equal to 36?,Yes
Arithmetic,2_digit_multiplication,'',Is 22 times 47 equal to 1034?,Yes
Arithmetic,2_digit_subtraction,'',Is 73 minus 24 equal to 49?,Yes
Arithmetic,1_digit_multiplication,'',Is 0 times 3 equal to 0?,Yes
Arithmetic,2_digit_subtraction,'',Is 35 minus 13 equal to 22?,Yes
Arithmetic,2_digit_multiplication,'',Is 67 times 88 equal to 5896?,Yes
Arithmetic,2_digit_addition,'',Is 79 plus 42 equal to 121?,Yes
Arithmetic,1_digit_addition,'',Is 0 plus 4 equal to 4?,Yes
Arithmetic,1_digit_addition,'',Is 8 plus 9 equal to 17?,Yes
Arithmetic,1_digit_subtraction,'',Is 4 minus 6 equal to -2?,Yes
Arithmetic,1_digit_multiplication,'',Is 4 times 2 equal to 8?,Yes
Arithmetic,2_digit_addition,'',Is 37 plus 35 equal to 72?,Yes
Arithmetic,1_digit_multiplication,'',Is 9 times 2 equal to 18?,Yes
Arithmetic,1_digit_multiplication,'',Is 1 times 8 equal to 8?,Yes
Arithmetic,2_digit_multiplication,'',Is 76 times 18 equal to 1368?,Yes
Arithmetic,1_digit_addition,'',Is 1 plus 1 equal to 2?,Yes
Arithmetic,2_digit_addition,'',Is 40 plus 54 equal to 94?,Yes
Arithmetic,1_digit_multiplication,'',Is 2 times 5 equal to 10?,Yes
Arithmetic,1_digit_multiplication,'',Is 4 times 5 equal to 20?,Yes
Arithmetic,1_digit_multiplication,'',Is 7 times 7 equal to 49?,Yes
Arithmetic,1_digit_addition,'',Is 5 plus 2 equal to 7?,Yes
Arithmetic,2_digit_subtraction,'',Is 34 minus 28 equal to 6?,Yes
Arithmetic,1_digit_addition,'',Is 3 plus 6 equal to 9?,Yes
