question,A,B,C,D,answer
Which of the following is an important outcome of the 'energy security nexus'?,(A) Attempts to exert control over energy reserves in the South have consequences for the sustainability of cooperation between core powers; the emergence of geopolitical rivalries over this form of control has implications for international security.,(B) All of these options.,"(C) United by common insecurities concerning the production and supply of energy resources, international actors are forced into negotiation and cooperation between states increases.","(D) By virtue of their energy resources to which the global 'North' desires access, states in the 'South' gain power in the international arena and have redressed the global North-South divide and associated inequalities.",A
Bartering as a form of payment for psychological services is,(A) allowable only if it is not clinically contraindicated and the relationship is not exploitative,(B) not allowable under any circumstance,(C) allowable only if the dollar value of the psychological service and of the payment service or goods are established in advance,(D) allowable only if the psychologist feels char a client would be denied services if barbering were not allowed,A
“Time-out” procedures in manipulating behaviors are based on the conditioning concept of,(A) oval of a positive reinforcer,(B) differential reinforcement,(C) negative reinforcement,(D) stimulus generalization,A
"The four ideal types of social action that Weber identified were as follows: instrumentally-rational, value-rational, traditional, and...",(A) affectual,(B) affective,(C) effective,(D) infected,A
The reserve ratio is .10 and Mommy Morebucks withdraws $1 million from her checking account and keeps it as cash in her refrigerator. How does this withdrawal potentially impact money in circulation?,(A) Decreases it by $9 million,(B) Decreases it by $1 million,(C) Decreases it by $100000,(D) Increases it by $1 million,A
Dr. Mansfield Mayhem receives a subpoena requiring him to testify about a current therapy client at a trial. Dr. Mayhem contacts the client who states that she does not want him to release any confidential information to the court. Dr. Mayhem should:,(A) notify the attorney who issued the subpoena that the client has asserted the privilege and request that he be released from subpoena.,(B) do nothing further until he receives an order from the court to appear at the trial.,(C) notify the court that he will not be appearing at the trial because the client does not want him to do so.,(D) advise the attorney who issued the subpoena that he cannot appear as requested because the client has not given him permission to do so.,A
The majority of workers in periphery countries are probably employed in which type of activities?,(A) Primary,(B) Secondary,(C) Tertiary,(D) Quaternary,A
Which of the following capital cities is located OUTSIDE the central core area of the country?,"(A) Abuja, Nigeria","(B) Paris, France","(C) London, United Kingdom","(D) Cairo, Egypt",A
The 80% rule is used to determine if:,(A) a selection procedure is having an adverse impact.,(B) a selection procedure is cost effective.,(C) a performance appraisal measure has adequate relevance.,(D) a performance appraisal measure has adequate utility.,A
Harlow's monkey experiment illustrated,(A) the importance of physical contact to development.,(B) that language is a uniquely human skill.,(C) that primates can make and use tools.,(D) the danger of separating babies from their natural parents.,A
"According to W. E. B. Dubois, progress for African Americans in the aftermath of slavery",(A) depended on the small group of African Americans receiving the same thorough and extensive education as the most talented White Americans were able to access,"(B) involved their use of skills they already had from farming, domestic work, and labors of rural life rather than being forced to learn new skills in the late 1800s",(C) required that they be trained and prepared as craftspeople and service employees so they could become immediately self-sufficient,"(D) required them to move to large cities where they would be accepted as equals in government, religion, and education",A
The 'new racism' refers to:,"(A) a subtler form of prejudice, masked by nationalist pride",(B) a post-modern deconstruction of racist ideas to reveal their lack of depth,"(C) racist practices found in newly emerging areas of social life, such as cyberspace",(D) an anti-fascist movement which challenges nationalist politics,A
The most common cause of cerebral palsy is,(A) trauma at the time of birth,(B) dural hemorrhages,(C) measles with accompanying fever,(D) a genetic (autosomal) trait,A
A white noise process will have(i) A zero mean(ii) A constant variance(iii) Autocovariances that are constant(iv) Autocovariances that are zero except at lag zero,(A) (ii) and (iv) only,(B) (i) and (iii) only,"(C) (i), (ii), and (iii) only","(D) (i), (ii), (iii), and (iv)",A
Output in country A is 1200 units and its population is 100 persons. Output in country B is 2400 units and its population is 400 persons.,(A) Country A has a higher standard of living than country B.,(B) Country A has a lower standard of living than country B.,(C) Country A and B have identical living standards.,(D) Country A is less productive than country B.,A
Fechner’s Jaw assumes that “just noticeable differences” are,(A) psychologically equal intervals,(B) numerically equal intervals,(C) progressively smaller in magnitude,(D) erratic and cannot be reliably measured,A
Which of the following is not a 'research purpose'?,(A) triangulation,(B) explanation,(C) description,(D) exploration,A
Which of the following is true?,(A) Marginal Social Costs = Private Marginal Costs + Negative Externality.,(B) Marginal Social Costs = Private Marginal Costs + Subsidy.,(C) Marginal Social Benefits = Private Marginal Benefits + Tax.,(D) Tax = Positive Externality.,A
Which of the following statements is true within the postcolonial approach?,(A) The international system is shaped through colonised discourse that establishes notions of certain states as inferior to others.,(B) European practices of free trade and democracy are best suited to creating a peaceful and stable international system.,"(C) With the end of the Second World War and gradual dissolution of the British Empire, much of postcolonialism is redundant.",(D) Colonial power exists only through the military actions of occupying states.,A
Psychographics refers to,"(A) individual values, lifestyles and characteristics","(B) individual sex, age, race and income statistics",(C) potential influence,(D) all of the above,A
The refractory period occurs in males during the ______ stage.,(A) resolution,(B) orgasm,(C) plateau,(D) excitement,A
"Frustration always leads to aggression/aggression always predicated by frustration. What does the CATHARSIS THEORY states in this issue, but is unsupported by research?",(A) aggressive act reduces inclination to engages in other aggressive acts,(B) high temperature leads to more aggression,(C) feelings of anonymity lead to more uncharacteristic violence,(D) The assigned roles effect aggressive behavior,A
Consider the following equation and determine the class of model that it best represents$y_{it} = \alpha + \beta_{it} + \mu_i + \nu_{it}$,(A) An entity fixed effects model,(B) A time fixed effects model,(C) A random effects model,(D) A pure time series model,A
Which of the following is not a characteristic of oligopoly?,(A) P = MC.,(B) Price-maker.,(C) Strong barriers to entry.,(D) Few firms.,A
"Ryan suffers from nearly constant, low-level arousal of his autonomic nervous system. Ryan is most likely to be classified as suffering from",(A) GAD.,(B) major depressive disorder.,(C) hypochondriasis.,(D) obsessive-compulsive personality disorder.,A
Which of the following are advantages of the VAR approach to modelling the relationship between variables relative to the estimation of full structural models?i) VARs receive strong motivation from financial and economic theoryii) VARs in their reduced forms can be used easily to produce time-series forecastsiii) VAR models are typically highly parsimoniousiv) OLS can be applied separately to each equation in a reduced form VAR,(A) (ii) and (iv) only,(B) (i) and (iii) only,"(C) (i), (ii), and (iii) only","(D) (i), (ii), (iii), and (iv)",A
The denominator term in the F-ratio is reduced in magnitude by:,(A) decreasing within-group variability.,(B) increasing within-group variability.,(C) increasing between-group variability and decreasing within-group variability.,(D) decreasing between-group variability and increasing within-group variability,A
A meta-analysis of the research by Baltes and his colleagues (1999) indicates that instituting flexitime in an organization is likely to have the greatest beneficial effects on which of the following?,(A) absenteeism,(B) self-rated performance,(C) satisfaction with work schedule,(D) productivity,A
"In classical conditioning, experimental extinction will occur when the",(A) conditioned stimulus is repeatedly not followed by the unconditioned stimulus,(B) unconditioned stimulus is repeatedly not followed by the conditioned stimulus,(C) conditioned stimulus is repeatedly followed by the unconditioned response,(D) unconditioned stimulus is repeatedly followed by the conditioned response,A
"When a highly cohesive group under directive leadership reaches a decision before completely assessing available information or considering alternative solutions, the group may be exhibiting the influence of",(A) group think,(B) group polarization,(C) social loafing,(D) risky shift,A
Which of the following goods is likely to have the most elastic demand curve?,(A) Demand for white Ford minivans,(B) Demand for automobiles,(C) Demand for Ford automobiles,(D) Demand for American-made automobiles,A
"Research has shown that people who read a job description written only with male pronouns (e.g., he, his) are more likely to think of an employee as male than people who read a description that uses gender-neutral language (e.g., he or she). This finding is most closely linked to",(A) the linguistic relativity hypothesis.,(B) gender schema theory.,(C) the social role hypothesis.,(D) modeling.,A
"Considered as a single group, the Small Business Administration, the Small Business committees in the House and Senate, and small business advocacy groups are an example of",(A) an iron triangle,(B) a conference committee,(C) a regulatory agency,(D) dual federalism,A
Amnesic Disorders describe conditions where there is memory impairment with no other significant cognitive impairments. Which of the following statements is incorrect in relation to Amnesic Disorders?,(A) These disorders cause a loss of recall of learned information = anterograde amnesia.,(B) Someone with condition confabulates to fill in gaps in the memory.,(C) These disorders can be caused by any pathological process that affects brain areas associated with memory.,(D) Amnesic disorders can be associated with hypnotics and sedatives,A
"A father brings his 22-year-old son to you for evaluation. Within the past 6 weeks, this formerly socially active young man has quit his job as a restaurant manager, has become withdrawn, and now spends most of his time in his room watching TV. He reports that he occasionally receives messages from aliens through the TV. Based on this information, which of the following is the most appropriate DSM-IV diagnosis",(A) Schizophreniform Disorder,(B) Brief Reactive Psychosis,(C) Schizophrenia,(D) Antisocial Personality Disorder,A
To what extent can societal identity be defended militarily?,"(A) If a threat posed by one group to another is military - particularly when linked to the defence of the historic homeland - armed response is required. At the intra-state level, many societal groups have no such means of armed protection and are compelled to employ non-military counter-measures.",(B) Intra-state collectives faced with a political or military threat to their identity will form their own militia or defensive force as a means of protection. This results in the establishment of quasi-states which may undermine the territorial integrity of the nation.,"(C) Being aligned with the state, society has immediate and unequivocal access to the use of state forces (in the form of military retaliation) if there is a threat to societal security.","(D) Societal groups do not face military threats; being constituted by identity and social cohesion, military forces are not engaged against societal groups in any meaningful way.",A
Stagflation is the result of,(A) a leftward shift in the aggregate supply curve.,(B) a leftward shift in the aggregate demand curve.,(C) a leftward shift in both the aggregate supply and aggregate demand curves.,(D) a rightward shift in the aggregate supply curve.,A
Which method of abortion is most costly and carries the greatest risk of complications?,(A) hysterotomy,(B) saline-induced abortion,(C) prostaglandin abortion,(D) dilation and curettage,A
The 'correspondence principle' (Bowles & Gintis) suggests that:,(A) schools prepare children for work by teaching them to be obedient,(B) teachers and parents tend to have similar attitudes to learning,(C) children who write lots of letters develop a better grasp of language,(D) boys' and girls' educational achievements have recently become similar,A
Which neurotransmitter is most closely associated with both Parkinson's disease and schizophrenia?,(A) acetylcholine,(B) dopamine,(C) serotonin,(D) endorphins,B
"According to Hakim (1995, 1996), the majority of part-time work is done by women because:",(A) part-time jobs pay relatively high wages and so are financially beneficial,(B) they make a rational choice to combine employment with their 'home-centred' lives,"(C) their choices are constrained by structural factors, such as being unable to afford childcare",(D) full time work is not available in the kinds of occupations that they want to enter,B
Which of the following is LEAST self-sufficient in the natural resources needed for modern industry?,(A) United States,(B) Japan,(C) France,(D) United Kingdom,B
Can environmental changes be reconciled with national security interests?,"(A) Environmental challenges to economic growth, such as natural resource management and employment, leads to diversification and research which may in the long-term result in technological advancements that bolster military programs.","(B) Environmental changes can undermine national security in many ways; including weakening the economic base that determines military capacity. So if the natural capital base of an economy erodes than so does the long-term capacity of its armed forces. Any developments however, will be 'human' in impact.",(C) The environmental problems encountered by countries are principally internal. External threats remain within a country's control: external military threats will remain unchanged and a primary concern.,(D) All of these options.,B
"Weak states face a number of security threats, which of the following threats is the odd one out?",(A) Warlordism and the assertion of the interests and influences of criminal gangs.,(B) A sudden influx of refugees fleeing conflict from neighbouring states.,"(C) Coup d'état, military rebellion or mutiny; the violent intervention in politics by the state's own military forces, overthrowing and replacing the ruling elite.",(D) Competition for authoritative power or coercion from strongmen.,B
"The belief that a child's misbehavior has one of four goals — i.e., attention, revenge, power, or to display inadequacy — is most consistent with:",(A) Beck’s cognitive-behavioral therapy.,(B) Adler’s individual psychology,(C) Perls’s Gestalt therapy.,(D) Mahler’s object relations theory.,B
Which of the following is not correct about economies of scale?,(A) Economies of scale are associated with increases in production of output.,(B) Economies of scale are associated with the rising or increasing portion of an average total cost (ATC) curve.,(C) Economies of scale are associated with the declining or decreasing portions of the ATC curve.,(D) Economies of scale result in decreases in per unit average cost.,B
Magical thinking would predispose a child of what age range to infer chat his or her father died because of the child’s own misbehavior,(A) 12 years,(B) 3-6 years,(C) 7-12 years,(D) 13-18 years,B
Which of the following item difficulty (p) levels maximizes the differentiation of examinees into high- and low-performing groups:,(A) 0,(B) 0.5,(C) 0.9,(D) 1.5,B
The sales tax that you pay at the grocery store is commonly labeled a,(A) progressive tax.,(B) regressive tax.,(C) proportional tax.,(D) excise tax.,B
"Suppose that aluminum is a key production input in the production of bicycles. If the price of aluminum falls, and all other variables are held constant, we expect",(A) the demand for aluminum to rise.,(B) the supply of bicycles to rise.,(C) the supply of bicycles to fall.,(D) the demand for bicycles to rise.,B
"Historically, what has been the general pattern of defense spending in the United States?",(A) Steady increases over time.,"(B) Increased spending during wars, with demobilization bringing spending down but not back to prewar levels",(C) Unpredictable fluctuations.,"(D) Increased spending during wars, with further increases after the war to prepare for future engagements.",B
"Which outcome, from the evaluation phase of public relations planning, documents the impact a program had on its stakeholders?",(A) the quality of the messages and activities,(B) the number who change attitudes and opinions,(C) the number who responded to communications,(D) the number of messages and activities implemented,B
When a bank's balance sheet shows that the bank has excess reserves,(A) the bank’s reserves exceed the bank’s assets,(B) the bank can make additional loans,(C) the bank’s actual reserves are less than its required reserves,(D) the bank is required to change its interest rate,B
"A child is using a spoon in much the same way that the child had used a rattle in the past. In Piaget's theoretical framework, this is an example of",(A) accommodation,(B) assimilation,(C) response fixity,(D) a fixed action pattern,B
A special diet can prevent the expression of the trait for,(A) Tay-Sachs syndrome,(B) PKU (phenylketonuria),(C) Huntington's disease,(D) Down syndrome,B
A member of the House of Representatives wishing to influence tax policy would most likely try to serve on which of the following committees?,(A) Commerce,(B) Ways and Means,(C) Education and the Workforce,(D) Resources,B
If $1000 is deposited into a checking account and excess reserves increase by $700 the reserve ratio must be:,(A) 70%.,(B) 30%.,(C) 40%.,(D) 90%.,B
Hypnosis is best described as a response to suggestion involving:,(A) a measurable physiological change.,"(B) an alteration in memory, mood, and perception.",(C) increased compliance to situational demands.,(D) a state of “artificial sleep.”,B
The human relations approach emphasized the importance of:,(A) scrutinizing employees as they interacted with customers,"(B) teamwork, communication and employee satisfaction",(C) strict control and discipline to ensure high productivity,(D) providing therapy and counselling in the workplace,B
Knowledge of different categories of trees and where they grow best is an example of what kind of long-term memory?,(A) episodic memory,(B) semantic memory,(C) procedural memory,(D) eidetic memory,B
Knowledge of different categories of trees and where they grow best is an example of what kind of long-term memory?,(A) episodic memory,(B) semantic memory,(C) procedural memory,(D) eidetic memory,B
"Alice A., who has a master's degree in clinical psychology but is not licensed, is hired by a community mental health clinic to, among other things, administer several standard psychological tests to adult clients. According to ethical guidelines, this is:",(A) acceptable as long as a professional clinical psychologist co-signs Alice’s evaluations.,(B) acceptable as long as a professional clinical psychologist supervises Alice’s activities.,(C) unacceptable since Alice is not a licensed psychologist.,(D) unacceptable since Alice does not have a doctoral degree.,B
Growing tension between the United States and the Soviet Union resulted in a policy that John Foster Dulles referred to as,"(A) ""mutual assured destruction.""","(B) ""brinkmanship.""","(C) ""realism.""","(D) ""not in my backyard.""",B
What are the four tenets of analytical psychotherapy according to Jung?,"(A) Self-regulating psyche, the unconscious, family, therapist–patient relationship","(B) Self-regulating psyche, the unconscious, therapist–patient relationship, stages of self-improvement","(C) Id, ego, superego, libido","(D) Archetypes, unconscious, self-esteem, social needs",B
A psychologist is subpoenaed to testify at a deposition about a current therapy client. This means that the psychologist:,(A) must testify about the client as requested.,(B) must appear at the deposition as requested.,(C) must provide the requested documents.,(D) can expect to receive a court order within 60 days.,B
Any substance that can have a negative impact on fetal development is ___________.,(A) An Apgar,(B) A teratogen,(C) Only a problem in the first 6 weeks,(D) A controlled substance,B
What did the Moscow Treaty on Strategic Offensive Reductions do?,(A) Required the United States and Russia to demobilize their armies,(B) Required the United States and Russia to dismantle a significant number of their nuclear weapons,(C) Prohibited the acquisition of new military bases,(D) Prohibited short-range nuclear weapons,B
You are conducting a multiple regression analysis and find that one of your predictors has a negative regression coefficient. This means that:,(A) you should eliminate that predictor from the regression equation.,(B) the predictor has an inverse relationship with the criterion.,(C) the predictor is uncorrelated with the other predictors included in the analysis.,(D) you have made a mistake in your data entry or calculations.,B
"As the single-person public relations staff of a public transit agency, you are tasked with increasing the number of people who ride your buses each month. Your target audiences are lower-income individuals, college students, people with basic educations and people for whom English is a Second Language. When preparing to craft a primary message, what should you do first?",(A) Consider the comprehension level of all of the target audiences.,(B) Consider how riding the bus could similarly affect all of the target audiences.,(C) Consider which mediums would most effectively reach all of the target audiences.,(D) Consider the geographic locations where all of the target audiences live and work.,B
The Supreme Court has used the Fourteenth Amendment to apply portions of the Bill of Rights to state law by citing the amendment's,(A) prohibition on unreasonable search and seizures,(B) due process clause,(C) guarantee of privacy rights,(D) abolition of slavery,B
Which of the following are advantages of the use of panel data over pure cross-sectional or pure time-series modelling?(i) The use of panel data can increase the number of degrees of freedom and therefore the power of tests(ii) The use of panel data allows the average value of the dependent variable to vary either cross-sectionally or over time or both(iii) The use of panel data enables the researcher allows the estimated relationship between the independent and dependent variables to vary either cross-sectionally or over time or both,(A) (i) only,(B) (i) and (ii) only,(C) (ii) only,"(D) (i), (ii), and (iii)",B
"When a good is taxed, the tax burden falls mainly on the consumer if",(A) the demand is inelastic and the supply is inelastic,(B) the demand is inelastic and the supply is elastic,(C) the demand is elastic and the supply is inelastic,(D) the demand is elastic and the supply is elastic,B
A 15-year-old consistency engaging in unprotected sexual intercourse and denying the possibility of pregnancy and/or contracting sexually transmitted diseases is an example of,(A) formal operational thought,(B) adolescent egocentrism,(C) early sociocentrism,(D) identity foreclosure,B
"When Antoinette comes home to her apartment, people suddenly jump out towards her. Her heart begins to race and she shrieks. Once she recognizes that it is her friends throwing a surprise party, rather than ninjas, her heart continues to race, but she experiences happiness. Which theory of emotions best explains this fact?",(A) Cannon-Bard,(B) Schachter-Singer,(C) James-Lange,(D) Erikson-Balint,B
The Supreme Court's decision in Miranda v. Arizona was based mainly on the,(A) Constitutional prohibition of ex post facto laws,(B) incorporation of the Fifth Amendment through the due process clause of the Fourteenth Amendment,(C) Eighth Amendment restriction against cruel and unusual punishment,(D) abolition of slavery by the Thirteenth Amendment,B
Selye (1956) proposed that which of the following endocrine glands mediate the general adaptation syndrome?,(A) thyroid and thymus,(B) adrenal and pituitary,(C) thyroid and parathyroid,(D) pancreas and pineal,B
What type of psychologist would assert that a key motivation for people is the desire to spread their genetic material?,(A) cognitive,(B) evolutionary,(C) humanistic,(D) psychodynamic,B
"According to the Law of Effect, behaviors followed by negative consequences",(A) occur more frequently,(B) occur less frequently,(C) will never be performed again,(D) will be performed more forcefully,B
Menarche occurs at about age,(A) 12 in males only,(B) 12 in females only,(C) 12 in both sexes,(D) 12 in females and 14 in males,B
"Dr. Pavel Petrovich, a licensed psychologist, has been seeing a client in therapy for over fourteen months with no apparent change in the client's symptoms. Dr. Petrovich should:",(A) advise the client that he is ethically obligated to terminate therapy.,(B) raise for discussion the possibility of termination and referral to another therapist.,(C) search the literature for discussions of similar cases that have been treated and reported by others.,(D) continue seeing the client since fourteen months is not an unusually long time for therapy to continue without a significant change in symptoms.,B
"Which of the following statements are true concerning the standardised residuals (residuals divided by their respective conditional standard deviations) from an estimated GARCH model?i) They are assumed to be normally distributedii) Their squares will be related to their lagged squared values if the GARCH model isappropriateiii) In practice, they are likely to have fat tailsiv) If the GARCH model is adequate, the standardised residuals and the raw residualswill be identical",(A) (ii) and (iv) only,(B) (i) and (iii) only,"(C) (i), (ii), and (iii) only","(D) (i), (ii), (iii), and (iv)",B
Why do contemporary European liberal democrats tend to object to the influence of exceptionalism on American foreign policy?,(A) They see it as a challenge to European global influence,(B) They see it as an ideological façade for US imperialism,(C) They see it as a temporary phenomenon,(D) None of the above,B
"Ankara, Turkey and Islamabad, Pakistan are both examples of",(A) desert cities.,(B) forward-thrust capitals.,(C) old colonial capitals.,(D) rival cities.,B
If the CPI goes to 150 from 120 then prices have,(A) risen 20 percent.,(B) risen 25 percent.,(C) fallen 30 percent.,(D) risen 30 percent.,B
Which of the following best explains why babies have poor vision for the first few weeks of life?,(A) The nodes of Ranvier have not yet formed.,(B) The neural connections to the primary visual cortex are not fully connected.,"(C) The axons are covered in tight coats of lipids, which impede neural firing.",(D) The synaptic cleft of the neuron is filled with an aqueous humor.,B
"The greater (higher) the wage elasticity of demand, the",(A) greater the proportion of capital costs to labor costs in the production of goods.,(B) greater the price elasticity for the product produced by labor.,(C) the smaller the number of substitutes for labor.,(D) the smaller the time period.,B
"Dr. Sam Solo is the only psychologist in a small town, and his son is enrolled in the town's only elementary school. Dr. Solo receives a call from his son's teacher who says she would like to begin therapy with him. As an ethical psychologist, Dr. Solo should:",(A) tell the teacher that he is ethically prohibited from seeing her because to do so would constitute a multiple (dual) relationship.,"(B) begin therapy with her and discuss the potential for conflicts during the initial session and, if necessary, in subsequent sessions.",(C) begin therapy with her but seek consultation if any problems arise.,(D) begin therapy with her but take special precautions to ensure that client confidentiality is maintained.,B
__________ occurs when the fertilized egg implants somewhere other than the uterus.,(A) Pseudocystitis,(B) Ectopic pregnancy,(C) Pre-eclamptic pregnancy,(D) Eclamptic pregnancy,B
"According to cognitive theorist Jean Piaget, children in which of the following stages of cognitive development are egocentric, or unable to understand another person's perspective?",(A) Sensorimotor,(B) Preoperational,(C) Concrete operational,(D) Formal operational,B
Which of the following could result in autocorrelated residuals?i) Slowness of response of the dependent variable to changes in the values of the independent variablesii) Over-reactions of the dependent variable to changes in the independent variablesiii) Omission of relevant explanatory variables that are autocorrelatediv) Outliers in the data,(A) (ii) and (iv) only,(B) (i) and (iii) only,"(C) (i), (ii), and (iii) only","(D) (i), (ii), (iii), and (iv)",C
Statistical regression is a potential threat to a study’s internal validity when:,(A) there is a statistically different number of participants in the study’s treatment groups.,(B) there is a statistically significant difference in the number of participants who drop out of the different treatment groups during the course of the study.,(C) participants are selected for inclusion in the study because of their extremely high or low scores on the pretest.,(D) the researcher is unable to randomly assign participants to the different treatment groups.,C
"The position on the basilar membrane at which waves reach their peak depends on the frequency of a tone, according to which theory?",(A) opponent-process,(B) trichromatic,(C) place,(D) volley,C
Which of the following events INITIATES puberty?,(A) pituitary gland releases FSH,(B) pituitary gland releases growth hormone,(C) hypothalamus releases GNRS,(D) hypothalamus releases LH,C
Which is true of monopolistic competition?,(A) Firms earn long-run economic profits.,(B) P = MR = MC = ATC.,(C) Firms spend money to differentiate and advertise their products.,(D) In the long run the market is allocatively efficient.,C
Which of these statements is not applicable to the development of peace studies in the twentieth century?,"(A) Within peace studies, one of the later developments was a major interest in conflict prevention, conflict resolution, and peacekeeping.","(B) At the height of the Cold War, peace studies was frequently labelled 'appeasement studies' and was bitterly opposed by critics.","(C) By the 1970s, prominent peace researchers were calling for a broadening in the remit of the field but were largely unsuccessful in their attempts.",(D) Peace studies sought to provide a more global and non-state centric view of major issues of conflict.,C
Which of the following would be most useful in understanding a neighbor's interpretation of a certain family's recent crisis as being due to extreme financial distress?,(A) Reinforcement theory,(B) Classical behaviorism,(C) Attribution theory,(D) Hierarchy of needs,C
Which of the following statements about voting populations is most accurate?,(A) Individuals are less likely to vote in a closely contested race.,(B) Voters are more likely to vote at age 18 than they are at age 65.,(C) An individual with a graduate degree is more likely to vote than an individual who has only a high school diploma.,(D) Affluent individuals are less likely to vote than impoverished individuals.,C
You hear that the United States has a negative balance in the current account. With this information we conclude that,(A) there is a trade deficit.,(B) there is a capital account deficit.,(C) there is a capital account surplus.,(D) more U.S. dollars are being sent abroad than foreign currencies are being sent to the United States.,C
Three types of prevention have been identified in community mental health. Secondary prevention attempts to,(A) deal with problems before they occur,(B) prevent relapses of problems,(C) reduce the severity of problems,(D) prevent community disintegration,C
Family therapy is probably contraindicated in which of the following situations?,(A) The presenting problem involves long-term marital conflict.,(B) Family members attribute their problems to one of the members.,(C) One of the family members has severe depression.,(D) One of the family members has anorexia or bulimia.,C
Which of the following is a fundamental aspect of the free market system?,(A) A high degree of government involvement.,(B) Public ownership of resources.,(C) Private property.,(D) Central planners set wages and prices.,C
"A psychologist decides to use a computerized test service to facilitate scoring and interpretation of the MMPI-2, which he frequently administers to his clients. The psychologist should be aware that:",(A) the use of computerized interpretations is prohibited by ethical guidelines.,(B) computerized scoring and interpretation services are notoriously unreliable.,(C) computerized interpretations should always be supplemented with other information obtained by the psychologist.,"(D) because of their objectivity, computerized interpretations are preferable to subjective interpretations.",C
If real GDP per capita was $10000 in 1990 and $15000 in 2000 then the amount of economic growth is,(A) 0.5 percent.,(B) 5.0 percent.,(C) 50 percent.,(D) 3.3 percent.,C
Which of the following is not a scarce economic resource?,(A) Labor,(B) Capital,(C) Human wants,(D) Land,C
"There are specific research designs and strategies used to gain the desired information. From your knowledge about the research designs and strategies, how does the CORRELATIONAL RESEARCH work?",(A) investigators randomly assigns subjects to different groups and they receive different levels of a manipulated variable,(B) involves the use of intact groups,(C) does not have any internal validity; can’t infer causal relationship,(D) assessing variables as a function of time,C
Suppose transfer payments are greater than Social Security contributions corporate taxes and retained earnings combined. In that case,(A) NDP will be greater than GDP.,(B) NI will be greater than GDP.,(C) PI will be greater than NI.,(D) DPI will be greater than PI.,C
"You have been hired to assist with a research project on process variables in group psychotherapy. The psychologist who is the principal investigator tells you to discourage participants from leaving the group prior to the end of the study because, if too many participants drop out, the study's potential usefulness will be seriously compromised. As an ethical psychologist, you should:",(A) refuse to assist with the research project.,(B) immediately file a complaint against the psychologist with the psychology licensing board or ethics committee.,"(C) write a letter to the psychologist, indicating the relevant ethical standards and offering to discuss the matter with him.","(D) ""follow the psychologist''s instructions since, by """"discouraging"""" participants from leaving the group, you are not actually coercing them to participate.""",C
Which of the following is a personal document with closed access?,(A) government 'white paper',(B) confidential medical records,(C) household account book,(D) the shares register of a business,C
Which of the following values is least characteristic of Asians and Asian Americans?,(A) shame,(B) self-control,(C) egalitarianism,(D) fatalism,C
One drawback of using fiscal policy to close a recessionary gap is that,(A) unemployment will rise.,(B) taxes will have to be raised.,(C) the equilibrium price level will rise.,(D) government spending on important programs will have to be cut.,C
What will happen to the equilibrium price and the equilibrium quantity of good Z when the price of good X which is a close substitute for Z rises?,(A) The equilibrium price will rise and the equilibrium quantity will fall.,(B) The equilibrium price will fall and the equilibrium quantity will rise.,(C) The equilibrium price and the equilibrium quantity will both rise.,(D) The equilibrium price and the equilibrium quantity will both fall.,C
What family do most European languages belong to?,(A) Ural-Altaic,(B) Basque,(C) Indo-European,(D) Phoenician,C
