Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer
315,31,social-relations,79.0,antonym,2,Chao submits homework to Yan.,Is Yan Chao's student?,No
38,10,social-relations,10.0,antonym,1,Chao wants to work together with Yan.,Are Chao and Yan enemies?,No
7,2,social-interactions,2.0,antonym,2,Chao is obstructing Yan.,Is Chao helping Yan?,No
334,32,social-relations,84.0,variable swap,1,Yan's parents spoke with Chao.,Is Chao Yan's student?,No
115,13,social-relations,29.0,antonym,2,Chao receives salary from Yan.,Is Chao Yan's boss?,No
178,17,physical-relations,,antonym,1,The truck rests against the bed.,Is the truck attached to the bed?,No
102,9,physical-relations,,antonym,1,"If Chao moves the truck, the airplane will move too.",Does the airplane contain the truck?,No
51,8,spatial-relations,,variable swap,2,The nail and the wheel are on the same surface. Then the nail is moved higher.,Is the wheel above the nail?,No
346,32,social-relations,87.0,variable swap,1,Yan's parents spoke with Chao.,Is Yan Chao's teacher?,No
182,34,physical-interactions,,antonym,1,The speed of the wheel changes.,Is Chao touching the wheel?,No
134,30,social-interactions,34.0,antonym,1,Chao is making Yan feel worse.,Is Chao comforting Yan?,No
3,1,social-properties,1.0,antonym,2,Chao treats people coldly.,Is Chao friendly?,No
155,19,spatial-relations,,antonym,2,The shop is west of Chao. Chao turns around.,Is the shop east of Chao?,No
842,94,agent-properties,211.0,variable swap,2,Chao likes Ali more than Yan.,Does Chao choose Yan over Ali?,No
78,20,social-properties,20.0,other,1,Chao spent the whole conversation talking about their successes.,Is Chao humble?,No
79,10,physical-interactions,,antonym,2,The truck is on the ground.,Is Chao throwing the truck?,No
446,35,social-relations,112.0,antonym,1,Chao collects money from Yan.,Is Yan Chao's landlord?,No
18,5,social-relations,5.0,antonym,1,Chao likes Yan.,Is Chao Yan's enemy?,No
151,14,social-relations,38.0,antonym,2,Chao has little power over Yan.,Is Chao Yan's boss?,No
295,58,agent-properties,74.0,other,1,Chao is reaching for the wheel.,Does Chao not intend to get the wheel?,No
223,48,agent-properties,56.0,antonym,1,"When presented with the wheel and the truck, Chao decided to get the wheel but not the truck.",Does Chao prefer the truck over the wheel?,No
43,7,spatial-relations,,antonym,2,The baseball bounced off the wheel from above.,Is the wheel above the baseball?,No
178,33,physical-interactions,,antonym,1,Chao is applying significant force to the wheel.,Is Chao touching the wheel?,No
123,20,physical-interactions,,variable swap,2,The nail is exerting force upon the wheel.,Is the wheel pushing the nail?,No
586,147,material-dynamics,147.0,material,1,Chao sees something that is rigid.,Can Chao compresse it?,No
10,3,social-properties,3.0,antonym,1,Chao enjoys meeting new people.,Is Chao hostile?,No
247,28,social-relations,62.0,antonym,2,Chao and Yan always spend time together.,Are Chao and Yan strangers?,No
11,3,social-properties,3.0,antonym,2,Chao avoids meeting new people.,Is Chao friendly?,No
51,13,material-properties,,antonym,2,The surface of the wheel does not reflect sunlight.,Is the surface of the wheel glossy?,No
26,7,social-interactions,7.0,antonym,1,Chao is avoiding Yan.,Is Chao chasing Yan?,No
178,44,agent-properties,45.0,variable swap,2,Chao likes the truck more than the wheel.,Does Chao prefer the wheel over the truck?,No
158,40,agent-properties,40.0,negation,2,Chao knows that the wheel is not in the shop.,Does Chao believe that the wheel is in the shop?,No
307,61,agent-properties,77.0,other,1,"In the store, Chao asks about the wheel.",Does Chao not intend to get the wheel?,No
362,33,social-relations,91.0,antonym,1,Chao rents a duplex to Yan.,Is Chao Yan's tenant?,No
478,80,agent-properties,120.0,antonym,2,Chao is less intent on getting the wheel than getting the truck.,Does Chao make more effort to get the wheel than to get the truck?,No
302,27,physical-relations,,antonym,1,The truck is lower down compared to the bed.,Is the bed under the truck?,No
391,33,social-relations,98.0,variable swap,2,Yan rents a duplex to Chao.,Is Yan Chao's tenant?,No
454,35,social-relations,114.0,variable swap,1,Yan pays money to Chao.,Is Yan Chao's landlord?,No
539,45,social-relations,135.0,variable swap,2,Yan disciplines Chao.,Is Chao Yan's parent?,No
334,68,agent-properties,84.0,negation,2,Chao is not trying to win a game of football.,Does Chao make an effort to play football?,No
339,69,agent-properties,85.0,negation,1,Chao wants to play football.,Does Chao make no effort to play football?,No
34,5,spatial-relations,,variable swap,1,"The zoo is in front of Chao, and the shop is behind. Chao turns left.",Is the shop to the right of Chao?,No
226,19,physical-relations,,variable swap,1,"If Chao moves the bed, the truck will remain in its place.",Is the truck supported by the bed?,No
171,31,physical-interactions,,antonym,2,Chao is applying negligible force to the wheel.,Is Chao kicking the wheel?,No
635,84,agent-properties,159.0,antonym,1,Chao is more intent on meeting Yan than meeting Ali.,Does Chao make more effort to interact with Ali than with Yan?,No
79,4,physical-relations,,antonym,2,The truck can only partially hide the bed from view.,Is the bed smaller than the truck?,No
6,2,social-interactions,2.0,antonym,1,Chao is assisting Yan.,Is Chao hindering Yan?,No
362,75,agent-properties,91.0,antonym,2,Chao wants to avoid Yan.,Does Chao make an effort to interact with Yan?,No
199,38,physical-interactions,,negation,2,"In a moment, the wheel will be in the same place.",Is Chao throwing the wheel?,No
55,14,material-properties,,material,2,The wheel is made of concrete.,Is the surface of the wheel glossy?,No
46,13,agent-properties,12.0,antonym,2,The candle is in front of Chao. Chao's nose is covered.,Does Chao smell the candle?,No
31,9,agent-properties,8.0,antonym,1,The airplane is making sounds. The airplane is in front of Chao. Chao's ears are uncovered.,Does Chao not hear the airplane?,No
174,32,physical-interactions,,other,1,The wheel is moving upward.,Is Chao dropping the wheel?,No
83,11,physical-interactions,,antonym,2,Chao is above the ground but the truck is not.,Is Chao throwing the truck?,No
94,26,agent-properties,24.0,other,2,Chao is swallowing the sandwich.,Does Chao see the sandwich?,No
26,7,physical-dynamics,,antonym,1,The wheel is going underwater.,Is the wheel floating?,No
463,79,agent-properties,116.0,variable swap,1,Chao hates playing pool more than playing football.,Does Chao make more effort to play pool than to play football?,No
3,1,physical-interactions,,variable_swap,2,The wheel and the nail are touching. Heat is flowing from the nail to the wheel.,Is the wheel heating the nail?,No
607,47,social-relations,152.0,antonym,2,Chao is 35 years younger than Yan.,Is Chao Yan's parent?,No
195,29,spatial-relations,,negation,2,Chao cannot touch the wheel.,Is the wheel close to Chao?,No
187,18,physical-relations,,antonym,2,"If Chao moves the truck, the bed will move too.",Is the truck supported by the bed?,No
262,51,agent-properties,66.0,variable swap,2,Chao decided to talk to Ali but not Yan.,Does Chao prefer Yan over Ali?,No
483,40,social-relations,121.0,other,2,Chao shares toys with Yan.,Is Chao Yan's parent?,No
115,31,agent-properties,29.0,antonym,1,Chao is in the shop. Chao sees the wheel inside.,Does Chao doubt that the wheel is in the shop?,No
30,8,physical-dynamics,,antonym,1,The wheel is heavy.,Is the wheel floating?,No
87,22,material-properties,,material,2,The wheel is made of bronze.,Is the wheel bouncy?,No
151,13,physical-relations,,variable swap,2,The airplane is smaller than the truck.,Is the truck inside the airplane?,No
47,12,material-properties,,antonym,2,The wheel looks dim.,Is the surface of the wheel glossy?,No
251,29,social-relations,63.0,other,2,Chao and Yan are making out.,Are Chao and Yan strangers?,No
314,63,agent-properties,79.0,antonym,2,Chao is inadvertently moving toward Yan.,Does Chao intend to interact with Yan?,No
398,77,agent-properties,100.0,variable swap,2,Chao is more intent on playing pool than on playing football.,Does Chao make less effort to play pool than to play football?,No
19,5,material-properties,,antonym,2,Chao squeezed the wheel. It kept its shape.,Is the wheel soft?,No
90,23,social-properties,23.0,antonym,1,Chao often gives instructions.,Is Chao submissive?,No
59,15,material-properties,,antonym,2,The wheel is hard to break.,Is the wheel fragile?,No
127,28,social-interactions,32.0,antonym,2,"When interacting with Yan, Chao is being supportive.",Is Chao teasing Yan?,No
27,7,social-relations,7.0,antonym,2,Chao wants to work against Yan.,Is Chao Yan's friend?,No
118,30,social-properties,30.0,antonym,1,Chao is hesitant to meet new people.,Is Chao confident?,No
106,17,physical-interactions,,antonym,1,The wheel is moving away from Chao.,Is Chao pulling the wheel?,No
55,12,social-interactions,14.0,antonym,2,Chao can ski worse than Yan.,Is Chao teaching Yan?,No
22,6,social-properties,6.0,negation,1,Chao can be depended upon.,Is Chao untrustworthy?,No
42,11,material-properties,,material,1,The wheel is made of flannel.,Is the wheel inelastic?,No
106,23,social-interactions,27.0,antonym,1,Chao is being polite towards Yan.,Is Chao insulting Yan?,No
54,14,material-properties,,material,1,The wheel is made of aluminum.,Is the surface of the wheel matte?,No
7,2,quantitative-properties,,antonym,2,There are few staplers relative to keychains.,Are there more staplers than keychains?,No
491,42,social-relations,123.0,other,2,Chao went to school with Yan.,Is Chao Yan's parent?,No
39,8,quantitative-properties,,antonym,2,The cooler has a greater number of staplers compared to keychains.,Is the number of staplers and keychains the same?,No
35,7,quantitative-properties,,number,2,Chao has three staplers and five keychains.,Is the number of staplers and keychains the same?,No
722,86,agent-properties,181.0,variable swap,2,Chao likes Ali more than Yan.,Does Chao make less effort to interact with Ali than with Yan?,No
99,27,agent-properties,25.0,other,1,The sandwich is in Chao's hand.,Does Chao taste the sandwich?,No
66,15,quantitative-properties,,antonym,1,"There are six staplers in total, and Chao has nothing.",Does Chao have all of the staplers?,No
170,14,physical-relations,,antonym,1,The truck moves with the airplane.,Is the truck outside the airplane?,No
495,43,social-relations,124.0,other,2,Chao is 5 years older than Yan.,Is Chao Yan's parent?,No
23,6,physical-dynamics,,antonym,2,The wheel is staying at the same altitude.,Is the wheel sinking?,No
302,60,agent-properties,76.0,antonym,2,Chao is unknowingly moving toward the wheel.,Does Chao intend to get the wheel?,No
39,6,spatial-relations,,antonym,2,The nail is above the wheel.,Is the wheel above the nail?,No
179,25,spatial-relations,,antonym,2,The shop is to the right of Chao. Chao turns left.,Is the shop in front of Chao?,No
347,71,agent-properties,87.0,negation,1,Chao is trying to get the wheel.,Does Chao make no effort to get the wheel?,No
355,73,agent-properties,89.0,antonym,1,Chao has decided in favor of getting the wheel.,Does Chao make no effort to get the wheel?,No
19,5,social-relations,5.0,antonym,2,Chao hates Yan.,Is Chao Yan's friend?,No
527,81,agent-properties,132.0,antonym,1,Chao is less hesitant to get the wheel than to get the truck.,Does Chao make more effort to get the truck than to get the wheel?,No
803,91,agent-properties,201.0,antonym,1,Chao wants either the wheel or the truck. The wheel costs less than the truck.,Does Chao choose the truck over the wheel?,No
74,9,physical-interactions,,antonym,1,Chao is staying in the same spot but the truck is not.,Is Chao climbing on the truck?,No
154,27,physical-interactions,,variable swap,1,The nail is taking a hit from the wheel.,Is the nail colliding with the wheel?,No
342,70,agent-properties,86.0,antonym,2,Chao has decided against playing football.,Does Chao make an effort to play football?,No
138,31,social-interactions,35.0,antonym,1,Chao is making Yan feel hurt.,Is Chao comforting Yan?,No
30,3,physical-relations,,antonym,1,The truck occupies more space than the bed.,Is the bed bigger than the truck?,No
186,45,agent-properties,47.0,antonym,2,Chao hates the wheel more than the truck.,Does Chao prefer the wheel over the truck?,No
62,16,social-properties,16.0,negation,1,Chao talks about past accomplishments.,Is Chao humble?,No
195,19,physical-relations,,antonym,2,"If Chao moves the truck, the bed will remain in its place.",Does the truck support the bed?,No
207,18,social-relations,52.0,antonym,2,Chao has a lot of power over Yan.,Is Chao Yan's colleague?,No
166,30,physical-interactions,,antonym,1,The wheel is on the ground.,Is Chao throwing the wheel?,No
66,8,spatial-relations,,variable swap,1,The nail and the wheel are on the same surface. Then the nail is moved lower.,Is the nail above the wheel?,No
134,23,physical-interactions,,antonym,1,The wheel will soon be in pieces.,Is Chao fixing the wheel?,No
30,6,quantitative-properties,,antonym,1,There are two fewer staplers in the zoo than in the shop.,Are there fewer staplers in the shop than in the zoo?,No
399,34,social-relations,100.0,antonym,2,Chao pays rent to Yan.,Is Chao Yan's landlord?,No
430,108,material-dynamics,108.0,material,1,Chao sees something that is rigid.,Can it splashe?,No
91,13,physical-interactions,,antonym,2,The truck is heavier than Chao.,Is Chao throwing the truck?,No
7,2,spatial-relations,,antonym,2,The nail is next to the left side of the wheel.,Is the wheel to the left of the nail?,No
98,25,social-properties,25.0,other,1,"Chao went backpacking with a friend. Every day, Chao decided where they should camp.",Is Chao submissive?,No
195,45,agent-properties,49.0,variable swap,1,Chao hates the truck more than the wheel.,Does Chao prefer the truck over the wheel?,No
267,51,agent-properties,67.0,variable swap,1,Chao decided to avoid Ali but not Yan.,Does Chao prefer Ali over Yan?,No
95,14,physical-interactions,,antonym,2,The wheel is moving away from Chao.,Is Chao catching the wheel?,No
142,36,quantitative-properties,,antonym,1,Nobody has more toothpaste than Chao.,Does Chao have the least toothpate?,No
47,3,physical-relations,,variable swap,2,The bed occupies more space than the truck.,Is the bed smaller than the truck?,No
