Genre,Context,Question,Correct Answer
slate,'',Premise: He argued that these governors shared the congressional Republican agenda enshrined in the 1994 Contract With America. Hypothesis: There exists a 1994 Contract With America,0
government,'',"Premise: A survey of surgeons working in an emergency department found that the most significant predictor of screening was the attending physicians' perception that their responsibilities included screening. Hypothesis: If a physician believes they are responsible for screening, it is more likely to happen.",0
fiction,'',"Premise: The end is near!  Then a shout went up, and Hanson jerked his eyes from the gears to focus on a group of rocs that were landing at the far end of the camp. Hypothesis: Hanson redirected his gaze from the gears to the group of rocs.",0
fiction,'',"Premise: No, John, I said, ""it isn't one of us.  Hypothesis: I told John it was not one of us.",0
government,'',"Premise: Working groups were established to coordinate training statewide, to focus on the establishment of a statewide website and to continue coordination and sharing in technology matters. Hypothesis: Groups were formed to coordinate training around the state.",0
fiction,'',"Premise: The Joint Venture which has so amply justified itself by success!"" It was drunk with acclamation. Hypothesis: The Joint Venture had justified itself by success.",0
telephone,'',Premise: you know they can't really defend themselves like somebody grown uh say my age you know yeah Hypothesis: They can't defend themselves because of their age.,0
fiction,'',Premise: Who? asked Tommy. Hypothesis: Tommy inquired about the identity of the person.,0
slate,'',"Premise: Rightly or wrongly, America is seen as globalization's prime mover and head cheerleader and will be blamed for its excesses until we start paying official attention to them. Hypothesis: America's role in the globalization movement is important whether we agree with it or not. ",0
fiction,'',Premise: He had to try something. Hypothesis: The man had to try and do something. ,0
slate,'',Premise: Cop  Bud White (Crowe) and Ed Exley (Pearce) almost mix it up (59 seconds) : Hypothesis: Bud White and Ed Exley almost mix it up.,0
fiction,'',"Premise: You claimed to be a repairman for such devices.""  Hanson bent to study it again, using a diamond lens one of the warlocks handed him. Hypothesis: Hanson leaned in to examine it again, through a diamond lens.",0
fiction,'',Premise: I don't know. Hypothesis: I am not sure.,0
telephone,'',Premise: so they don't deal much in cash anymore either Hypothesis: So they don't use cash a lot anymore.,0
telephone,'',"Premise: that's true um-hum well that's true the America's paying all this money to have other people give uh aid to other countries so they could be paying their own people and training their own people at the same time Hypothesis: That's true, America's paying to for other folks to provide international aid so they could train and pay their own citizens at the same time.",0
fiction,'',Premise: It's mighty lucky you did say it. Hypothesis: Its lucky that you said it.,0
fiction,'',"Premise: I feel, though, that I should like to point out to you once more the risks you are running, especially if you pursue the course you indicate. Hypothesis: I do not think that you understand the risks you are taking.",0
travel,'',"Premise: The route passes in sight of two uninhabited Es Vedr? , which hovers like an apparition on the horizon off to the west, and Espalmador, which is popular with yachtsmen for its white-sand beach. Hypothesis: The route pass is uninhabited.",0
telephone,'',Premise: and we decided we'd just go across the road to the office and see if we could rent anything Hypothesis: We went to the office to see if there was anything we could rent.,0
travel,'',"Premise: The cane plantations, increasingly in the hands of American tycoons, found a ready market in the US. Hypothesis: The US market was ready for the cane plantations.",0
travel,'',"Premise: Many had to leave their birthplaces, fleeing to Lesvos, Chios, and Samos, the Greek-ruled islands just offshore. Hypothesis: Many people had to leave their homes. ",0
telephone,'',Premise: right after the war Hypothesis: Just after the war ended.,0
government,'',"Premise: Once they know their Social Security benefits promised under current law, workers can calculate how much they can expect from employer-sponsored pension plans and how much they need to save on their own for retirement. Hypothesis: Social Security benefits are useful for the worker in securing their retirement and financial freedom when they reach seniority.",0
travel,'',Premise: At the west end is a detailed model of the whole temple complex. Hypothesis: The whole temple complex is rendered in miniature.,0
fiction,'',Premise: He felt the off-hand dagger's weight in the small of his back. Hypothesis: The knife was on his back.,0
telephone,'',Premise: um-hum what is your worst then Hypothesis: Then what is your worst?,0
government,'',"Premise: For example, NIPA excludes capital transfers, like estate tax receipts, which are recorded as revenue in the unified budget, and investment grants-in-aid to state and local governments, which the unified budget records as outlays. Hypothesis: NIPA excludes capital transfers.",0
travel,'',Premise: Catch up on the Indian avant-garde and the bohemian people of Caletta at the Academy of Fine Arts on the southeast corner of the Maidan. Hypothesis: In South-Eastern Maidan you will find the Academy of Fine Arts.,0
travel,'',"Premise: Under Ferdinand and Isabella, Spain underwent a dramatic transformation. Hypothesis: Ferdinand and Isabella caused stunning changes to take place in Spain.",0
travel,'',Premise: Buffet and a  la carte available. Hypothesis: It has a buffet.,0
government,'',Premise: (Cohen 1999) Although many observers would view this as an extreme step it could reduce costs and allow increased efficiencies. Hypothesis: Many observers view it an extreme step to lower costs and increase efficiencies. ,0
government,'',"Premise: NIPA had already recognized mineral exploration as investment, and in 1996, NIPA reclassified government purchases of plant and equipment as investment. Hypothesis: NIPA said mineral exploration is an investment.",0
slate,'',Premise: I am asserting my membership in the club of Old Geezers. Hypothesis: I am proclaiming that I am now a member of the club of Old Geezers.,0
fiction,'',Premise: Jon walked back to the town to the smithy. Hypothesis: Jon traveled back to the town.,0
fiction,'',Premise: I mustn't keep you. Hypothesis: I should not keep you.,0
fiction,'',"Premise: Yes, sir. Hypothesis: Certainly.",0
fiction,'',Premise: The younger girl ran screaming to her. Hypothesis: A young girl was screaming. ,0
travel,'',"Premise: They capitalized on the natural resources by using the salt to cure fish, which they exported to their home country. Hypothesis: They used salt to cure fish and sent it back home. ",0
slate,'',Premise: But of course the DSM is informed by social values. Hypothesis: Social values play a role in determining the content of the DSM.,0
slate,'',"Premise: The notable thing for me about the Left Behind series--beside the fact that few in the secular media have noticed that millions of Americans are busy reading books warning about the imminence of one-world government, mass death, and the return of the Messiah, is that all the Jewish characters are Christian. Hypothesis: All the Jewish characters in the Left Behind series are actually Christian.",0
slate,'',"Premise: The Journal put the point succinctly to  Is any publicity good publicity? Hypothesis: The Journal asked ""Is any publicity good publicity?""",0
travel,'',"Premise: Named after the city gentleman and infamous burglar, it is one of the best-known pubs in the city. Hypothesis: The well-known pub was named after a burglar.",0
slate,'',Premise: if the United States had used full conventional power. Hypothesis: If the United States had maximized their potential.,0
travel,'',"Premise: The tomb guardian will unlock the gate to the tunnel and give you a candle to explore the small circular catacomb, but for what little you can see, it is hardly worth the effort. Hypothesis: The tomb guardian has the ability to unlock the gate.",0
fiction,'',Premise: Jon saw him ride into the smoke. Hypothesis: He rode off into the smoke as Jon watched.,0
fiction,'',Premise: Don't remember.  Hypothesis: I can't remember.,0
slate,'',Premise: The political cleansing that did not happen through the impeachment process leaves Clinton with a great and serious burden. Hypothesis: Political cleansing did not happen.,0
travel,'',"Premise: It has long been influenced by their differing traits, and has assimilated their various customs and practices. Hypothesis: Their unique traits has created many customs and practices.",0
fiction,'',Premise: I turned a curve and I was just in time to see him ring the bell and get admitted to the house. Hypothesis: Just as I turned the curve I spotted him walking in to the house after ringing the bell for entrance.,0
telephone,'',"Premise: yeah i have too and i found it real interesting but Hypothesis: I have also, and it somewhat interested me. ",0
government,'',"Premise: However, co-requesters cannot approve additional co-requesters or restrict the timing of the release of the product after it is issued. Hypothesis: Co-requesters cannot approve more co-requesters.",0
government,'',Premise: (Hypothetical data for this example are given in table 2.2.) Hypothesis: The possible data is in table 2.2,0
travel,'',Premise: Several of its beaches are officially designated for nudism (known locally as naturisme) the most popular being Pointe Tarare and a functionary who is a Chevalier de la L??gion d'Honneur has been appointed to supervise all aspects of sunning in the buff. Hypothesis: There are a number of nude beaches.,0
fiction,'',"Premise: He leaned over Tommy, his face purple with excitement. Hypothesis: He hovered over Tommy, with a deep color in his face from the thrill.",0
travel,'',"Premise: The Sikhs reacted violently to persecution, and the Marathas spread to Orissa, after which, in the year 1739, Nadir Shah of Persia invaded and carried off the Peacock Throne (broken up after his assassination). Hypothesis: Persecution against the Sikhs was met with violent reactions.",0
government,'',Premise: I think it is important for everyone to understand the extent to which First-Class mail is already carrying a disproportionate share of the institutional cost or overhead burden of the postal system. Hypothesis: We need to understand they have a lot of burden on their shoulders.,0
slate,'',Premise: Weicker has yet to declare his intentions. Hypothesis: Weicker's intentions have not been declared yet.,0
telephone,'',Premise: huh-uh i don't even want to go anywhere yeah that's about it Hypothesis: There is nowhere I want to go.,0
travel,'',"Premise: Chennai, known until 1996 as Madras, is easy-going, pleasant, and remarkably uncrowded. Hypothesis: Chennai is a laid-back, quiet, and peaceful city.",0
fiction,'',"Premise: It is, as you see, highly magnified.  Hypothesis: It is highly enlarges as you can observe.",0
government,'',"Premise: While headquarters staffing is to be streamlined, the staffing levels at the ports are to be maintained or increased. Hypothesis: Staffing levels at the ports are maintained or increased as headquarters' staff is streamlined. ",0
telephone,'',Premise: yeah well i'm a hot weather person i'm i can take the heat but i don't like the cold Hypothesis: I can handle hot weather but I am not fond of the cold.  ,0
government,'',Premise: senior management oversight and approval ofRequired acquisition objectives and plans. Hypothesis: the referenced organization has a senior management division.,0
travel,'',"Premise: At the delta of the Rh??ne, where its two arms spill into the Medi?­ter?­ra?­nean, the Camargue has been reclaimed from the sea to form a national nature reserve. Hypothesis: The Camargue is a national nature reserve that has been reclaimed from the sea.",0
travel,'',Premise: An Indian traveler described the prosperous Bujang Valley settlement as  the seat of all felicities.   Hypothesis: A traveler said the settlement was prospering. ,0
government,'',Premise: A student visa overstayer is not going to be a high priority for pro bono assistance. Hypothesis: Overstaying a student visa will make pro bono assistance difficult.,0
fiction,'',Premise: HE KNOWS ABOUT THE MINES. Hypothesis: He is aware that the mines exist. ,0
government,'',"Premise: If necessary to meeting the restrictions imposed in the preceding sentence, the Administrator shall reduce, pro rata, the basic Phase II allowance allocations for each unit subject to the requirements of section 414. Hypothesis: Section 414 helps balance allowance allocations for units.",0
slate,'',Premise: Most of the Clinton women were in their 20s at the time of their Clinton encounter Hypothesis: The clinton women were in their 20's,0
government,'',"Premise: Legal Services Corp., 02-CV-3866, names as defendants the national Legal Services Corp., which distributes federal grants to providers, and Legal Services of New Jersey, which distributes state money. Hypothesis: Legal Services of New Jersey is one of the named defendants in the case.",0
government,'',Premise: Base year data will be actual receipt and outlay data for the last completed fiscal year Hypothesis: Base year data will be actual receipt and outlay data.,0
slate,'',Premise: Hughes has accomplished this in part by the unusual technique of double ghosting. Hypothesis: He was able to double ghost.,0
slate,'',Premise: I have a situation. Hypothesis: I am dealing with certain circumstances.,0
fiction,'',Premise: The door did not budge. Hypothesis: The door didn't move. ,0
telephone,'',Premise: wow who can afford that  my God i can't afford to miss a day let alone six Hypothesis: Who can afford to miss a day?,0
slate,'',"Premise: But when the cushion is spent in a year or two, or when the next recession arrives, the disintermediating voters will find themselves playing the roles of budget analysts and tax wonks. Hypothesis: The cushion will likely be spent in under two years.",0
travel,'',"Premise: There was no longer any  when you wanted some unbridled adult fun, Las Vegas was the place to be. Hypothesis: Las Vegas was the destination for pure fun for adults.",0
fiction,'',"Premise: In the moment of victory, Tuppence betrayed a somewhat unsportsmanlike triumph. Hypothesis: Tuppence was not very gracious when she won.",0
fiction,'',"Premise: In about a quarter of an hour the bell rang, and Tuppence repaired to the hall to show the visitor out. Hypothesis: The bell rang after about 15 minutes and Tuppence went to go walk the visitor out of the house. ",0
travel,'',"Premise: Along the eastern coastline are several fine beaches with perfect windsurfing conditions in their wide, shallow bays. Hypothesis: There are many fine beaches along the shallow bays.",0
slate,'',Premise: Any point you failed to win by rigging the questions and categories can be cleaned up in the executive summary (the pollster's spin) and the press release and news conference (the client's spin on the pollster's spin). Hypothesis: Any point you didn't get by fixing the questions can be added to the executive summary for the news conference to address.,0
slate,'',"Premise: Second, reducing the rate of HIV transmission is in any event not the only social goal worth  If it were, we'd outlaw sex entirely. Hypothesis: Reducing HIV is important, but there are also other worthy causes.",0
slate,'',"Premise: Blessed with preternatural gregariousness, good humor, and a love of attention, he's been tireless about pursuing both celebrity and the cause of popular history ever since. Hypothesis: He was very outgoing and extroverted, as well as nice to be around.",0
government,'',Premise: The Implementation of National and European Legislation Concerning Air Emissions from Large Combustion Plants in Germany Hypothesis: Germany has large combustion plants.,0
slate,'',Premise: So it was traumatic. Hypothesis: It was something that was traumatic. ,0
telephone,'',Premise: because i don't want to my mother was also a domineering type of personality because she had to take over the things that my dad fell short in Hypothesis: My mother was domineering since she filled in my father's shoes.,0
fiction,'',Premise: A spark of annoyance lit Lincoln's eyes; the smallest hint of Natalia's Russian fire. Hypothesis: You could clearly see the irritation in Lincoln's eyes.,0
slate,'',"Premise: After three days of using the gel, my mouth has returned to its familiar self. Hypothesis: Within three days their mouth felt better after using the product.",0
telephone,'',Premise: oh really it wouldn't matter if we plant them when it was starting to get warmer Hypothesis: Warmer weather doesn't alter planting time.,0
government,'',Premise: The importer pays duties that are required by law Hypothesis: Imported goods have duties,0
government,'',"Premise: If the data from a series of tests performed with the same toxicant, toxicant concentrations, and test species, were analyzed with hypothesis tests, precision could only be assessed by a qualitative comparison of the NOEC-LOEC intervals, with the understanding that maximum precision would be attained if all tests yielded the same NOEC-LOEC interval. Hypothesis: They wanted to make sure they were getting the same results each time.",0
slate,'',"Premise: Progressives at last are noticing that the best argument for government activism is that it works. Hypothesis: Finally, progressives are noticing that the best argument for government activism is its success.",0
travel,'',Premise: Many Gothic and Renaissance buildings have been lovingly restored. Hypothesis: There are many Gothic and Renaissance buildings there.,0
telephone,'',Premise: and uh it that takes so much time away from your kids Hypothesis: That it depletes your availability from your children.,0
government,'',"Premise: With their fluent Vietnamese and Mandarin, they help Tran understand her family's eligibility for Medi-Cal and food stamps, assist the 70-year-old woman in finding a place to live and advise abused women how they can stay in the country while staying away from their husbands. Hypothesis: Tran was advised on opportunities for her family. ",0
travel,'',Premise: Castlerigg near Keswick is the best example. Hypothesis: A good example would be Keswick near Castlerigg.,0
government,'',"Premise: Agency officials stated that copies of both the initial and the final analysis were submitted to the Chief Counsel for Advocacy at the Small Business Administration as required by section 605(b). Hypothesis: Both initial and final analyses were submitted, according to agency officials.",0
slate,'',Premise: But overinterpretation or even misinterpretation are not the same as bias. Hypothesis: Overinterpretation and misinterpretation are not bias. ,0
travel,'',"Premise: Designed as a series of pleasure gardens in the Italianate style in 1865, with cascades, spectacular fountains, and rustic grottoes, an ongoing restoration hopes to bring them back to the original plan. Hypothesis: There is an ongoing restoration which hopes to restore the pleasure gardens to their original splendor.",0
fiction,'',Premise: Each one planting itself in the sides of Stark's neck. Hypothesis: Stark's neck was hit twice.,0
fiction,'',"Premise: After the second course I began to feel slightly at ease, although I couldn't help being disturbed by the way they just stared at me. Hypothesis: I felt nervous by the way they looked at me.",0
fiction,'',"Premise:  He caught a grip on himself, fighting the fantasies of his mind, and took another breath of air. Hypothesis: Getting a hold of himself, he took a gulf of air.",0
government,'',"Premise: GAO's recommendations are intended to improve the economy, efficiency, and effectiveness of an agency's operations and to improve the accountability of the federal government for the benefit of the American people. Hypothesis: The GAO works for the benefit of the American people and it's government agencies.",0
telephone,'',Premise: uh yeah they were uh they were very good i was impressed Hypothesis: They were impressive to me.,0
travel,'',"Premise: The mansions have been downgraded to consulates since the capital was transferred to Ankara in 1923, and modern shops and restaurants have sprung up. Hypothesis: In 1923 the capital was moved to the city of Ankara .",0
fiction,'',"Premise: This having come to his stepmother's ears, she taxed him with it on the afternoon before her death, and a quarrel ensued, part of which was overheard.  Hypothesis: A fight broke out between the stepmother and the man before her death.",0
fiction,'',"Premise: Hold hard, said Tommy. Hypothesis: Tommy said to hold on hard.",0
government,'',"Premise: This includes all testing, information review, and interviews related to data reliability. Hypothesis: All testing related to data reliability will be included.",0
telephone,'',Premise: oh that sounds interesting too Hypothesis: That sounds fascinating as well.,0
telephone,'',"Premise: but i think a lot of kids it's funny get the same kind of fears like there's somebody under the bed Hypothesis: I believe that many children think it's amusing, the similar uneasiness that there's someone beneath the bed.",0
government,'',"Premise: The author began with a set of hunches or hypotheses about what can go wrong in agency management, and what would be evidence supporting-or contradicting-these hypotheses. Hypothesis: The author had several theories about the ways in which agency management can go awry.",0
travel,'',Premise: A re-created street of colonial Macau is lined with traditional Chinese shops. Hypothesis: A historical re-enactment of colonial Macau is home to many traditional Chinese establishments.,0
slate,'',Premise: Even the lower limit of that differential compounds to a hefty sum over time. Hypothesis: The small number will go into a larger sum over time.,0
telephone,'',"Premise: oh no no they're not fired they there are they have one chance to then go in a program if you come back positive you have one chance to go in and go into they have a lot of uh rehabilitation both for alcohol and for drug use uh and they have uh a lot of uh they they have an agency where you can go for personal problems financial or whatever Hypothesis: If your drug test is positive, you are given a chance to go into a rehabilitation program.",0
telephone,'',"Premise: i don't know she said they go crazy Hypothesis: According to her, they lose their minds.",0
telephone,'',Premise: so i have to find a way to supplement that Hypothesis: I need a way to add something extra.,0
slate,'',Premise: His off-the-cuff style seems amateurish next to Inglis' polished mini-essays. Hypothesis: His style made him look like an amateur beside Inglis' work,0
fiction,'',Premise: That seems to make up for how he feels about what you did to the Voth. Hypothesis: He has feelings for what was done to the Voth. ,0
fiction,'',"Premise: Oh, I I haven't quite worked that out. Hypothesis: I haven't put that together yet.",0
travel,'',"Premise:   There's nothing like the trendy resort clothing available here, styled on the island by the designers of the Ad-Lib group. Hypothesis: The Ad-Lib group designs the trendy resort clothing here.",0
travel,'',"Premise: On the northern slopes of this rocky outcropping is the site of the ancient capital of the island, also called Thira, which dates from the third century b.c. (when the Aegean was under Ptolemaic rule). Hypothesis: The ancient capital of the island is called Thira, and dates back to the third century b.c.",0
travel,'',"Premise: In Roman times a temple to Jupiter stood here, followed in the fourth century by the first Christian church, Saint-Etienne. Hypothesis: Saint-Etienne, a Christian church, had a temple to Jupiter during Roman times.",0
travel,'',Premise: The cathedral in particular is impressive after dark. Hypothesis: The cathedral has a greater impressiveness during the night.,0
fiction,'',Premise: Waterloo. Hypothesis: In the Battle of Waterloo.,0
government,'',"Premise: SSA will consider the comments received by April 14, 1997, and will issue revised regulations if necessary. Hypothesis: The regulations will be revised as necessary after the SSA considers the comments received before April 14, 1997.",0
government,'',"Premise: 1 Now that each unit is fully staffed, the LSC Office of Program Performance and its state planning team contain over 260 years of experience in LSC-funded programs. Hypothesis: The LSC has over 260 years of experience with their staff.",0
travel,'',"Premise: The entrance is also home to several sculptures, including one of Carlyle, the gallery's founding father. Hypothesis: The entrance is also the home of several pieces of art including the Carlyle sculpture.",0
government,'',Premise: These adaptations are not uniformly valued. Hypothesis: Adaptions aren't always valued ,0
slate,'',Premise: The important thing is to realize that it's way past time to move it. Hypothesis: It has not been moved yet in the past.,0
government,'',"Premise: The good news, however, can be found in reports like this one. Hypothesis: This report has good news in it. ",0
fiction,'',"Premise: 'We can't find him, Benjamin,' Lincoln/Natalia said. Hypothesis: Lincoln/Natalia told Benjamin that it was impossible to find him.",0
slate,'',"Premise: Despite all the hoopla over a pro-choice advocate's confession that he had lied about the circumstances under which the procedure is generally used, only five lawmakers switched their votes from no to yes. Hypothesis: The pro-choice advocate's admission to lying about the circumstances of the procedure didn't seem to matter to most lawmakers.",0
travel,'',"Premise: In the Blue Mountain National Park and the John Crow National Park, which together cover 78,200 hectares (193, 200 acres), conservationists are attempting to halt the encroachment of local farmers and loggers. Hypothesis: Farmers and loggers are attempting to work on Blue Mountain National Park and John Crow National Park.",0
fiction,'',"Premise: Very little indeed, answered Tuppence, and was pleased to note that Whittington's uneasiness was augmented instead of allayed. Hypothesis: Tuppence's answer made Whittington grow even more uneasy.",0
travel,'',Premise: Their rights have been the source of conflicts in the central government. Hypothesis: Their rights have been an area of turmoil within the central government.,0
telephone,'',Premise: oh i've never itemized yet Hypothesis: I've never itemized before.,0
government,'',Premise: Improved products and services   Initiate actions and manage risks to develop new products and services within or outside the organization. Hypothesis: Improved products and services lead to actions and manage risks to develop new products and services with/without an organization,0
slate,'',"Premise: Howard Berman of California, an influential Democrat on the House International Relations Committee. Hypothesis: Howard Berman is a Democrat of the House.",0
government,'',Premise: We did it with the aid of consultants and other equal justice stakeholders. Hypothesis: The help from consultants and other stakeholders was useful in doing it.,0
fiction,'',Premise: He was standing in front of a grey backdrop- somewhere that could be anywhere. Hypothesis: He stood in front of a backdrop.,0
government,'',"Premise: In an effort to more thoroughly explore this topic, we expanded our discussions beyond the eight organizations that were the primary subjects of our study by requesting the Computer Security Institute to informally poll its most active members on this subject. Hypothesis: We are discussing this topic with more than just the original organizations.  ",0
fiction,'',"Premise:  ""So your girl writes that your little farewell activity didn't fare so well, eh?"" he chortled. Hypothesis: Your girl wrote that your farewell activity didn't go well.",0
slate,'',"Premise: The Standard , published a few days before Deng's death, covers similar territory. Hypothesis: The Standard covers similar territory.",0
slate,'',Premise: Blue says Blumenthal claimed Clinton had told him that Lewinsky had made unwanted sexual advances. Hypothesis: Clinton allegedly told Blumenthal that Lewinsky made unwanted sexual advances towards him. ,0
slate,'',"Premise: 3)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men? Hypothesis: Would you rise up and reject any rules that come up",0
travel,'',"Premise: If you are keen to learn Israeli folk dancing, the Bicurei Ha'etim Cellar in Heftman Street will teach you. Hypothesis: There is a place in Heftman Street that teaches Israeli folk dancing.",0
slate,'',"Premise: Sue me, Royko wrote. Hypothesis: ""Sue me"" Royko wrote. ",0
government,'',Premise: eligible individuals and the rules that apply if a state does not substantially enforce the statutory requirements. Hypothesis: There are rules that would apply if a state does not enforce the statutory requirements.,0
slate,'',Premise: The Star reports that actress Jodie Foster is pregnant through artificial insemination. Hypothesis: It has been reported by The Star that actress Jodie Foster is pregnant through artificial insemination.,0
telephone,'',Premise: but we're taking our time we're going uh try to make our decision by July Hypothesis: We are in no rush to make a decision.,0
fiction,'',Premise: A small page-boy was waiting outside her own door when she returned to it. Hypothesis: When she came back to her door she found something waiting.,0
slate,'',Premise: Growth &amp Hypothesis: Expansion.,0
slate,'',Premise: We've got to think. Hypothesis: We need to think.,0
slate,'',"Premise: If he were someone who was an assistant, with an ailing mother to support, well, it would be impossible. Hypothesis: It would not be possible if he was an assistant with a sick mom. ",0
travel,'',"Premise: The first, reached from Luxor, is Esna, 54 km (33 miles) by road. Hypothesis: Esna is located 54km away from Luxor.",0
fiction,'',Premise: Perhaps San'doro's views had grown into him. Hypothesis: San'doro might have impacted him.,0
government,'',"Premise: All the steps of data reduction and coding are described, along with the basis for transformations in these steps. Hypothesis: The transformations between steps are explained.",0
government,'',"Premise: This number represents the most reliable, albeit conservative, estimate of cases closed in 1999 by LSC grantees. Hypothesis: This is an estimate of closed cases.",0
fiction,'',"Premise: Tommy realized perfectly that in his own wits lay the only chance of escape, and behind his casual manner he was racking his brains furiously. Hypothesis: Tommy was keeping a calm demeanor, though his mind was racing with thoughts of escaping.",0
telephone,'',Premise: it takes so much i mean it's like of course it does i mean by the times it transforms into Wave by mark off model and you put it in there and you want to correct those and then you know you're trying to make the the Wave smooth so you can approximately of course it's going to take a lot Hypothesis: It takes a lot.,0
telephone,'',Premise: so we're expecting our local economy to Hypothesis: What we expect of our local economy is,0
government,'',Premise: Programs in Michigan and the District of Columbia received one-year grant terms for 2002. Hypothesis: Programs in Michigan receive one-year grant terms. ,0
slate,'',"Premise: Porches and stoops, those symbols of a vibrant social life, stopped being used as gathering places for a rather practical reason--air conditioning. Hypothesis: Air conditioning is the primary reason for the demise of outdoor gathering.",0
travel,'',Premise: Opium-smoking continued openly in Hong Kong until 1946; in mainland China the Communist government abolished it when they came to power in 1949. Hypothesis: Opium was smoked in Hong Kong until 1946 and banned in 1949.,0
slate,'',"Premise: In the short term, U.S. consumers will benefit from cheap imports (as will U.S. multinationals that use parts made in East Asian factories). Hypothesis: U.S. consumers and factories in East Asia benefit from imports.",0
slate,'',"Premise: To keep the colors fresh, he dabbed the carcass with blood from a pail, then grabbed his paintbrushes to capture those lurid reds on canvas. Hypothesis: He lightly pressed blood from a pain onto the carcass.",0
government,'',"Premise: Other advantages the Postal Service could retain relate to such things as the payment of taxes, the need for a return on investment, the right of eminent domain, and immunity from parking tickets. Hypothesis: The right of eminent domain is an advantage of the Postal Service.",0
