Type,Digits,Context,Question,Correct Answer
Arithmetic,1_digit_addition,'',Is 9 plus 7 equal to 79?,No
Arithmetic,1_digit_addition,'',Is 0 plus 5 equal to 1?,No
Arithmetic,1_digit_addition,'',Is 7 plus 5 equal to 16?,No
Arithmetic,1_digit_addition,'',Is 3 plus 3 equal to 4?,No
Arithmetic,1_digit_addition,'',Is 8 plus 6 equal to 33?,No
Arithmetic,1_digit_addition,'',Is 3 plus 6 equal to 3?,No
Arithmetic,1_digit_addition,'',Is 0 plus 7 equal to 8?,No
Arithmetic,1_digit_addition,'',Is 2 plus 6 equal to 6?,No
Arithmetic,1_digit_addition,'',Is 1 plus 1 equal to 6?,No
Arithmetic,1_digit_addition,'',Is 2 plus 8 equal to 44?,No
Arithmetic,1_digit_addition,'',Is 6 plus 8 equal to 64?,No
Arithmetic,1_digit_addition,'',Is 4 plus 1 equal to 7?,No
Arithmetic,1_digit_addition,'',Is 7 plus 4 equal to 19?,No
Arithmetic,1_digit_addition,'',Is 8 plus 4 equal to 84?,No
Arithmetic,1_digit_addition,'',Is 1 plus 7 equal to 4?,No
Arithmetic,1_digit_addition,'',Is 7 plus 3 equal to 33?,No
Arithmetic,1_digit_addition,'',Is 7 plus 7 equal to 72?,No
Arithmetic,1_digit_addition,'',Is 5 plus 2 equal to 8?,No
Arithmetic,1_digit_addition,'',Is 3 plus 4 equal to 8?,No
Arithmetic,1_digit_addition,'',Is 3 plus 5 equal to 1?,No
Arithmetic,1_digit_addition,'',Is 9 plus 9 equal to 27?,No
Arithmetic,1_digit_addition,'',Is 3 plus 9 equal to 97?,No
Arithmetic,1_digit_addition,'',Is 4 plus 8 equal to 24?,No
Arithmetic,1_digit_addition,'',Is 2 plus 0 equal to 8?,No
Arithmetic,1_digit_addition,'',Is 0 plus 0 equal to 2?,No
Arithmetic,1_digit_addition,'',Is 8 plus 7 equal to 61?,No
Arithmetic,1_digit_addition,'',Is 1 plus 0 equal to 3?,No
Arithmetic,1_digit_addition,'',Is 0 plus 2 equal to 3?,No
Arithmetic,1_digit_addition,'',Is 5 plus 8 equal to 38?,No
Arithmetic,1_digit_addition,'',Is 8 plus 9 equal to 50?,No
Arithmetic,1_digit_addition,'',Is 2 plus 5 equal to 5?,No
Arithmetic,1_digit_addition,'',Is 6 plus 2 equal to 1?,No
Arithmetic,1_digit_addition,'',Is 3 plus 7 equal to 18?,No
Arithmetic,1_digit_addition,'',Is 0 plus 3 equal to 7?,No
Arithmetic,1_digit_addition,'',Is 3 plus 1 equal to 9?,No
Arithmetic,1_digit_addition,'',Is 5 plus 3 equal to 5?,No
Arithmetic,1_digit_addition,'',Is 2 plus 2 equal to 5?,No
Arithmetic,1_digit_addition,'',Is 8 plus 5 equal to 30?,No
Arithmetic,1_digit_addition,'',Is 1 plus 9 equal to 39?,No
Arithmetic,1_digit_addition,'',Is 9 plus 4 equal to 78?,No
Arithmetic,1_digit_addition,'',Is 3 plus 0 equal to 8?,No
Arithmetic,1_digit_addition,'',Is 9 plus 0 equal to 4?,No
Arithmetic,1_digit_addition,'',Is 6 plus 7 equal to 22?,No
Arithmetic,1_digit_addition,'',Is 0 plus 4 equal to 2?,No
Arithmetic,1_digit_addition,'',Is 6 plus 1 equal to 1?,No
Arithmetic,1_digit_addition,'',Is 9 plus 2 equal to 50?,No
Arithmetic,1_digit_addition,'',Is 9 plus 8 equal to 95?,No
Arithmetic,1_digit_addition,'',Is 3 plus 2 equal to 7?,No
Arithmetic,1_digit_addition,'',Is 0 plus 9 equal to 7?,No
Arithmetic,1_digit_addition,'',Is 7 plus 8 equal to 17?,No
Arithmetic,1_digit_addition,'',Is 8 plus 8 equal to 89?,No
Arithmetic,1_digit_addition,'',Is 7 plus 6 equal to 21?,No
Arithmetic,1_digit_addition,'',Is 2 plus 9 equal to 37?,No
Arithmetic,1_digit_addition,'',Is 2 plus 7 equal to 1?,No
Arithmetic,1_digit_addition,'',Is 0 plus 1 equal to 5?,No
Arithmetic,1_digit_addition,'',Is 4 plus 6 equal to 30?,No
Arithmetic,1_digit_addition,'',Is 4 plus 4 equal to 5?,No
Arithmetic,1_digit_addition,'',Is 5 plus 6 equal to 95?,No
Arithmetic,1_digit_addition,'',Is 2 plus 5 equal to 7?,Yes
Arithmetic,1_digit_addition,'',Is 2 plus 4 equal to 6?,Yes
Arithmetic,1_digit_addition,'',Is 9 plus 0 equal to 9?,Yes
Arithmetic,1_digit_addition,'',Is 0 plus 0 equal to 0?,Yes
Arithmetic,1_digit_addition,'',Is 0 plus 5 equal to 5?,Yes
Arithmetic,1_digit_addition,'',Is 8 plus 3 equal to 11?,Yes
Arithmetic,1_digit_addition,'',Is 1 plus 2 equal to 3?,Yes
Arithmetic,1_digit_addition,'',Is 3 plus 4 equal to 7?,Yes
Arithmetic,1_digit_addition,'',Is 3 plus 5 equal to 8?,Yes
Arithmetic,1_digit_addition,'',Is 3 plus 1 equal to 4?,Yes
Arithmetic,1_digit_addition,'',Is 6 plus 4 equal to 10?,Yes
Arithmetic,1_digit_addition,'',Is 5 plus 2 equal to 7?,Yes
Arithmetic,1_digit_addition,'',Is 5 plus 7 equal to 12?,Yes
Arithmetic,1_digit_addition,'',Is 8 plus 7 equal to 15?,Yes
Arithmetic,1_digit_addition,'',Is 0 plus 3 equal to 3?,Yes
Arithmetic,1_digit_addition,'',Is 0 plus 9 equal to 9?,Yes
Arithmetic,1_digit_addition,'',Is 9 plus 5 equal to 14?,Yes
Arithmetic,1_digit_addition,'',Is 6 plus 9 equal to 15?,Yes
Arithmetic,1_digit_addition,'',Is 4 plus 3 equal to 7?,Yes
Arithmetic,1_digit_addition,'',Is 8 plus 1 equal to 9?,Yes
Arithmetic,1_digit_addition,'',Is 2 plus 2 equal to 4?,Yes
Arithmetic,1_digit_addition,'',Is 1 plus 4 equal to 5?,Yes
Arithmetic,1_digit_addition,'',Is 1 plus 3 equal to 4?,Yes
Arithmetic,1_digit_addition,'',Is 4 plus 9 equal to 13?,Yes
Arithmetic,1_digit_addition,'',Is 4 plus 8 equal to 12?,Yes
Arithmetic,1_digit_addition,'',Is 1 plus 7 equal to 8?,Yes
Arithmetic,1_digit_addition,'',Is 5 plus 1 equal to 6?,Yes
Arithmetic,1_digit_addition,'',Is 7 plus 9 equal to 16?,Yes
Arithmetic,1_digit_addition,'',Is 9 plus 3 equal to 12?,Yes
Arithmetic,1_digit_addition,'',Is 7 plus 1 equal to 8?,Yes
Arithmetic,1_digit_addition,'',Is 3 plus 0 equal to 3?,Yes
Arithmetic,1_digit_addition,'',Is 8 plus 8 equal to 16?,Yes
Arithmetic,1_digit_addition,'',Is 0 plus 8 equal to 8?,Yes
Arithmetic,1_digit_addition,'',Is 2 plus 3 equal to 5?,Yes
Arithmetic,1_digit_addition,'',Is 9 plus 4 equal to 13?,Yes
Arithmetic,1_digit_addition,'',Is 2 plus 0 equal to 2?,Yes
Arithmetic,1_digit_addition,'',Is 5 plus 0 equal to 5?,Yes
Arithmetic,1_digit_addition,'',Is 6 plus 2 equal to 8?,Yes
Arithmetic,1_digit_addition,'',Is 5 plus 4 equal to 9?,Yes
Arithmetic,1_digit_addition,'',Is 8 plus 9 equal to 17?,Yes
Arithmetic,1_digit_addition,'',Is 8 plus 4 equal to 12?,Yes
Arithmetic,1_digit_addition,'',Is 6 plus 3 equal to 9?,Yes
Arithmetic,1_digit_addition,'',Is 2 plus 6 equal to 8?,Yes
Arithmetic,1_digit_addition,'',Is 4 plus 6 equal to 10?,Yes
Arithmetic,1_digit_addition,'',Is 5 plus 5 equal to 10?,Yes
Arithmetic,1_digit_addition,'',Is 6 plus 0 equal to 6?,Yes
Arithmetic,1_digit_addition,'',Is 1 plus 6 equal to 7?,Yes
Arithmetic,1_digit_addition,'',Is 4 plus 0 equal to 4?,Yes
Arithmetic,1_digit_addition,'',Is 3 plus 7 equal to 10?,Yes
Arithmetic,1_digit_addition,'',Is 0 plus 7 equal to 7?,Yes
Arithmetic,1_digit_addition,'',Is 9 plus 8 equal to 17?,Yes
Arithmetic,1_digit_addition,'',Is 3 plus 8 equal to 11?,Yes
Arithmetic,1_digit_addition,'',Is 9 plus 1 equal to 10?,Yes
Arithmetic,1_digit_addition,'',Is 6 plus 1 equal to 7?,Yes
Arithmetic,1_digit_addition,'',Is 4 plus 1 equal to 5?,Yes
Arithmetic,1_digit_addition,'',Is 1 plus 8 equal to 9?,Yes
Arithmetic,1_digit_addition,'',Is 7 plus 8 equal to 15?,Yes
Arithmetic,1_digit_addition,'',Is 6 plus 5 equal to 11?,Yes
Arithmetic,1_digit_addition,'',Is 9 plus 2 equal to 11?,Yes
Arithmetic,1_digit_addition,'',Is 8 plus 6 equal to 14?,Yes
Arithmetic,1_digit_addition,'',Is 1 plus 1 equal to 2?,Yes
Arithmetic,1_digit_addition,'',Is 6 plus 8 equal to 14?,Yes
Arithmetic,1_digit_addition,'',Is 5 plus 9 equal to 14?,Yes
Arithmetic,1_digit_addition,'',Is 1 plus 0 equal to 1?,Yes
Arithmetic,1_digit_addition,'',Is 0 plus 1 equal to 1?,Yes
Arithmetic,1_digit_addition,'',Is 8 plus 2 equal to 10?,Yes
Arithmetic,1_digit_addition,'',Is 4 plus 7 equal to 11?,Yes
Arithmetic,1_digit_addition,'',Is 9 plus 7 equal to 16?,Yes
Arithmetic,1_digit_addition,'',Is 4 plus 5 equal to 9?,Yes
Arithmetic,1_digit_addition,'',Is 6 plus 6 equal to 12?,Yes
Arithmetic,1_digit_addition,'',Is 7 plus 3 equal to 10?,Yes
Arithmetic,1_digit_addition,'',Is 1 plus 5 equal to 6?,Yes
Arithmetic,1_digit_addition,'',Is 9 plus 9 equal to 18?,Yes
Arithmetic,1_digit_addition,'',Is 0 plus 4 equal to 4?,Yes
Arithmetic,1_digit_addition,'',Is 2 plus 9 equal to 11?,Yes
Arithmetic,1_digit_addition,'',Is 4 plus 4 equal to 8?,Yes
Arithmetic,1_digit_addition,'',Is 5 plus 3 equal to 8?,Yes
Arithmetic,1_digit_addition,'',Is 3 plus 9 equal to 12?,Yes
Arithmetic,1_digit_addition,'',Is 3 plus 3 equal to 6?,Yes
Arithmetic,1_digit_addition,'',Is 7 plus 0 equal to 7?,Yes
Arithmetic,1_digit_addition,'',Is 0 plus 2 equal to 2?,Yes
Arithmetic,1_digit_addition,'',Is 6 plus 7 equal to 13?,Yes
Arithmetic,1_digit_addition,'',Is 7 plus 5 equal to 12?,Yes
Arithmetic,1_digit_addition,'',Is 3 plus 6 equal to 9?,Yes
Arithmetic,1_digit_addition,'',Is 9 plus 6 equal to 15?,Yes
Arithmetic,1_digit_addition,'',Is 1 plus 9 equal to 10?,Yes
Arithmetic,1_digit_addition,'',Is 7 plus 2 equal to 9?,Yes
Arithmetic,1_digit_addition,'',Is 8 plus 5 equal to 13?,Yes
Arithmetic,1_digit_addition,'',Is 7 plus 6 equal to 13?,Yes
Arithmetic,1_digit_addition,'',Is 3 plus 2 equal to 5?,Yes
Arithmetic,1_digit_addition,'',Is 2 plus 7 equal to 9?,Yes
Arithmetic,1_digit_addition,'',Is 2 plus 1 equal to 3?,Yes
Arithmetic,1_digit_addition,'',Is 7 plus 4 equal to 11?,Yes
Arithmetic,1_digit_addition,'',Is 5 plus 8 equal to 13?,Yes
Arithmetic,1_digit_addition,'',Is 8 plus 0 equal to 8?,Yes
Arithmetic,1_digit_addition,'',Is 5 plus 6 equal to 11?,Yes
Arithmetic,1_digit_addition,'',Is 4 plus 2 equal to 6?,Yes
Arithmetic,1_digit_addition,'',Is 0 plus 6 equal to 6?,Yes
Arithmetic,1_digit_addition,'',Is 2 plus 8 equal to 10?,Yes
Arithmetic,1_digit_addition,'',Is 7 plus 7 equal to 14?,Yes
Arithmetic,1_digit_subtraction,'',Is 8 minus 3 equal to 3?,No
Arithmetic,1_digit_subtraction,'',Is 1 minus 5 equal to 26?,No
Arithmetic,1_digit_subtraction,'',Is 2 minus 5 equal to 39?,No
Arithmetic,1_digit_subtraction,'',Is 0 minus 6 equal to 69?,No
Arithmetic,1_digit_subtraction,'',Is 1 minus 8 equal to 47?,No
Arithmetic,1_digit_subtraction,'',Is 7 minus 4 equal to 8?,No
Arithmetic,1_digit_subtraction,'',Is 4 minus 9 equal to 85?,No
Arithmetic,1_digit_subtraction,'',Is 1 minus 3 equal to 72?,No
Arithmetic,1_digit_subtraction,'',Is 5 minus 8 equal to 97?,No
Arithmetic,1_digit_subtraction,'',Is 9 minus 2 equal to 5?,No
Arithmetic,1_digit_subtraction,'',Is 3 minus 9 equal to 90?,No
Arithmetic,1_digit_subtraction,'',Is 6 minus 0 equal to 5?,No
Arithmetic,1_digit_subtraction,'',Is 8 minus 6 equal to 5?,No
Arithmetic,1_digit_subtraction,'',Is 5 minus 7 equal to 57?,No
Arithmetic,1_digit_subtraction,'',Is 7 minus 2 equal to 3?,No
Arithmetic,1_digit_subtraction,'',Is 0 minus 0 equal to 4?,No
Arithmetic,1_digit_subtraction,'',Is 5 minus 4 equal to 9?,No
Arithmetic,1_digit_subtraction,'',Is 6 minus 7 equal to 20?,No
Arithmetic,1_digit_subtraction,'',Is 8 minus 5 equal to 2?,No
Arithmetic,1_digit_subtraction,'',Is 4 minus 5 equal to 81?,No
Arithmetic,1_digit_subtraction,'',Is 9 minus 4 equal to 3?,No
Arithmetic,1_digit_subtraction,'',Is 9 minus 0 equal to 5?,No
Arithmetic,1_digit_subtraction,'',Is 7 minus 9 equal to 22?,No
Arithmetic,1_digit_subtraction,'',Is 4 minus 2 equal to 8?,No
Arithmetic,1_digit_subtraction,'',Is 4 minus 6 equal to 12?,No
Arithmetic,1_digit_subtraction,'',Is 8 minus 7 equal to 2?,No
Arithmetic,1_digit_subtraction,'',Is 0 minus 3 equal to 61?,No
Arithmetic,1_digit_subtraction,'',Is 4 minus 3 equal to 3?,No
Arithmetic,1_digit_subtraction,'',Is 0 minus 2 equal to 27?,No
Arithmetic,1_digit_subtraction,'',Is 8 minus 9 equal to 63?,No
Arithmetic,1_digit_subtraction,'',Is 7 minus 7 equal to 6?,No
Arithmetic,1_digit_subtraction,'',Is 3 minus 0 equal to 5?,No
Arithmetic,1_digit_subtraction,'',Is 9 minus 5 equal to 7?,No
Arithmetic,1_digit_subtraction,'',Is 2 minus 4 equal to 16?,No
Arithmetic,1_digit_subtraction,'',Is 0 minus 4 equal to 36?,No
Arithmetic,1_digit_subtraction,'',Is 3 minus 3 equal to 2?,No
Arithmetic,1_digit_subtraction,'',Is 7 minus 0 equal to 5?,No
Arithmetic,1_digit_subtraction,'',Is 6 minus 5 equal to 3?,No
Arithmetic,1_digit_subtraction,'',Is 0 minus 7 equal to 95?,No
Arithmetic,1_digit_subtraction,'',Is 2 minus 3 equal to 89?,No
Arithmetic,1_digit_subtraction,'',Is 5 minus 2 equal to 5?,No
Arithmetic,1_digit_subtraction,'',Is 2 minus 7 equal to 74?,No
Arithmetic,1_digit_subtraction,'',Is 6 minus 6 equal to 3?,No
Arithmetic,1_digit_subtraction,'',Is 6 minus 4 equal to 8?,No
Arithmetic,1_digit_subtraction,'',Is 9 minus 7 equal to 9?,No
Arithmetic,1_digit_subtraction,'',Is 1 minus 2 equal to 20?,No
Arithmetic,1_digit_subtraction,'',Is 4 minus 8 equal to 58?,No
Arithmetic,1_digit_subtraction,'',Is 5 minus 9 equal to 34?,No
Arithmetic,1_digit_subtraction,'',Is 7 minus 5 equal to 5?,No
Arithmetic,1_digit_subtraction,'',Is 7 minus 1 equal to 7?,No
Arithmetic,1_digit_subtraction,'',Is 0 minus 8 equal to 11?,No
Arithmetic,1_digit_subtraction,'',Is 3 minus 4 equal to 26?,No
Arithmetic,1_digit_subtraction,'',Is 0 minus 9 equal to 71?,No
Arithmetic,1_digit_subtraction,'',Is 6 minus 1 equal to 7?,No
Arithmetic,1_digit_subtraction,'',Is 4 minus 0 equal to 2?,No
Arithmetic,1_digit_subtraction,'',Is 9 minus 9 equal to 7?,No
Arithmetic,1_digit_subtraction,'',Is 5 minus 5 equal to 6?,No
Arithmetic,1_digit_subtraction,'',Is 9 minus 6 equal to 9?,No
Arithmetic,1_digit_subtraction,'',Is 8 minus 1 equal to 1?,No
Arithmetic,1_digit_subtraction,'',Is 3 minus 6 equal to 15?,No
Arithmetic,1_digit_subtraction,'',Is 8 minus 4 equal to 2?,No
Arithmetic,1_digit_subtraction,'',Is 1 minus 1 equal to 6?,No
Arithmetic,1_digit_subtraction,'',Is 9 minus 3 equal to 1?,No
Arithmetic,1_digit_subtraction,'',Is 2 minus 6 equal to 96?,No
Arithmetic,1_digit_subtraction,'',Is 4 minus 7 equal to 28?,No
Arithmetic,1_digit_subtraction,'',Is 5 minus 3 equal to 1?,No
Arithmetic,1_digit_subtraction,'',Is 3 minus 5 equal to 25?,No
Arithmetic,1_digit_subtraction,'',Is 9 minus 8 equal to 6?,No
Arithmetic,1_digit_subtraction,'',Is 4 minus 1 equal to 6?,No
Arithmetic,1_digit_subtraction,'',Is 3 minus 1 equal to 3?,No
Arithmetic,1_digit_subtraction,'',Is 9 minus 1 equal to 2?,No
Arithmetic,1_digit_subtraction,'',Is 6 minus 3 equal to 5?,No
Arithmetic,1_digit_subtraction,'',Is 7 minus 8 equal to 75?,No
Arithmetic,1_digit_subtraction,'',Is 3 minus 2 equal to 4?,No
Arithmetic,1_digit_subtraction,'',Is 4 minus 4 equal to 5?,No
Arithmetic,1_digit_subtraction,'',Is 2 minus 0 equal to 8?,No
Arithmetic,1_digit_subtraction,'',Is 7 minus 6 equal to 7?,No
Arithmetic,1_digit_subtraction,'',Is 3 minus 7 equal to 88?,No
Arithmetic,1_digit_subtraction,'',Is 3 minus 8 equal to 16?,No
Arithmetic,1_digit_subtraction,'',Is 2 minus 2 equal to 5?,No
Arithmetic,1_digit_subtraction,'',Is 2 minus 8 equal to 50?,No
Arithmetic,1_digit_subtraction,'',Is 6 minus 8 equal to 20?,No
Arithmetic,1_digit_subtraction,'',Is 6 minus 2 equal to 6?,No
Arithmetic,1_digit_subtraction,'',Is 2 minus 9 equal to 59?,No
Arithmetic,1_digit_subtraction,'',Is 6 minus 9 equal to 93?,No
Arithmetic,1_digit_subtraction,'',Is 8 minus 8 equal to 3?,No
Arithmetic,1_digit_subtraction,'',Is 0 minus 1 equal to 29?,No
Arithmetic,1_digit_subtraction,'',Is 2 minus 1 equal to 8?,No
Arithmetic,1_digit_subtraction,'',Is 5 minus 6 equal to 69?,No
Arithmetic,1_digit_subtraction,'',Is 5 minus 1 equal to 9?,No
Arithmetic,1_digit_subtraction,'',Is 1 minus 7 equal to 68?,No
Arithmetic,1_digit_subtraction,'',Is 8 minus 0 equal to 4?,No
Arithmetic,1_digit_subtraction,'',Is 1 minus 9 equal to 66?,No
Arithmetic,1_digit_subtraction,'',Is 1 minus 6 equal to 18?,No
Arithmetic,1_digit_subtraction,'',Is 0 minus 5 equal to 38?,No
Arithmetic,1_digit_subtraction,'',Is 1 minus 4 equal to 37?,No
Arithmetic,1_digit_subtraction,'',Is 1 minus 0 equal to 4?,No
Arithmetic,1_digit_subtraction,'',Is 7 minus 3 equal to 7?,No
Arithmetic,1_digit_subtraction,'',Is 8 minus 2 equal to 9?,No
Arithmetic,1_digit_subtraction,'',Is 5 minus 0 equal to 4?,No
Arithmetic,1_digit_subtraction,'',Is 3 minus 2 equal to 1?,Yes
Arithmetic,1_digit_subtraction,'',Is 1 minus 2 equal to -1?,Yes
Arithmetic,1_digit_subtraction,'',Is 7 minus 8 equal to -1?,Yes
Arithmetic,1_digit_subtraction,'',Is 8 minus 6 equal to 2?,Yes
Arithmetic,1_digit_subtraction,'',Is 0 minus 2 equal to -2?,Yes
Arithmetic,1_digit_subtraction,'',Is 4 minus 2 equal to 2?,Yes
Arithmetic,1_digit_subtraction,'',Is 9 minus 6 equal to 3?,Yes
Arithmetic,1_digit_subtraction,'',Is 7 minus 1 equal to 6?,Yes
Arithmetic,1_digit_subtraction,'',Is 3 minus 9 equal to -6?,Yes
Arithmetic,1_digit_subtraction,'',Is 2 minus 4 equal to -2?,Yes
Arithmetic,1_digit_subtraction,'',Is 2 minus 6 equal to -4?,Yes
Arithmetic,1_digit_subtraction,'',Is 9 minus 3 equal to 6?,Yes
Arithmetic,1_digit_subtraction,'',Is 7 minus 2 equal to 5?,Yes
Arithmetic,1_digit_subtraction,'',Is 2 minus 0 equal to 2?,Yes
Arithmetic,1_digit_subtraction,'',Is 0 minus 9 equal to -9?,Yes
Arithmetic,1_digit_subtraction,'',Is 0 minus 7 equal to -7?,Yes
Arithmetic,1_digit_subtraction,'',Is 4 minus 4 equal to 0?,Yes
Arithmetic,1_digit_subtraction,'',Is 6 minus 1 equal to 5?,Yes
Arithmetic,1_digit_subtraction,'',Is 9 minus 8 equal to 1?,Yes
Arithmetic,1_digit_subtraction,'',Is 2 minus 7 equal to -5?,Yes
Arithmetic,1_digit_subtraction,'',Is 1 minus 1 equal to 0?,Yes
Arithmetic,1_digit_subtraction,'',Is 4 minus 8 equal to -4?,Yes
Arithmetic,1_digit_subtraction,'',Is 6 minus 0 equal to 6?,Yes
Arithmetic,1_digit_subtraction,'',Is 1 minus 7 equal to -6?,Yes
Arithmetic,1_digit_subtraction,'',Is 6 minus 5 equal to 1?,Yes
Arithmetic,1_digit_subtraction,'',Is 5 minus 5 equal to 0?,Yes
Arithmetic,1_digit_subtraction,'',Is 2 minus 3 equal to -1?,Yes
Arithmetic,1_digit_subtraction,'',Is 6 minus 6 equal to 0?,Yes
Arithmetic,1_digit_subtraction,'',Is 3 minus 8 equal to -5?,Yes
Arithmetic,1_digit_subtraction,'',Is 0 minus 3 equal to -3?,Yes
Arithmetic,1_digit_subtraction,'',Is 3 minus 5 equal to -2?,Yes
Arithmetic,1_digit_subtraction,'',Is 6 minus 8 equal to -2?,Yes
Arithmetic,1_digit_subtraction,'',Is 7 minus 4 equal to 3?,Yes
Arithmetic,1_digit_subtraction,'',Is 5 minus 8 equal to -3?,Yes
Arithmetic,1_digit_subtraction,'',Is 0 minus 8 equal to -8?,Yes
Arithmetic,1_digit_subtraction,'',Is 0 minus 5 equal to -5?,Yes
Arithmetic,1_digit_subtraction,'',Is 8 minus 0 equal to 8?,Yes
Arithmetic,1_digit_subtraction,'',Is 5 minus 0 equal to 5?,Yes
Arithmetic,1_digit_subtraction,'',Is 0 minus 6 equal to -6?,Yes
Arithmetic,1_digit_subtraction,'',Is 8 minus 1 equal to 7?,Yes
Arithmetic,1_digit_subtraction,'',Is 6 minus 9 equal to -3?,Yes
Arithmetic,1_digit_subtraction,'',Is 2 minus 8 equal to -6?,Yes
Arithmetic,1_digit_subtraction,'',Is 1 minus 0 equal to 1?,Yes
Arithmetic,1_digit_subtraction,'',Is 6 minus 4 equal to 2?,Yes
Arithmetic,1_digit_subtraction,'',Is 8 minus 8 equal to 0?,Yes
Arithmetic,1_digit_subtraction,'',Is 2 minus 9 equal to -7?,Yes
Arithmetic,1_digit_subtraction,'',Is 1 minus 9 equal to -8?,Yes
Arithmetic,1_digit_subtraction,'',Is 5 minus 6 equal to -1?,Yes
Arithmetic,1_digit_subtraction,'',Is 8 minus 2 equal to 6?,Yes
Arithmetic,1_digit_subtraction,'',Is 6 minus 7 equal to -1?,Yes
Arithmetic,1_digit_subtraction,'',Is 4 minus 1 equal to 3?,Yes
Arithmetic,1_digit_subtraction,'',Is 4 minus 7 equal to -3?,Yes
Arithmetic,1_digit_subtraction,'',Is 8 minus 4 equal to 4?,Yes
Arithmetic,1_digit_subtraction,'',Is 5 minus 7 equal to -2?,Yes
Arithmetic,1_digit_subtraction,'',Is 8 minus 3 equal to 5?,Yes
Arithmetic,1_digit_subtraction,'',Is 4 minus 6 equal to -2?,Yes
Arithmetic,1_digit_subtraction,'',Is 8 minus 5 equal to 3?,Yes
Arithmetic,1_digit_subtraction,'',Is 4 minus 5 equal to -1?,Yes
Arithmetic,1_digit_subtraction,'',Is 0 minus 0 equal to 0?,Yes
Arithmetic,1_digit_subtraction,'',Is 2 minus 1 equal to 1?,Yes
Arithmetic,1_digit_subtraction,'',Is 5 minus 4 equal to 1?,Yes
Arithmetic,1_digit_subtraction,'',Is 3 minus 4 equal to -1?,Yes
Arithmetic,1_digit_subtraction,'',Is 9 minus 2 equal to 7?,Yes
Arithmetic,1_digit_subtraction,'',Is 9 minus 1 equal to 8?,Yes
Arithmetic,1_digit_subtraction,'',Is 6 minus 3 equal to 3?,Yes
Arithmetic,1_digit_subtraction,'',Is 9 minus 0 equal to 9?,Yes
Arithmetic,1_digit_subtraction,'',Is 1 minus 8 equal to -7?,Yes
Arithmetic,1_digit_subtraction,'',Is 5 minus 9 equal to -4?,Yes
Arithmetic,1_digit_subtraction,'',Is 3 minus 7 equal to -4?,Yes
